year,son_DET âge_NOUN,son_DET age_NOUN,son_DET sage_ADJ
1800,9.721756299541084e-06,1.4148740223873801e-07,4.4018304556914245e-08
1801,1.0324807760753174e-05,1.2382149261469522e-07,5.2386017301842e-08
1802,1.016427012245913e-05,6.265952379180817e-08,4.923248297927785e-08
1803,1.0303641843734113e-05,8.191424849535167e-08,4.8758481252519914e-08
1804,1.2077463850346248e-05,8.898663139689234e-08,1.087614407424553e-07
1805,1.1087223114714106e-05,7.39148202644202e-08,1.3930100362102849e-07
1806,1.0630477717654685e-05,1.325567744459022e-07,1.0662176119780042e-07
1807,9.853311325969116e-06,9.964342684298799e-08,7.68677872464707e-08
1808,1.1244258843134958e-05,8.157866160374283e-08,6.798222074166915e-08
1809,1.0617443152227679e-05,1.2198764665072304e-07,8.584316191218022e-08
1810,1.293154068093827e-05,1.263668423234776e-07,1.5444836920508465e-07
1811,1.2111688192817383e-05,1.529316788762003e-07,3.259199843341776e-08
1812,1.286127829303041e-05,1.680341243925909e-07,9.601949813031752e-08
1813,1.3360695660935562e-05,9.77752168118684e-08,4.3136125782439194e-08
1814,9.512405071632202e-06,7.237357202427575e-08,2.8320094713762956e-08
1815,8.668876773754164e-06,5.66416948899473e-08,4.315557688983063e-08
1816,1.0202092227018511e-05,6.95281165974393e-08,7.648093003354006e-08
1817,1.0371890368787717e-05,7.317305084075798e-08,1.0275364559220179e-07
1818,1.3751078341783796e-05,8.940883056141047e-08,6.91428301280439e-08
1819,1.1480349741077589e-05,8.073819146581229e-08,1.1282644862831148e-07
1820,1.1298076572074933e-05,1.2341140287475127e-07,8.187872335696511e-08
1821,1.3053652310190955e-05,1.1537941257966366e-07,1.3510238972003208e-07
1822,1.1208638866833098e-05,8.622029668003961e-08,1.0226128210888419e-07
1823,1.1860212907777168e-05,7.115534728097117e-08,1.1958050905036544e-07
1824,1.0908709100476699e-05,1.389483594849139e-07,8.673745810483524e-08
1825,1.2936076473124558e-05,1.0038204911744231e-07,1.3120110153863607e-07
1826,1.0442746344097031e-05,1.2066938381849468e-07,1.4885493371252778e-07
1827,9.90119428934122e-06,7.834682147489502e-08,1.0968555130830282e-07
1828,9.476821688281234e-06,8.80540890202397e-08,3.6689203342099574e-08
1829,1.0110346380542978e-05,1.7317815753647992e-07,5.829759786024624e-08
1830,9.510044890248537e-06,4.905312822600649e-08,6.470838354033503e-08
1831,8.910374461379433e-06,8.575163334967328e-08,6.860130952190957e-08
1832,9.569747092541547e-06,5.6825872229993024e-08,3.92369123858316e-08
