year,ton_DET or_NOUN,ton_DET sort_NOUN
1800,8.489243885634323e-08,5.407962717640658e-07
1801,5.000483582762172e-08,6.953053102165541e-07
1802,8.727576528144709e-08,6.221195860689477e-07
1803,1.677291692203653e-07,8.249934815296456e-07
1804,1.038177401824214e-07,1.0530084899595948e-06
1805,1.5635827521620627e-07,8.016914914144024e-07
1806,5.187004248341509e-08,6.973639230523077e-07
1807,1.2526602510831708e-07,4.41278055873795e-07
1808,4.5321478125970316e-08,5.166648504584259e-07
1809,5.1957703028904234e-08,6.121972795369857e-07
1810,2.574139346123161e-08,7.441602818403226e-07
1811,1.0279014617253779e-07,5.264861115961139e-07
1812,5.3344165529267684e-08,5.041023367624575e-07
1813,8.339650747757332e-08,8.339651031974427e-07
1814,6.293354370967563e-08,4.908816411131056e-07
1815,4.8550024445148665e-08,6.122697371324648e-07
1816,4.4034472068688046e-08,2.9201809503831555e-07
1817,3.580808893843823e-08,7.31730516179141e-07
1818,7.629553699928238e-08,4.959209753963023e-07
1819,6.003609098748086e-08,6.738533500083577e-07
1820,6.76389415588119e-08,8.971059557438821e-07
1821,1.4003314019461754e-07,8.540048810345979e-07
1822,7.21844344298006e-08,7.990416008851753e-07
1823,6.917880635004536e-08,6.858584420399438e-07
1824,7.242156652154108e-08,6.206360296800995e-07
1825,7.220463604795668e-08,6.10217210095243e-07
1826,5.196710661792281e-08,5.187902871739425e-07
1827,4.7929820112813104e-08,3.742212744128892e-07
1828,1.0915038473058303e-07,4.7604243036403204e-07
1829,5.572564276690173e-08,3.9865269485517274e-07
1830,4.696576283436116e-08,6.262101592824365e-07
1831,1.1225668572478753e-07,4.3811287753214856e-07
1832,7.441482807735156e-08,5.222568333351774e-07
1833,1.1699465041203894e-07,5.409554564295149e-07
1834,1.0267983929779234e-07,4.3778948821682206e-07
1835,6.958040899007756e-08,4.121882781760178e-07
1836,1.1694105372939134e-07,4.3080008182982965e-07
1837,7.862416850912268e-08,3.291082277812052e-07
1838,4.1660269900489766e-08,3.345445751534726e-07
1839,9.50840624014404e-08,2.726675436548476e-07
1840,5.6690229399691816e-08,2.828141658639538e-07
1841,7.255219980351058e-08,3.2744797895389866e-07
1842,9.056157512787877e-08,4.2329151028752676e-07
