year,en_ADP aile_NOUN,en_ADP selle_NOUN
1800,1.1318992676478956e-07,1.540640539587912e-07
1801,1.6668278135512082e-07,2.690736380372982e-07
1802,1.857407312400028e-07,2.2602185367759375e-07
1803,1.4432510653250574e-07,1.1897068930011301e-07
1804,2.1257918803030407e-07,2.0516363075095967e-07
1805,1.9331568079650197e-07,7.960057502032214e-08
1806,2.8528523543513984e-07,1.9595350408962986e-07
1807,9.96434317279693e-08,2.1921555060089304e-07
1808,2.2660739151803e-07,1.0197332755979005e-07
1809,1.445779496123123e-07,1.8749953767382976e-07
1810,1.5444837231370911e-07,2.0359102848033217e-07
1811,1.3287507272252697e-07,1.1031137603367824e-07
1812,1.8137016155606034e-07,2.0804223765935603e-07
1813,1.1215392348162823e-07,1.2365688917270745e-07
1814,1.1328037530233814e-07,1.3845379953636439e-07
1815,1.7801675156192687e-07,8.361393355471591e-08
1816,2.2712518621403888e-07,2.109019590079697e-07
1817,9.02986592166144e-08,1.3856173097792635e-07
1818,1.7881766112282094e-07,1.5020683008515334e-07
1819,2.701624062240171e-07,2.2772310726004719e-07
1820,6.645229433388522e-08,2.895421289395017e-07
1821,9.565643921405353e-08,2.5935713665603544e-07
1822,3.559093784133438e-07,1.9249182514613494e-07
1823,8.993244904331732e-08,2.3817275973669894e-07
1824,1.1873769167891624e-07,2.1642259184773138e-07
1825,1.8139213153745004e-07,3.663064376269176e-07
1826,1.735172965311449e-07,2.078684343542747e-07
1827,1.4839809026057083e-07,2.119972831726713e-07
1828,1.5317743340403922e-07,2.9718256655542064e-07
1829,9.773420650560638e-08,3.386404666128051e-07
1830,1.1480519557238722e-07,3.6946398918047407e-07
1831,3.196197297938852e-07,3.289744485712731e-07
1832,2.1106752612354285e-07,5.330807777426116e-07
1833,8.571885423691583e-08,5.58330896183179e-07
1834,1.577535688745968e-07,4.349891435939668e-07
1835,9.075705520444899e-08,7.676534323763917e-07
1836,9.140220419423528e-08,5.766403361473493e-07
1837,7.931995860133156e-08,4.3695555129730224e-07
1838,5.996553742448896e-08,4.437449936389726e-07
1839,1.4122779212755177e-07,4.166919245207623e-07
1840,7.962110792902877e-08,5.051163300962003e-07
1841,2.587481109372902e-07,4.0706276749347126e-07
1842,1.0263645577879288e-07,6.191728814108899e-07
1843,1.3940310239490827e-07,5.180360799217354e-07
1844,8.94635450721104e-08,5.208644386911487e-07
1845,9.318980787043074e-08,4.888279478976187e-07
1846,6.557041487553761e-08,5.64373925371342e-07
1847,7.928039025273392e-08,4.670531561501434e-07
1848,1.1102405750307298e-07,7.667096164620801e-07
1849,8.211826862947191e-08,5.974522803153803e-07
1850,7.535785417900343e-08,4.7455081908509555e-07
1851,1.2060450416129243e-07,5.733551127207193e-07
1852,1.2370036017728125e-07,4.596444951321388e-07
1853,1.0510599857127545e-07,5.912212335257294e-07
1854,8.884586311097564e-08,4.972250911561282e-07
1855,8.756445879498642e-08,5.779254799165301e-07
1856,4.918329715719594e-08,6.466309274699711e-07
1857,9.177237469959465e-08,5.584446185480374e-07
1858,6.459652546197958e-08,6.12198880034498e-07
1859,7.485494712966556e-08,8.23913635983331e-07
1860,1.0527523386372195e-07,8.458635818442417e-07
1861,1.0752397328062102e-07,7.437074693861234e-07
1862,1.9156261488184612e-07,7.608288687954712e-07
1863,1.2286767453462133e-07,6.892576482897539e-07
1864,1.0164823471825457e-07,6.362603741649764e-07
1865,1.0919878867809985e-07,6.156552490033107e-07
1866,1.0266443128958969e-07,6.062553659091918e-07
1867,1.4073152954097168e-07,7.512152198074773e-07
1868,1.4276235482668653e-07,7.582706924580407e-07
1869,1.0108884396231588e-07,6.607401665803536e-07
1870,1.4048419272327806e-07,5.33266561575374e-07
1871,1.5188283208900089e-07,6.893143824626691e-07
1872,1.5662608721100924e-07,5.974771353223218e-07
1873,2.1370035430123835e-07,6.572632720303062e-07
1874,1.1949218076123813e-07,7.719195149746838e-07
