year,on_PRON eût_VERB,on_PRON sut_VERB
1800,1.0073903126794903e-05,1.175917532236781e-06
1801,1.0205749049418955e-05,1.1834477504635288e-06
1802,8.799187412478204e-06,6.691142004910944e-07
1803,8.801880881037505e-06,8.620499443168228e-07
1804,9.55370398969535e-06,9.368314977109549e-07
1805,8.963593700173078e-06,1.111565211431298e-06
1806,8.87554108430777e-06,1.331331134224456e-06
1807,1.0004200589719403e-05,1.2839767578043393e-06
1808,9.134544143307721e-06,9.109617735703068e-07
1809,9.225880603480618e-06,9.691241302789422e-07
1810,8.871420732248225e-06,1.2379270231122064e-06
1811,8.200648267120414e-06,1.0905783938142122e-06
1812,8.495058295920899e-06,1.0455455878854991e-06
1813,9.596350082574645e-06,1.1330422182709299e-06
1814,1.0802542419696692e-05,1.2932843276303174e-06
1815,9.221807545145566e-06,1.5859674249441014e-06
1816,8.649297683405166e-06,1.010475273233169e-06
1817,1.0502668374101631e-05,1.8682480913412292e-06
1818,1.080177912626823e-05,1.4519994238071376e-06
1819,1.1429629239501082e-05,1.433620468560548e-06
1820,1.2093131090296083e-05,1.7740389921527822e-06
1821,1.071845144906547e-05,1.3500377633590688e-06
1822,1.0879798082896741e-05,1.2612224509211956e-06
1823,1.2530259027698776e-05,1.4616493615449144e-06
1824,1.1527661399668432e-05,1.8888555644025473e-06
1825,1.189439240079082e-05,1.91078112266041e-06
1826,1.0186434224124241e-05,1.603933924343437e-06
1827,1.063304648596386e-05,1.383512682195942e-06
1828,1.0629780035742442e-05,1.714303095923242e-06
1829,1.1411754940127139e-05,2.6662578420655336e-06
1830,1.182075993710896e-05,1.832708392157656e-06
1831,1.1546846963028656e-05,1.3813809118801146e-06
1832,1.0836152796400711e-05,1.2339331760813366e-06
1833,1.0542260383772373e-05,1.376135116970545e-06
1834,1.0113964094671246e-05,1.2097551973511145e-06
1835,1.0088403314512107e-05,1.2342959507805062e-06
1836,1.062214528246841e-05,1.3770817020031245e-06
1837,1.0409005199107924e-05,1.2746855873047025e-06
1838,1.0983792890328914e-05,1.99401199552085e-06
1839,1.0379544278293906e-05,1.3102024638556031e-06
1840,1.050425373705366e-05,1.3860442322766175e-06
1841,1.0741578080342151e-05,1.2256827233159129e-06
1842,1.0065080914500868e-05,1.4362395290845598e-06
1843,9.77771014731843e-06,1.0295745767052722e-06
1844,1.0220798458249192e-05,1.1053962225560099e-06
1845,9.813388942347956e-06,1.2968449993877584e-06
1846,1.0165170579057303e-05,1.2007582483875012e-06
1847,9.811352583710686e-06,1.0085328199238575e-06
1848,8.92295520316111e-06,1.1601209735090379e-06
1849,9.758666465131682e-06,9.410083237071376e-07
1850,9.772759995030356e-06,1.2681844623330107e-06
1851,9.467775953453383e-06,1.0673821009277162e-06
1852,8.763194273342378e-06,8.066565584385899e-07
1853,9.067184237210313e-06,1.0970438779622782e-06
1854,8.761968388171226e-06,2.0663157442868396e-06
1855,8.464034181088209e-06,1.0895141713263001e-06
1856,8.792420203462825e-06,1.4242447718970652e-06
1857,1.0172088650506339e-05,1.6406752365583088e-06
1858,9.931715567290667e-06,1.3364629296575004e-06
1859,1.0760780469354359e-05,1.3453521603423724e-06
1860,1.1115233064629138e-05,1.311820909677408e-06
1861,1.0294005733157974e-05,1.1106094746082817e-06
1862,1.0555823109825724e-05,1.276331147437304e-06
1863,9.855385769697023e-06,1.0388811233497108e-06
1864,9.2840316483489e-06,1.0677859165753034e-06
1865,9.276248874812154e-06,9.67256511330561e-07
1866,9.475781325818389e-06,1.058757391092513e-06
1867,8.915100124795572e-06,8.317719135675361e-07
1868,8.954015811468707e-06,8.763336722950044e-07
1869,9.35291586756648e-06,8.765916845732136e-07
1870,9.099362159759039e-06,8.532264246241539e-07
1871,1.013897576740419e-05,1.0546828832502797e-06
1872,9.270571126762661e-06,9.355233885344205e-07
1873,8.239735279857996e-06,8.428294506757084e-07
1874,8.359673074664897e-06,9.230770956492051e-07
1875,8.36773347145936e-06,8.101682453798276e-07
1876,8.32052546684281e-06,7.40032220392095e-07
1877,8.022324664125335e-06,8.015521189008723e-07
1878,7.903355481175822e-06,8.068222712154238e-07
1879,7.953730346343946e-06,1.0251447974951589e-06
1880,7.670610102650244e-06,6.989034773141611e-07
1881,7.694859277762589e-06,6.554157039317943e-07
1882,7.844702622605837e-06,1.357032999749208e-06
1883,7.618594963787473e-06,1.1646541793197684e-06
1884,7.597892818012042e-06,2.609650778140349e-06
1885,7.543327228631824e-06,3.853845669254952e-06
1886,7.422774388032849e-06,1.8224582163384184e-06
1887,7.288238521141466e-06,6.809668207097275e-07
1888,7.782470220263349e-06,2.215410745520785e-06
1889,7.055170499370433e-06,1.6464779264424578e-06
1890,6.709725653308851e-06,9.189249681185174e-07
1891,6.671896244370146e-06,1.2219379641464911e-06
1892,6.4584484107399476e-06,1.169704432868457e-06
1893,6.088826580707973e-06,1.7760872879080125e-06
1894,5.879966238353518e-06,8.009256191598979e-07
1895,6.30871181783732e-06,7.041778928851272e-07
1896,6.014379664520675e-06,8.692220490047475e-07
1897,6.069687515264377e-06,6.590013015284057e-07
