year,en_PRON avez_VERB,en_PRON savez_VERB
1800,3.3705444337783774e-06,2.012265198914065e-07
1801,3.952762888559391e-06,5.976768449045267e-07
1802,3.6297766996540304e-06,1.2308120744819462e-07
1803,3.6510350582830142e-06,2.7109716316253696e-07
1804,5.134034225307005e-06,3.5347468241297975e-07
1805,3.76681300195969e-06,4.0368864784312564e-07
1806,4.362846866001746e-06,4.3513204772693825e-07
1807,2.7729341880444736e-06,3.3024680101689796e-07
1808,2.655838791554288e-06,1.835519993775847e-07
1809,3.237190721705474e-06,1.468369834611849e-07
1810,4.415819006453603e-06,3.0421646624034793e-07
1811,2.3014965790935094e-06,2.2814398725756746e-07
1812,3.736758756645031e-06,2.2137827926371756e-07
1813,2.9878956695483794e-06,1.9555042740648787e-07
1814,3.039690170680842e-06,2.2970742641348352e-07
1815,2.9561569974134727e-06,1.4565007688815967e-07
1816,3.2747742295669013e-06,1.9699633568848185e-07
1817,3.8345792034988335e-06,3.829908532537729e-07
1818,4.131880217528305e-06,5.054579386154501e-07
1819,4.199421219652777e-06,3.6849737661270865e-07
1820,5.025454875351443e-06,3.109018003044639e-07
1821,6.186111647821235e-06,5.3942342859159e-07
1822,4.984736207802598e-06,4.832346860439429e-07
1823,4.171482174797347e-06,5.761606729492996e-07
1824,4.465716180845902e-06,3.7979219413841747e-07
1825,4.1130225554297795e-06,4.658079468811138e-07
1826,3.599823298117144e-06,3.0035227993607805e-07
1827,3.1366380781605585e-06,2.792833679876594e-07
1828,4.00279220258426e-06,3.146099247786083e-07
1829,3.649601133304259e-06,3.0777702964002174e-07
1830,3.7551735942997766e-06,3.9659975747952103e-07
1831,3.8993606281678694e-06,3.8198454532789583e-07
1832,4.1685833451765575e-06,4.180760573291309e-07
1833,3.38473616778856e-06,3.9152664221830946e-07
1834,4.102526247606875e-06,3.509783699229274e-07
1835,4.40096077625185e-06,3.675660593671637e-07
1836,3.985404880779697e-06,3.360374911665076e-07
1837,3.6055790104683183e-06,3.26325091393187e-07
1838,3.332821449930634e-06,2.6637324612721613e-07
1839,3.651647475066966e-06,3.4537886506313953e-07
1840,3.528170559263799e-06,2.898208482093878e-07
1841,3.537080218052324e-06,2.6645276829384557e-07
1842,3.375599021637754e-06,3.079093531255239e-07
1843,3.373436975095956e-06,3.1720112403377243e-07
1844,3.6251947079790625e-06,2.5796237324016147e-07
1845,3.3665514962422094e-06,3.197470626048471e-07
1846,3.3271130064349563e-06,3.1848485981811336e-07
1847,2.8621838268350075e-06,1.7797638474092992e-07
1848,3.1086737521945906e-06,2.1641645897574335e-07
1849,3.0576485343658533e-06,1.8099535914473108e-07
1850,3.255323704820512e-06,2.0095428254762737e-07
1851,2.743591323906003e-06,2.5668767378306256e-07
1852,2.983782970034099e-06,2.858129342087068e-07
1853,3.306061479690925e-06,2.2991937509431182e-07
1854,4.0495010082963745e-06,3.1797465638305766e-07
1855,3.293485207223057e-06,3.03556795699933e-07
1856,3.4630218905817856e-06,2.3815069738475358e-07
1857,3.119772443938018e-06,3.085113888801061e-07
1858,3.86747215941341e-06,3.4500416568050696e-07
1859,3.206541549616304e-06,2.6530222818621496e-07
1860,3.4859832851452666e-06,3.245223485492943e-07
1861,3.6407240600055957e-06,3.2210031353230306e-07
1862,3.957303988499916e-06,4.703223801527656e-07
1863,3.614607187785168e-06,2.9917780075550127e-07
1864,3.829069640914895e-06,3.270004587108133e-07
1865,3.745236007546282e-06,3.1912405873413263e-07
1866,3.388899330047934e-06,2.94856139504418e-07
1867,3.2387663893018726e-06,2.0381808774061483e-07
1868,3.174857113208418e-06,2.064867303808171e-07
1869,3.3261648439975033e-06,2.3294385620431513e-07
1870,3.0780374231653695e-06,2.7466093666106417e-07
1871,3.1821048125380003e-06,2.3366590440332402e-07
1872,3.5661160850963824e-06,2.890628039153853e-07
1873,3.1785684626584043e-06,2.7176460903888255e-07
1874,3.251382310054396e-06,2.581031210979745e-07
1875,3.541625346770161e-06,3.261270506982328e-07
1876,3.5115253780304556e-06,2.7388445644760395e-07
1877,3.2303293764357477e-06,3.420203302795244e-07
1878,2.678335931705078e-06,2.0412119550172747e-07
1879,3.270321840886936e-06,3.21961440619134e-07
1880,3.2025053684492377e-06,2.1435606534225826e-07
1881,3.217812277966914e-06,3.1724909632657727e-07
1882,3.315712930884729e-06,3.3276924327196866e-07
1883,2.7975713123851165e-06,2.635164424447112e-07
1884,2.4650736776266058e-06,2.7066957830612637e-07
1885,2.5795432989639266e-06,2.3913308311307446e-07
1886,2.372938702421834e-06,2.2522588860596215e-07
1887,2.5926359796812903e-06,1.5538841235951395e-07
1888,2.334614265464552e-06,2.016315452380013e-07
1889,2.4484154081960696e-06,2.092555702049026e-07
1890,2.383174901865459e-06,2.11051248477645e-07
1891,2.129626821556485e-06,1.8995175476987924e-07
1892,2.31245427784188e-06,2.382034693937385e-07
1893,2.332808215044224e-06,1.8967922876811372e-07
1894,2.310774533498261e-06,1.310720163516521e-07
1895,2.125774656747126e-06,2.10651506904469e-07
1896,2.042141233005168e-06,2.0462690741851475e-07
1897,1.9670985196285073e-06,1.6664401236710091e-07
1898,2.2474986209886083e-06,1.8559404280082958e-07
1899,2.3016835797307067e-06,1.6251080658946648e-07
1900,2.254993525241389e-06,1.9570271003743756e-07
1901,2.0890706480258814e-06,1.956058648389103e-07
