year,en_ADP ours_NOUN,en_ADP sources_NOUN
1800,2.829747991484055e-08,2.0122652699683385e-07
1801,7.619784270218588e-08,1.5239568540437176e-07
1802,8.503792514602537e-08,2.506380951672327e-07
1803,2.3404069793286908e-08,2.827991920639761e-07
1804,8.404293083685843e-08,2.026917798048089e-07
1805,6.538618513296512e-08,8.52863308864471e-08
1806,6.339671898558663e-08,1.3832011802605848e-07
1807,5.693910054560547e-08,2.1067467992352817e-07
1808,3.852325747288887e-08,2.5380029455845943e-07
1809,5.873479480555943e-08,1.4231892664362533e-07
1810,3.978215445954447e-08,1.825298880930859e-07
1811,5.0141537144554604e-08,1.0529722516139373e-07
1812,2.6672083208723052e-08,1.7603574065105931e-07
1813,9.777521370324394e-08,2.904499183387088e-07
1814,3.776012391654149e-08,1.321604372606089e-07
1815,2.1577788444915313e-08,2.0498899289123074e-07
1816,1.1588019432906549e-08,1.4832664874120383e-07
1817,1.8682481339737933e-08,1.1520863552050287e-07
1818,2.861082504246326e-08,1.4424624339426373e-07
1819,3.726378139390363e-08,1.2317750075485634e-07
1820,4.6279275522920216e-08,1.6257079860082513e-07
1821,2.8598315604533298e-08,1.232686067664801e-07
1822,1.7043547018147365e-08,8.622029668003961e-08
1823,3.063632902922109e-08,1.087095569118901e-07
1824,4.884245186076441e-08,1.8947503122035414e-07
1825,4.6668848341369085e-08,9.5979331149465e-08
1826,7.222546827279075e-08,2.792131112983043e-07
1827,3.7790819362726324e-08,1.8895410097696796e-07
1828,4.861319524707142e-08,1.8436325888160354e-07
1829,3.8579290873030914e-08,1.1402324417986165e-07
1830,3.861629238599562e-08,1.7846988953351683e-07
1831,2.8064171431196883e-08,2.401045742228547e-07
1832,6.764984572527055e-09,1.0282776508052649e-07
1833,6.834341093053808e-08,2.085053125711056e-07
1834,9.521221500108368e-08,1.101474680353931e-07
1835,3.6302822081779595e-08,1.8605196316912043e-07
1836,4.9061476659062464e-08,1.3643122542816855e-07
1837,5.4967337348443834e-08,1.315041373572967e-07
1838,3.1560809077291196e-08,1.224559424972682e-07
1839,3.705481976812308e-08,1.510158682549445e-07
1840,3.3759349093998026e-08,1.490507202106528e-07
1841,3.5955071808757566e-08,1.0722315835209884e-07
1842,5.0982812638267205e-08,1.0531976357697204e-07
1843,7.206431718032036e-08,9.15571192194875e-08
1844,5.269018737985576e-08,1.438003067733007e-07
1845,5.412821058037309e-08,1.3838965173817996e-07
1846,3.33706573485415e-08,1.0889372248357176e-07
1847,1.941560512364049e-08,1.1811159961183648e-07
1848,4.183515400768556e-08,1.2872354204773728e-07
1849,7.29009101974043e-08,1.952403749783116e-07
1850,2.647708452485631e-08,8.146795238417326e-08
1851,2.644269869733762e-08,1.4253259750240943e-07
1852,4.231854688896419e-08,1.1328349103223445e-07
1853,3.105404622338881e-08,1.2123021142507184e-07
1854,3.4291385730966795e-08,1.3300901341439797e-07
1855,4.6701046585440054e-08,1.2205956068100932e-07
1856,2.692138334481342e-08,1.1648675979358813e-07
1857,3.417056260168749e-08,1.327770462467015e-07
1858,2.5447115470367265e-08,1.2283126693546365e-07
1859,4.379269125109886e-08,1.1202781280417184e-07
1860,4.943358467013326e-08,1.3136517135192705e-07
1861,4.008569121083383e-08,9.762045244388062e-08
1862,1.581295272501393e-08,1.2876260768734937e-07
1863,3.296449690992631e-08,9.639618525625337e-08
1864,3.7878351788478426e-08,1.0500454405981685e-07
1865,2.0239431075541603e-08,1.1531768923100927e-07
1866,2.578774882522339e-08,1.260193727148362e-07
1867,2.426405742994575e-08,1.0967353603064112e-07
1868,3.1615194018286275e-08,1.289307078877755e-07
1869,3.2231227464762924e-08,1.1378599351630214e-07
1870,2.6376625328339287e-08,1.2844268981737628e-07
1871,1.911811864374613e-08,9.346636176132961e-08
1872,1.8746751706544273e-08,1.034095049590178e-07
1873,3.771182849332533e-08,1.0176207271284099e-07
1874,5.496640298474631e-08,1.1292011237173938e-07
1875,4.2911454556371353e-08,7.09469389903461e-08
1876,3.567148709748835e-08,9.492243435715864e-08
1877,3.4016487737709156e-08,1.26788727738969e-07
