year,bien_ADV en_ADP,bien_ADV sans_ADP
1800,4.574759259412531e-06,6.382653623404622e-07
1801,5.3195617510937154e-06,9.119929131884419e-07
1802,5.303681064106058e-06,6.668763603556727e-07
1803,5.384886662795907e-06,7.918377491478168e-07
1804,5.193358902033651e-06,8.527885597686691e-07
1805,4.966507276549237e-06,7.220909310490242e-07
1806,5.114962732477579e-06,7.953406679916952e-07
1807,3.9686556192464195e-06,4.868293217441533e-07
1808,4.529882062342949e-06,5.393255833041621e-07
1809,5.037637947680196e-06,6.415646680579812e-07
1810,5.148278887645574e-06,6.294940817497263e-07
1811,5.50052664038958e-06,6.59361205634923e-07
1812,5.1370429900998715e-06,5.761169745710504e-07
1813,4.788109890796477e-06,7.160596737776359e-07
1814,4.981189704267308e-06,5.412284735939465e-07
1815,4.469299256015802e-06,4.5043634600006044e-07
1816,4.985166015103459e-06,5.631777639791835e-07
1817,4.966426331520779e-06,7.114911682037928e-07
1818,5.1177612476749346e-06,7.867977274145233e-07
1819,4.904327397525776e-06,7.069767207212863e-07
1820,5.883401172468439e-06,6.76389447562542e-07
1821,5.786721430922626e-06,1.0719437568695867e-06
1822,6.162746103655081e-06,7.639519026270136e-07
1823,6.154937182145659e-06,7.05623847352399e-07
1824,6.794153705413919e-06,8.261111474894278e-07
1825,6.083680545998504e-06,7.431793846990331e-07
1826,6.215794655872742e-06,7.61890646572283e-07
1827,5.743283054471249e-06,8.341631883013179e-07
1828,5.5749246712366585e-06,6.778330430279311e-07
1829,5.364236130844802e-06,7.647273037036939e-07
1830,5.125530151417479e-06,8.203352876989811e-07
1831,5.213699296291452e-06,9.479453524363635e-07
1832,5.407928711065324e-06,7.969151738507207e-07
1833,5.635435172735015e-06,6.475248142123746e-07
1834,5.660459464706946e-06,8.363739425476524e-07
1835,6.614676749450155e-06,6.564760042238049e-07
1836,6.728143034706591e-06,7.278572411451023e-07
1837,6.7067112468066625e-06,7.5284378908691e-07
1838,6.650493560300674e-06,6.507838747893402e-07
1839,6.502771157101961e-06,7.222193971756496e-07
1840,5.728260930482065e-06,7.146790608203446e-07
1841,5.951206276222365e-06,7.396471914944414e-07
1842,5.940168648521649e-06,6.735098168064724e-07
1843,5.691899332305184e-06,6.456253913711407e-07
1844,5.632361535390373e-06,7.343695074268908e-07
1845,5.469739335239865e-06,5.870400059393432e-07
1846,5.3937519624014385e-06,6.194062507347553e-07
1847,5.014619546273025e-06,5.037271080254868e-07
1848,5.460291959025199e-06,6.138504318187188e-07
1849,5.135743322171038e-06,5.454999154608231e-07
1850,5.2003711061843205e-06,5.315783937476226e-07
1851,5.4091442507342435e-06,6.081820629333379e-07
1852,5.403101567935664e-06,6.464971420427901e-07
1853,6.112869414209854e-06,6.16900535987952e-07
1854,6.231679890333908e-06,7.216777930807439e-07
1855,6.152332389319781e-06,5.773947577836225e-07
1856,6.144805865915259e-06,7.600114031447447e-07
1857,6.486061010946287e-06,6.897572575326194e-07
1858,6.871699952171184e-06,7.795625833750819e-07
1859,6.312767254712526e-06,6.400861707334116e-07
1860,5.69996700505726e-06,5.858795475432999e-07
1861,6.6301736296736635e-06,5.753475988967693e-07
1862,6.519002454297151e-06,6.858302867840393e-07
1863,6.431073870771797e-06,5.384201244851283e-07
1864,6.675220447505126e-06,6.252325306377315e-07
1865,6.5076828832388856e-06,7.366211320913862e-07
1866,6.465426395152463e-06,6.125806635282061e-07
1867,6.833243787696119e-06,6.570707000719267e-07
1868,6.808134457969572e-06,5.256026156530424e-07
1869,6.944852430024184e-06,6.573216637661972e-07
1870,6.9949660428392235e-06,5.711112862627488e-07
1871,6.643546385021182e-06,5.363694413063058e-07
1872,6.587971256521996e-06,6.138049570836301e-07
1873,7.344228833972011e-06,5.800438316327927e-07
1874,7.382824605883798e-06,5.490665557772445e-07
1875,7.006010037002852e-06,6.425274818866455e-07
1876,7.00612190485117e-06,7.364046155089454e-07
1877,6.700010999338701e-06,5.566334380091575e-07
1878,6.8555732468666974e-06,5.386867201195855e-07
1879,7.411833394144196e-06,6.011575806041947e-07
1880,7.105197710188804e-06,5.423079869615322e-07
1881,7.068030754453503e-06,4.873782586400921e-07
1882,7.782807188050356e-06,5.390862156673393e-07
1883,7.954783541208599e-06,5.2260935490267e-07
1884,7.740489309071563e-06,4.898458882962586e-07
1885,7.788261427776888e-06,5.156508677828242e-07
1886,8.02681825007312e-06,5.117597083881265e-07
1887,7.725023351667915e-06,4.922808898299991e-07
1888,8.35629634821089e-06,5.237347977526952e-07
1889,7.996820386324544e-06,5.481994662659417e-07
1890,8.206747224903665e-06,4.981333745490701e-07
1891,8.689336937095504e-06,5.379841923058848e-07
1892,8.368463568331208e-06,5.315698672347935e-07
1893,8.419787263846956e-06,4.58802020375515e-07
1894,8.632478966319468e-06,4.80807443636877e-07
1895,8.743240869080182e-06,4.947301022184547e-07
1896,8.656838872411754e-06,5.330913950274407e-07
1897,8.801251169643365e-06,4.772078341375163e-07
1898,9.223118468071334e-06,4.7586763685103506e-07
1899,8.910456017474644e-06,5.367278390622232e-07
1900,8.90836599864997e-06,4.422777237778064e-07
1901,9.06102195585845e-06,4.6218869442782307e-07
1902,9.075186426343862e-06,4.5371021428763925e-07
1903,8.973005606094375e-06,4.552385632905498e-07
1904,9.30562600842677e-06,4.2298299263165973e-07
1905,8.969399459601846e-06,4.851113430959231e-07
1906,9.295026757172309e-06,5.205914703765302e-07
1907,9.071975910046604e-06,4.5462735442924895e-07
1908,9.192646757583134e-06,5.466375796459033e-07
1909,9.648725608712994e-06,5.313950168783776e-07
1910,9.39662004384445e-06,4.905930381937651e-07
1911,9.212228178512305e-06,4.5861625608267786e-07
1912,9.13992971618427e-06,4.876018238064717e-07
1913,9.491821401752532e-06,4.640116060272703e-07
