year,bien_ADV eu_VERB,bien_ADV su_VERB
1800,2.5153315164061496e-07,7.042928586997732e-07
1801,4.0956339830700017e-07,7.50072501887189e-07
1802,4.856112809648039e-07,6.534493195431423e-07
1803,2.5354410126965377e-07,5.73399745462666e-07
1804,3.831368928786105e-07,8.849226560414536e-07
1805,3.752598445316835e-07,8.52863308864471e-07
1806,3.602086451337527e-07,7.348256190198299e-07
1807,2.932363827312656e-07,4.868293217441533e-07
1808,2.5380029455845943e-07,6.277024908740714e-07
1809,4.3373387370593264e-07,5.737937271987903e-07
1810,2.69114565298878e-07,6.014125801812042e-07
1811,4.78851688967552e-07,5.640922609018162e-07
1812,3.494042744023318e-07,6.401299970093532e-07
1813,4.3423699480626965e-07,7.937047143968812e-07
1814,3.4613449884091096e-07,8.307227403747675e-07
1815,3.263640451223182e-07,8.091670906651416e-07
1816,2.9201808615653135e-07,5.214608904680063e-07
1817,3.829908621355571e-07,7.613110710735782e-07
1818,3.552510747795168e-07,8.595168878855475e-07
1819,3.7263779972818156e-07,7.328543460971559e-07
1820,5.078853746454115e-07,8.46080126848392e-07
1821,3.816396088041074e-07,7.37639311410021e-07
1822,5.383755592447415e-07,7.579365615129063e-07
1823,5.277354944155377e-07,7.03647287991771e-07
1824,5.776883540420386e-07,8.993748110697197e-07
1825,4.261834476437798e-07,7.431793846990331e-07
1826,4.289488515496487e-07,7.83910593327164e-07
1827,3.548650227003236e-07,7.797813168508583e-07
1828,4.06332958391431e-07,7.686388698857627e-07
1829,4.192283142856468e-07,9.430493719264632e-07
1830,4.1538606865287875e-07,7.984179433151439e-07
1831,4.7241354650395806e-07,6.875721965116099e-07
1832,3.8154513504196075e-07,5.993776426294062e-07
1833,3.9616008962184424e-07,5.606476065622701e-07
1834,4.01384824044726e-07,7.178254008977092e-07
1835,5.00676435422065e-07,5.906771889385709e-07
1836,5.087607632958679e-07,7.332338327614707e-07
1837,5.29495480350306e-07,6.561290888384974e-07
1838,5.352713401407527e-07,6.772949632249947e-07
1839,3.355908120283857e-07,6.627918196500104e-07
1840,3.363195730798907e-07,6.930221161383088e-07
1841,4.1091510638580075e-07,6.61316505556897e-07
1842,4.004834295301407e-07,7.231509471239406e-07
1843,3.904468144355633e-07,5.599751489171467e-07
1844,4.2097263985851896e-07,5.219621925789397e-07
1845,3.336976419632265e-07,6.461904149546172e-07
1846,4.437711993432458e-07,5.719847990803828e-07
1847,3.5487411764734134e-07,4.109636506655079e-07
1848,4.111108182769385e-07,5.060444436821854e-07
1849,3.728839601535583e-07,5.93262598158617e-07
1850,4.82018720049382e-07,4.5622053335137025e-07
1851,3.5471913406581734e-07,5.037011874264863e-07
1852,3.684968703510094e-07,4.824314032703114e-07
1853,5.303075454321515e-07,6.843833944003563e-07
1854,4.977446792508999e-07,6.141275434856652e-07
1855,4.6701046585440054e-07,6.150739864096977e-07
1856,4.3125984916514426e-07,6.533612690873269e-07
1857,4.2713205061772896e-07,7.234396548483346e-07
1858,5.304744945533457e-07,6.420502813853091e-07
1859,4.6898915684323583e-07,6.278649493651756e-07
1860,3.9592640632690745e-07,6.760500355085242e-07
1861,4.357550551503664e-07,4.866874405706767e-07
1862,4.635454047274834e-07,6.560115934917121e-07
1863,4.400260991133109e-07,6.118410738054081e-07
1864,3.8405769942073675e-07,6.261914791139134e-07
1865,4.344417448010063e-07,5.987105851090746e-07
1866,4.6709882894901966e-07,5.347308729142242e-07
1867,5.342945428310486e-07,5.876754585187882e-07
1868,4.801557338396378e-07,5.325184133653238e-07
1869,4.653993812553381e-07,5.918824967920955e-07
