year,en_ADP ère_NOUN,en_ADP ere_NOUN,en_ADP serres_NOUN
1800,1.8864987794131594e-08,1.0690159246706799e-07,3.144164484325529e-09
1801,3.333655484993869e-08,7.1435474868764e-08,4.7623651688866175e-09
1802,2.2378401354217203e-09,2.2378401354217203e-09,3.8043282302169246e-08
1803,1.950339267864365e-08,5.0708818033484704e-08,2.9255089017965474e-08
1804,4.943701892301533e-09,4.943701892301533e-09,2.7190360185613827e-08
1805,5.685755422035754e-09,2.842877711017877e-09,1.1371510844071508e-08
1806,0.0,3.1698359492793315e-08,0.0
1807,2.8469551160981155e-09,0.0,2.8469551160981155e-09
1808,1.1330369531492579e-08,6.118399653587403e-08,2.2660739951163578e-09
1809,9.036122072814123e-09,9.036122072814123e-09,2.9367397402779716e-08
1810,4.212228077449254e-08,7.020380277111826e-09,1.8721014072298203e-08
1811,5.0141535368197765e-09,2.5070767684098882e-09,5.0141535368197765e-09
1812,8.00162425207418e-09,1.8670457180292033e-08,1.600324850414836e-08
1813,0.0,0.0,2.8757416448144113e-09
1814,1.2586708564299443e-08,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,3.506390644503199e-08,0.0
1816,0.0,1.4832664874120383e-07,4.6352077731626196e-09
1817,1.556873407970727e-09,6.227493631882908e-09,3.42512151974006e-08
1818,7.152706427149269e-09,2.384235475716423e-09,7.152706427149269e-09
1819,1.7596784473994376e-08,3.933399084221634e-08,3.622867339458935e-08
1820,1.1866481131050932e-09,2.3732962262101864e-08,8.306536791735653e-09
1821,7.88919063410276e-09,1.7750678149575094e-08,9.86148829262845e-10
1822,5.012807946513931e-09,1.2030739071633434e-08,8.02049271442229e-09
1823,2.8659792761231984e-08,1.4824030780680175e-08,1.7788837070042973e-08
1824,1.0105335235266466e-08,0.0,1.6000115010683658e-08
1825,1.584979791857677e-08,0.0,3.3460683113162304e-08
1826,2.642395191543301e-09,1.1450379977517855e-08,9.688782665051576e-09
1827,1.8434546111834038e-09,2.21214555007343e-08,3.87125478340522e-08
1828,8.255071293206129e-09,4.5861504760491556e-08,4.586150570418113e-09
1829,1.0287811491593857e-08,2.8291481157793896e-08,3.5150023336427694e-08
1830,4.174734336004349e-09,1.0436835840010872e-09,6.262101504006523e-09
1831,0.0,9.35472388441383e-09,2.0268567268999504e-08
1832,5.411987746839486e-09,2.705993873419743e-09,3.111892965534935e-08
1833,8.108539617524002e-09,2.3167257001688313e-09,3.59092489077284e-08
1834,1.213489042584115e-08,9.334530703952737e-09,6.534171426153534e-09
1835,1.2100940693926532e-08,6.050470346963266e-09,1.739510224751939e-08
1836,1.68018754465038e-08,1.3441500135158435e-09,1.008112526790228e-08
1837,2.7831563720326358e-09,0.0,2.2961039292113128e-08
1838,3.787297142565649e-09,6.312161904276081e-10,3.787297231383491e-08
1839,1.4682098203877558e-08,5.593180252283503e-09,3.355908262392404e-08
1840,3.4396318682183846e-08,1.7198159563136528e-08,8.280594876453051e-09
1841,2.0545755319290038e-08,4.044945711711989e-08,2.6966304744746594e-08
1842,8.049918065466954e-09,1.542900918138912e-08,1.6770663080478698e-08
1843,1.1813821920725331e-08,2.3627644840651385e-09,2.7762482091020502e-08
1844,6.586273748609983e-09,2.195424508855126e-09,1.97588213013411e-08
1845,2.17628883802945e-08,6.696273757711424e-09,2.4553003186156275e-08
1846,1.2879903366069811e-08,1.7563503984519002e-09,2.2832555623963913e-08
1847,4.0988499705463255e-08,6.47186837454683e-09,2.1033573105455616e-08
1848,2.413566457803995e-09,8.045221711050488e-10,2.011305433313737e-08
1849,1.6758829879393033e-09,1.6758829879393033e-09,2.0948537127196687e-08
