year,un_DET air_NOUN,un_DET cerf_NOUN
1800,3.1539114957013226e-05,1.509198929383615e-06
1801,2.9183774074681423e-05,1.1596359321686123e-06
1802,2.820126178448845e-05,1.2420013320024736e-06
1803,3.28456627585183e-05,1.1799552090963061e-06
1804,3.575037993641672e-05,1.399067631524531e-06
1805,3.487073780661376e-05,1.3731098986724533e-06
1806,3.055722015687934e-05,1.0085842001572587e-06
1807,2.429306718454427e-05,7.231265879426019e-07
1808,2.6828049868754533e-05,2.306863244427859e-06
1809,2.871905564916233e-05,7.364439267298906e-07
1810,4.341403035823532e-05,2.255882137092158e-06
1811,3.0200246897038596e-05,1.674727307943158e-06
1812,2.5333143298666982e-05,8.935147866040438e-07
1813,3.3326970822145086e-05,1.150296663254835e-06
1814,2.6513900877489505e-05,1.0887503076872918e-06
1815,2.3487422566859095e-05,7.012781479964758e-07
1816,2.6483259148335492e-05,9.641232185941817e-07
1817,2.63189456291002e-05,1.3233424249747827e-06
1818,2.873718946716508e-05,1.1766201541973942e-06
1819,2.4065156139840838e-05,8.353297573648888e-07
1820,2.803930794925691e-05,1.0952761799742916e-06
1821,3.1554789529764093e-05,1.0709576141465504e-06
1822,2.90572434380465e-05,1.1238715842409874e-06
1823,2.759740365831931e-05,1.0782010866350333e-06
1824,2.4607332676396254e-05,9.035853905103863e-07
1825,2.7951998561093205e-05,1.4203179077298955e-06
1826,2.211420704156808e-05,1.2507337339151547e-06
1827,1.9799625064820248e-05,8.996058387111816e-07
1828,2.5229331214404738e-05,8.878787682853329e-07
1829,2.8438082637194384e-05,1.007348166659483e-06
1830,2.8202417325928764e-05,1.0562077470410713e-06
1831,2.4743244182445778e-05,9.245585488315555e-07
1832,2.7678257595198374e-05,1.0079826910924794e-06
1833,2.8152851399454448e-05,1.121295237993536e-06
1834,2.4972671269551938e-05,1.024931478355029e-06
1835,3.5641052249957283e-05,1.5670717701254944e-06
1836,2.651873523973336e-05,1.265517198589805e-06
1837,2.4754087718292794e-05,1.2468540688814755e-06
1838,2.219482431087272e-05,1.1810055262628794e-06
1839,2.432054471057654e-05,9.746116411690764e-07
1840,2.5315690649563294e-05,9.223309413997072e-07
1841,2.1713653779897868e-05,9.033712089490109e-07
1842,2.5270704668400867e-05,1.006239772394224e-06
1843,2.5331198287403822e-05,9.409709527119503e-07
1844,2.3661187839252307e-05,9.895876225129996e-07
1845,2.451003473424862e-05,1.0401544461302592e-06
1846,2.186480668342483e-05,1.0877663694230932e-06
1847,1.578380854994066e-05,7.863320288237219e-07
1848,1.847504712770842e-05,1.0442698190615829e-06
1849,1.6754639375449187e-05,8.178308945616664e-07
1850,1.928482288349187e-05,9.565695258118012e-07
1851,1.788106975197934e-05,8.519708618592858e-07
1852,1.9730208109081104e-05,9.531438465160136e-07
1853,2.2908330208792904e-05,1.198566735638451e-06
1854,2.0007464314630852e-05,1.3358053712053675e-06
1855,2.352989844212061e-05,1.114987433936676e-06
1856,2.1180916718321896e-05,1.0147290705475598e-06
1857,2.4517379443977916e-05,1.1671688344705444e-06
1858,2.46998507122953e-05,1.1108644475399387e-06
1859,2.4695004597674597e-05,9.929738133962474e-07
1860,2.4408291039890173e-05,1.1122556422549223e-06
1861,2.2439498692961024e-05,1.0648646409094908e-06
1862,2.0613763794585793e-05,1.1182015473565343e-06
1863,2.1721606714208974e-05,9.394881637092567e-07
1864,2.1351882665499033e-05,1.0308664855074312e-06
1865,2.2113225568887174e-05,9.710220076897258e-07
1866,2.1114326898441504e-05,9.419826572099055e-07
1867,2.1764374352528648e-05,1.200585558081002e-06
1868,1.992794636862527e-05,1.2888131308841366e-06
1869,2.50837080244537e-05,9.376356544521514e-07
1870,2.09889112881001e-05,1.1066713909713144e-06
1871,2.01069500462836e-05,8.114579470586136e-07
1872,2.1711157586423724e-05,8.980298744631909e-07
1873,1.8843342772356664e-05,7.692015939753105e-07
1874,2.2388652652693963e-05,1.0186708703230352e-06
1875,2.1245746324893844e-05,8.742493591284983e-07
1876,2.011146435165756e-05,1.0368915761560515e-06
1877,2.215895831625403e-05,1.0835797921160406e-06
1878,1.896938061918263e-05,1.1431994875188423e-06
1879,2.147794315021656e-05,1.0178135791960585e-06
1880,1.945505873379716e-05,9.723037255326972e-07
1881,2.04810446433612e-05,8.722607169886487e-07
1882,2.0781439602046703e-05,7.979806930791256e-07
1883,1.929357392782549e-05,9.82657194725789e-07
1884,2.0509492458131717e-05,9.14335052115689e-07
1885,1.8393266913108164e-05,8.050598925279928e-07
1886,1.7636026484524336e-05,8.241073121695308e-07
1887,1.7835063403026652e-05,9.349420242443784e-07
1888,1.7643394585320493e-05,8.813454641654062e-07
1889,1.7111341108488887e-05,8.163472919875403e-07
1890,1.6275197523896168e-05,9.090934138811235e-07
1891,1.6628427616183217e-05,9.236245066546189e-07
1892,1.5423674184944502e-05,8.431149067789079e-07
1893,1.481714993190053e-05,7.962832508923157e-07
1894,1.569272407664357e-05,6.528394447258279e-07
1895,1.5525617072853493e-05,7.559379699983992e-07
1896,1.4793286666758831e-05,8.126106152417378e-07
1897,1.3938081778519518e-05,9.480063170030917e-07
1898,1.3961990276811775e-05,7.016359795386506e-07
1899,1.5758573226776207e-05,7.19690680384133e-07
1900,1.5428328921984757e-05,6.104678718088508e-07
1901,1.3971288638003898e-05,7.254183191918173e-07
1902,1.1476806619725721e-05,7.935018668803195e-07
1903,1.3185177763830325e-05,7.338899301601032e-07
1904,1.2110643297091883e-05,7.094505267701834e-07
1905,1.2142749923782503e-05,8.0765878429645e-07
1906,1.3283313492706839e-05,7.968341861896988e-07
1907,1.2883337106472936e-05,6.587982390726665e-07
1908,1.3774972487112791e-05,6.566527179785453e-07
1909,1.504739084623452e-05,1.0209825305196318e-06
1910,1.671062418040492e-05,9.063679637932864e-07
1911,1.3323812723342598e-05,7.331475568861379e-07
1912,1.3645037213905198e-05,7.480728889674992e-07
1913,1.4613448968248122e-05,7.424185426430085e-07
1914,1.374104839158008e-05,6.381996855431282e-07
1915,1.1356654525229715e-05,5.077508244966111e-07
1916,1.1479700447125651e-05,4.724608704265165e-07
1917,1.2827426701278455e-05,4.1233757208658517e-07
1918,1.3087577485748625e-05,5.720215661142447e-07
1919,1.4362401714151929e-05,5.63520343277446e-07
1920,1.5164908489850859e-05,5.876051609732258e-07
1921,1.5552909076177457e-05,6.232370868275439e-07
1922,1.7338148865064795e-05,6.005639470174629e-07
1923,1.7457926446695637e-05,6.688047431424593e-07
1924,1.6222821102473972e-05,5.620748506629525e-07
1925,1.7909432244778145e-05,7.995675410654712e-07
1926,1.7172856075831078e-05,7.89146595181478e-07
1927,2.3597334376290746e-05,6.421953528956692e-07
1928,1.667287932605177e-05,6.901328735153811e-07
1929,1.805191473636114e-05,7.19670229187841e-07
1930,1.5514872444555294e-05,6.753817185511934e-07
1931,1.3473148243292599e-05,5.816731905028405e-07
1932,1.473728892165127e-05,9.381363064164816e-07
1933,1.3357585928019944e-05,4.955325962896495e-07
1934,1.349245724213688e-05,6.098624112382822e-07
1935,1.4838278360684853e-05,6.498778368779767e-07
1936,1.2701850693019878e-05,5.989609022094555e-07
1937,1.310609464155732e-05,5.615638869471695e-07
1938,1.3181733834244369e-05,7.416102878465836e-07
1939,1.3350176260473745e-05,5.765857107320471e-07
1940,1.0624929984714981e-05,6.060521196005197e-07
1941,1.530058963794545e-05,6.7589409091795e-07
1942,1.3041042009831472e-05,5.158159748219759e-07
1943,1.6551344515391975e-05,8.390349588438539e-07
1944,1.5567886464395997e-05,9.478899389847584e-07
1945,1.981567294251363e-05,5.293764688829583e-07
1946,1.7207877675673444e-05,5.443152062412082e-07
1947,1.791945305740228e-05,7.295573034582503e-07
1948,1.6742707515504662e-05,5.968666645372878e-07
1949,1.641305571808971e-05,5.330635346467716e-07
1950,1.552550067174252e-05,7.12569203642488e-07
1951,1.6365251013894522e-05,7.079170512014343e-07
1952,1.5768699569207456e-05,5.926179973414492e-07
1953,1.4376594833720446e-05,5.710128618829913e-07
1954,1.75143399587796e-05,5.79511418408174e-07
1955,1.3482425316624358e-05,6.01617450968206e-07
1956,1.605649313773938e-05,5.75595352714231e-07
1957,1.4166099816748101e-05,5.707434258539479e-07
1958,1.3793965564445898e-05,6.030465486972503e-07
1959,1.3715722985807588e-05,5.045736832798298e-07
1960,1.7021790455373775e-05,6.588633416626521e-07
1961,1.5989798640703157e-05,6.82309221566868e-07
1962,1.557901660476091e-05,6.310246698504329e-07
1963,1.532713233132199e-05,7.086794120425566e-07
1964,1.3951147934676555e-05,6.211731635730189e-07
1965,1.343113055440881e-05,5.597900250009502e-07
1966,1.70730893671589e-05,6.635811296007432e-07
1967,1.518641997222403e-05,6.626371220619376e-07
1968,1.543564914641138e-05,6.404758812195155e-07
1969,1.3014861082183415e-05,5.867951093918577e-07
1970,1.1234225553380384e-05,6.038125981433495e-07
1971,1.257520048625338e-05,5.32337965708507e-07
1972,1.3318886857405232e-05,5.294311584691513e-07
1973,1.0676870488168788e-05,5.099713362710645e-07
1974,8.631877491893647e-06,5.361169712614355e-07
1975,8.27307945883149e-06,6.231224691788384e-07
1976,9.147928338393285e-06,5.473558530866285e-07
1977,9.010869234771235e-06,4.3429418550289256e-07
1978,1.1328707415714234e-05,6.005937915887216e-07
1979,1.2395064800330147e-05,5.857825104982339e-07
1980,1.0682967086950157e-05,5.776113103372893e-07
1981,1.0616802768481648e-05,5.927039863351524e-07
1982,1.0022632991990577e-05,5.493639623210811e-07
1983,1.0061561496854665e-05,5.216451173239989e-07
1984,1.0698011166709875e-05,5.561249434293813e-07
1985,1.0190956658107098e-05,6.015558016159162e-07
1986,1.1076610263671682e-05,5.760700663159923e-07
1987,1.0793535906827856e-05,5.371407993948196e-07
1988,1.056892578787938e-05,5.498839614759277e-07
1989,1.0576160576647453e-05,5.290549758285579e-07
1990,9.99173622062699e-06,5.056347998078081e-07
1991,9.949251108309909e-06,5.902495399112695e-07
1992,9.992834804961603e-06,5.554023436715738e-07
1993,1.0580439905538697e-05,5.561364240236344e-07
1994,1.0117836637846267e-05,5.807694074544401e-07
1995,1.045665447918509e-05,5.351958716204308e-07
1996,9.494330640791304e-06,5.58898236135974e-07
1997,9.994957736125798e-06,5.926489548002678e-07
1998,1.0455076932203156e-05,4.834882894044767e-07
1999,1.004256037617779e-05,5.068353030601713e-07
2000,1.0408440630271798e-05,5.301637848731389e-07
2001,9.863421922773341e-06,6.273895225561432e-07
