year,en_PRON ôte_VERB,en_PRON ote_VERB
1800,4.024530539936677e-07,3.144164484325529e-09
1801,5.381472760745964e-07,7.143547975374531e-09
1802,3.4686522099036665e-07,2.2378401354217203e-09
1803,6.397112883860245e-07,1.950339223455444e-09
1804,4.424613280207268e-07,4.943701892301533e-09
1805,2.842877790953935e-07,0.0
1806,2.9681191904273874e-07,0.0
1807,3.017772485236492e-07,2.8469551160981155e-09
1808,1.9714843801921234e-07,0.0
1809,3.7048101830805535e-07,0.0
1810,4.914266469313588e-07,2.3401267590372754e-09
1811,3.6101906175645126e-07,0.0
1812,4.40089365838503e-07,2.6672082320544632e-09
1813,2.0705340375570813e-07,2.8757416448144113e-09
1814,3.3354777428939997e-07,3.1466771410748606e-09
1815,2.1308066777692147e-07,0.0
1816,4.3802714344565175e-07,4.6352077731626196e-09
1817,3.954458520638582e-07,1.556873407970727e-09
1818,2.6941862074636447e-07,2.384235475716423e-09
1819,3.6435696415537677e-07,0.0
1820,2.5038275452970993e-07,1.1866481131050932e-09
1821,2.406203236660076e-07,9.86148829262845e-10
1822,3.18814585398286e-07,0.0
1823,2.2334872085139068e-07,9.882686891060644e-10
1824,3.023179431238532e-07,8.421112696055388e-10
1825,3.1611540407538996e-07,8.805443041381977e-10
1826,1.8584846372959873e-07,4.403992281964975e-09
1827,2.3227528345159953e-07,4.608636583469661e-09
1828,1.467568182533796e-07,9.172301251858528e-10
1829,2.1947330708371737e-07,3.429270423183084e-09
1830,2.3065406651312514e-07,1.0436835840010872e-09
1831,1.7773975002910447e-07,4.677361609140007e-09
1832,1.2853470821028168e-07,0.0
1833,1.0888610546544442e-07,1.1583628500844156e-09
1834,1.9322479261063563e-07,2.8003592777992026e-09
1835,1.701694714029145e-07,2.2689263801112247e-09
1836,2.3657040060243162e-07,6.720750067579218e-10
1837,1.4820307114860043e-07,2.0873671680021744e-09
1838,2.019891809368346e-07,6.312161904276081e-10
1839,1.2584655451064464e-07,6.9914751765765e-10
