year,un_DET alu_NOUN,un_DET salut_NOUN
1800,6.288328968651058e-09,4.307505219180996e-07
1801,2.3811825844433088e-09,3.1431610114651676e-07
1802,0.0,2.1259481286506343e-07
1803,0.0,2.3404070992327775e-07
1804,0.0,2.8673470664486445e-07
1805,0.0,2.587018652633333e-07
1806,8.645007376628655e-09,2.5646856549599306e-07
1807,0.0,3.7010415354643555e-07
1808,0.0,2.628645967561738e-07
1809,0.0,3.1174620773732897e-07
1810,0.0,2.6677443898392994e-07
1811,0.0,2.7577844274873087e-07
1812,0.0,2.507175622668001e-07
1813,0.0,4.975033314202904e-07
1814,0.0,4.2480142248280117e-07
1815,0.0,3.506390653384983e-07
1816,0.0,2.850652638386464e-07
1817,0.0,3.020334546910419e-07
1818,1.1921177378582115e-09,3.063742461950625e-07
1819,2.070210003424222e-09,2.0702100578251503e-07
1820,0.0,3.0496856862072264e-07
1821,9.86148829262845e-10,3.6684737247938415e-07
1822,0.0,4.0202719731041725e-07
1823,0.0,4.4966225187792475e-07
1824,0.0,3.797921852566333e-07
1825,8.805443041381977e-10,4.658079415520433e-07
1826,8.807984341885344e-10,4.139752749487968e-07
1827,1.8434546111834038e-09,3.9449927652368544e-07
1828,1.8344602503717056e-09,4.155052544807525e-07
1829,0.0,5.581137747512344e-07
1830,0.0,6.898748363681761e-07
1831,0.0,6.454759562402046e-07
1832,1.3529969367098715e-09,7.04911376825379e-07
1833,0.0,6.695337333439966e-07
1834,0.0,7.31827241251537e-07
1835,1.5126175867408165e-09,8.447969079838913e-07
1836,6.720750067579218e-10,7.238248054264318e-07
1837,0.0,7.646721993381789e-07
1838,0.0,5.466332462233936e-07
1839,0.0,5.719026789918757e-07
1840,6.369688665408546e-10,6.732761148597888e-07
1841,0.0,7.781704969289649e-07
1842,0.0,7.419341168102278e-07
1843,0.0,8.098375023912752e-07
1844,0.0,8.825606787610241e-07
1845,0.0,8.682834735651568e-07
1846,0.0,6.820494329318194e-07
1847,1.6179670936367074e-09,6.541980539509495e-07
1848,1.6090443422100975e-09,7.811910327504279e-07
1849,2.513824481908955e-09,7.047087695610799e-07
1850,0.0,6.75505122949005e-07
1851,6.449438760824933e-10,8.261730775060983e-07
1852,0.0,7.083473416713559e-07
1853,0.0,8.277097265363409e-07
1854,0.0,7.185603987380773e-07
1855,0.0,7.684444653932587e-07
1856,1.0354378465748937e-09,8.195490615037215e-07
