year,en_PRON eut_VERB,en_PRON sut_VERB
1800,7.206424925243482e-06,2.2323567216986362e-07
1801,1.008668914437294e-05,2.5478654208654916e-07
1802,9.575717740517575e-06,1.096541666356643e-07
1803,7.76430078985868e-06,2.1258696847326064e-07
1804,8.154635906976182e-06,2.1999473176492756e-07
1805,1.0274159649270587e-05,2.75759134638065e-07
1806,1.076015269063646e-05,3.313919512137886e-07
1807,8.147985681716818e-06,1.4804166426074516e-07
1808,9.077892173081636e-06,1.246340701754889e-07
1809,8.539135706087109e-06,1.4005988591136997e-07
1810,8.805896868580021e-06,1.8487001796074765e-07
1811,1.1111364074167795e-05,2.657501432246079e-07
1812,8.065637302934192e-06,1.7603574065105931e-07
1813,8.667485417390708e-06,1.380355976188241e-07
1814,8.662802429171279e-06,1.510405018834149e-07
1815,8.914324098441284e-06,9.710004889029733e-08
1816,6.985258096392499e-06,2.0394914024279842e-07
1817,9.070344276551623e-06,1.9305229770338883e-07
1818,1.1334655027894769e-05,1.978915395994818e-07
1819,1.2133500604250003e-05,1.552657522552181e-07
1820,1.151523338194238e-05,1.4477106446975085e-07
1821,9.634673915570602e-06,1.5581151124877124e-07
1822,1.0413607014925219e-05,1.4637399203820678e-07
1823,1.188491933135083e-05,1.4329895314801888e-07
1824,1.3045987543591764e-05,2.9389683220415463e-07
1825,1.3079605196253397e-05,2.2541933897279876e-07
1826,1.1814149729616474e-05,2.0786842824804808e-07
1827,8.855956366460305e-06,1.7236301275147525e-07
1828,8.076211088337004e-06,1.3758451677947647e-07
1829,1.1041393008781597e-05,5.529698281492301e-07
1830,9.143712304648943e-06,1.4402834125348818e-07
1831,7.315393759199651e-06,9.198811401489593e-08
1832,7.003111932135653e-06,2.056555357121681e-07
1833,7.106556040525902e-06,1.0888610724180126e-07
1834,7.494694727938622e-06,9.241185838781973e-08
1835,8.9925115389633e-06,9.605121675804185e-08
1836,1.1508612260513473e-05,1.0013917517426307e-07
1837,9.249820323020685e-06,1.2872098498206697e-07
1838,1.1959022231167182e-05,1.3949877275543088e-07
1839,8.661039828439243e-06,1.3004143206707397e-07
1840,9.333504749520216e-06,2.4141121457432746e-07
1841,7.619265034009004e-06,1.1428576129901558e-07
1842,7.165097940742271e-06,1.012948018797033e-07
1843,7.323388217628235e-06,1.0159887153804448e-07
1844,7.33930392016191e-06,1.218460561336343e-07
1845,7.065684712870279e-06,1.2611315014510183e-07
1846,7.419995199597906e-06,1.6392603985337928e-07
1847,7.1578865572519135e-06,1.4399907399820222e-07
1848,7.1393296821042895e-06,1.0136979256003542e-07
1849,5.4734337027184665e-06,7.876649732452279e-08
1850,7.2105926847143564e-06,1.330643275565535e-07
1851,7.040852324280422e-06,1.3866293446795908e-07
1852,6.37121956970077e-06,9.700712411131462e-08
1853,7.5532993832894135e-06,2.0961480329262372e-07
1854,8.17433920019539e-06,1.070306889783268e-07
1855,7.148444183258107e-06,1.6876059660830833e-07
1856,7.82014467404224e-06,2.4384561925216985e-07
1857,8.99320457392605e-06,2.338242827137904e-07
1858,7.575410563731566e-06,1.546401672269937e-07
1859,6.802124971727608e-06,1.6345876474588295e-07
1860,7.0186538323468994e-06,1.194644990709648e-07
1861,6.1684804677497596e-06,1.2167186835831956e-07
1862,7.043992354738293e-06,1.2108203195637657e-07
1863,6.791186024202034e-06,1.2836176210839767e-07
1864,6.5922713474719785e-06,1.1507347030814685e-07
1865,7.881139936216641e-06,1.7179982592097076e-07
1866,7.1748327172826976e-06,9.147352386662533e-08
1867,6.441136520152213e-06,1.4073152954097168e-07
1868,7.145034032873809e-06,9.039969750546106e-08
1869,6.078028036426986e-06,1.0939082717431603e-07
1870,7.131436632334953e-06,1.135341651803401e-07
