year,bon_ADJ homme_NOUN,bon_ADJ somme_NOUN
1800,2.144320227159824e-06,3.772997558826319e-08
1801,2.2978411493568274e-06,6.191074675143682e-08
1802,2.3251159859682957e-06,5.370816325012129e-08
1803,1.5388175995667552e-06,3.1205427575287104e-08
1804,2.9884677950064997e-06,7.909923027682453e-08
1805,2.3311597558972608e-06,1.1371510844071508e-08
1806,2.766402435128157e-06,3.1698359492793315e-08
1807,1.7195609345321827e-06,4.839823830593559e-08
1808,1.7834002505878743e-06,2.4926814390369145e-08
1809,1.8275556339375498e-06,6.551188391767937e-08
1810,2.117814695168363e-06,7.254392642153107e-08
1811,3.3494546300971706e-06,1.0279014617253779e-07
1812,2.616531261878663e-06,8.00162425207418e-09
1813,2.8987476312636318e-06,6.614205716459765e-08
1814,1.7212324507909216e-06,3.4613449884091096e-08
1815,1.1355311713145966e-06,4.5852800667489646e-08
1816,1.7544261012858442e-06,3.244645441213834e-08
1817,2.821054536639167e-06,4.514932783195036e-08
1818,3.2032202632592544e-06,5.48374146092101e-08
1819,2.882767340395276e-06,4.0369094733705424e-08
1820,3.276335405644204e-06,6.882559233645225e-08
1821,4.139852656237508e-06,3.944595405869222e-08
1822,3.352565897785098e-06,9.223566621585633e-08
1823,4.03114785285652e-06,7.313188632451784e-08
1824,3.21854921025988e-06,4.5474010335055937e-08
1825,4.2001965070426195e-06,3.610231757988913e-08
1826,2.5736929281094945e-06,3.8755132436563144e-08
1827,2.0950861596702453e-06,3.3182182335167454e-08
1828,2.2673928512517705e-06,3.8523666034961934e-08
1829,2.4913648992708204e-06,4.372319750700626e-08
1830,2.139551252611227e-06,4.383471008395645e-08
1831,2.390131941254481e-06,4.5214498811674275e-08
1832,2.980652240580639e-06,3.6530916958099624e-08
1833,2.176563764777484e-06,5.79181431703546e-08
1834,2.0545303129893e-06,3.547121707470069e-08
1835,2.238674021270981e-06,6.579886502322552e-08
1836,1.9953907184344644e-06,4.637317374545091e-08
1837,2.69409538589116e-06,2.435261770017405e-08
1838,2.0072674296045534e-06,2.209256599883247e-08
1839,1.7240977250310152e-06,5.5232654005976656e-08
1840,1.5013356531312638e-06,1.3376346252869098e-08
1841,1.5178176191454895e-06,5.008027770259105e-08
1842,1.0686266627146779e-06,4.695785449371215e-08
1843,1.1004574815842716e-06,3.4260082770742883e-08
1844,1.0318495320404963e-06,3.567564732520623e-08
1845,9.012068176161847e-07,4.798996044996784e-08
1846,1.271012244785652e-06,1.8734404250153602e-08
1847,8.478147659474189e-07,2.2112217834546755e-08
1848,1.0571421853455831e-06,3.539897619475596e-08
1849,7.558232191229308e-07,4.608678239037545e-08
1850,9.3348695173745e-07,3.2587180953669304e-08
1851,1.1241371193904115e-06,2.644269869733762e-08
1852,1.007832389987584e-06,3.190167419120371e-08
1853,1.5443416216953665e-06,1.791579506971175e-08
1854,1.335285768178096e-06,2.909572138776184e-08
1855,1.5177839571833829e-06,2.175844215912548e-08
1856,1.2373482078942288e-06,4.141751475117417e-08
1857,2.059508576124358e-06,5.174399575480493e-08
1858,1.7827661338287726e-06,5.8234743249840903e-08
1859,1.1253702627556095e-06,4.786642904264227e-08
1860,8.614260202932655e-07,3.249800428761773e-08
1861,1.276139840911128e-06,6.319391587794598e-08
1862,1.0454620102962053e-06,4.517986340601965e-08
1863,9.404871157414618e-07,5.943598679891693e-08
1864,9.464793020441675e-07,3.0206784629172034e-08
1865,1.104225704651185e-06,4.5185707620021276e-08
1866,9.711762896102982e-07,4.9142691693759843e-08
1867,1.0035613673409216e-06,4.85281148598915e-08
1868,1.0991220040779126e-06,4.198892966655876e-08
1869,1.2482275142389199e-06,3.809144999422642e-08
1870,1.1605714398399414e-06,2.981705193860762e-08
1871,7.721595913778856e-07,3.186353225714811e-08
1872,7.293090966697946e-07,5.503078881474721e-08
1873,1.1409323974476138e-06,6.105724281724179e-08
1874,1.0604930729130047e-06,6.094101223652615e-08
1875,1.4629944757871272e-06,5.89317288302027e-08
1876,1.5393154235709972e-06,4.53451107773617e-08
1877,1.0625513517936724e-06,5.3807898581226254e-08
1878,1.051405307705977e-06,4.468925496325937e-08
1879,1.5572670530872301e-06,5.376206146934237e-08
1880,1.1693316430694267e-06,5.455169471701993e-08
