year,en_ADP an_NOUN,en_ADP sang_NOUN
1800,4.904896533375336e-07,6.225445758900605e-07
1801,5.643402785082685e-07,8.643692694931815e-07
1802,6.064546766992862e-07,5.773627549388038e-07
1803,5.265915992147541e-07,9.439642099096091e-07
1804,3.6830580740776497e-07,5.586383053923782e-07
1805,4.918178508894755e-07,7.789485039211286e-07
1806,4.3801370352980484e-07,4.956471002515173e-07
1807,4.526658616832435e-07,6.177892828418408e-07
1808,5.483899125913183e-07,3.331128652916959e-07
1809,5.421673359151669e-07,6.280104685174592e-07
1810,5.943921879136838e-07,4.844062573283736e-07
1811,5.515568854974617e-07,7.320664394683263e-07
1812,3.6807472891808857e-07,7.334822385018924e-07
1813,4.658701489024253e-07,7.505685744035873e-07
1814,5.286417530392384e-07,4.814415888176882e-07
1815,5.529308373386499e-07,1.046522697834007e-06
1816,5.400016984680178e-07,9.826640052779112e-07
1817,5.433488123873786e-07,1.5724421018603607e-06
1818,6.115563999653517e-07,9.024331006912689e-07
1819,4.896046665869846e-07,1.111702772504941e-06
1820,5.517913699293331e-07,1.0145840860786848e-06
1821,5.581602378068595e-07,8.135727966873674e-07
1822,5.323601897089247e-07,8.481671329718665e-07
1823,5.33665093671587e-07,9.062424055628071e-07
1824,5.793725446068265e-07,8.800062687441823e-07
1825,5.60906715518783e-07,8.153839985425293e-07
1826,4.6241916806799566e-07,5.927773258918023e-07
1827,6.286180035952604e-07,5.797664925921708e-07
1828,5.851928263078676e-07,7.356185847129382e-07
1829,5.735454887134672e-07,9.310469408774225e-07
1830,3.7781346229337487e-07,6.658701181549986e-07
1831,3.80425425827724e-07,1.183372546620376e-06
1832,3.368962461225422e-07,9.105669391828997e-07
1833,6.544750054127135e-07,7.042846164040384e-07
1834,4.424567656702294e-07,5.040646442466823e-07
1835,4.4092801942952065e-07,7.873174467931676e-07
1836,3.8913142974550397e-07,7.869998057685734e-07
1837,4.167776712638016e-07,8.704321317054564e-07
1838,3.888291648657116e-07,8.666598318995966e-07
1839,4.1669192585302994e-07,6.194446768859052e-07
1840,3.471480304884089e-07,7.20411776455876e-07
1841,3.7239181560622114e-07,9.669346354712616e-07
1842,5.138531156134718e-07,7.439466003233974e-07
1843,3.378753090643727e-07,7.868005695854663e-07
1844,3.485236398370617e-07,8.161490541169769e-07
1845,3.5546052618018464e-07,7.60585066927888e-07
1846,3.2843752117983627e-07,7.02540148722619e-07
1847,4.0395245015645287e-07,7.350963642238639e-07
1848,3.1456817606301257e-07,7.538372983617592e-07
1849,4.725990050413742e-07,8.161550226759573e-07
1850,3.91725066606341e-07,5.66881169561384e-07
1851,4.456562066046388e-07,6.617124199692626e-07
1852,3.359441413941511e-07,6.477992542386346e-07
1853,5.482233342846143e-07,6.545237170030305e-07
1854,3.3044426805961535e-07,6.333514761536208e-07
1855,4.1022623520348134e-07,7.77466311774333e-07
1856,3.748285001270446e-07,8.097123895822733e-07
1857,3.656250328054611e-07,7.99591191480431e-07
1858,3.0976968945495287e-07,6.102413863118272e-07
1859,3.5288760402707453e-07,5.968026925984304e-07
1860,3.748713676143822e-07,5.785560688309488e-07
1861,3.2870266553075567e-07,7.224856517495937e-07
1862,3.6189069990699707e-07,6.379396495503897e-07
1863,3.995696622460798e-07,7.157291861403792e-07
1864,3.452204173637341e-07,6.736592581546574e-07
1865,3.8266645119300335e-07,6.363653710650397e-07
1866,3.824371657135117e-07,6.860514076834079e-07
1867,3.663872796266787e-07,5.852490403412958e-07
1868,4.5249248004086695e-07,6.026646133250324e-07
1869,3.8775141508740063e-07,7.628057119291043e-07
1870,4.157185449216172e-07,6.834986265857879e-07
1871,3.887350770170883e-07,5.034438004258845e-07
1872,5.049528292166983e-07,5.503079023583268e-07
1873,5.453249966036466e-07,6.806087071709044e-07
1874,4.451083851497728e-07,5.693802336281806e-07
1875,3.804815484897972e-07,5.916058967159188e-07
1876,4.885179869518197e-07,5.568379606302187e-07
1877,3.525345166899285e-07,5.399344331635803e-07
1878,5.398945350232331e-07,4.493082030876394e-07
1879,4.1909971393305767e-07,6.029903829585237e-07
1880,4.3577175246056754e-07,4.691445667504013e-07
1881,4.2741470163143447e-07,4.1556145902177377e-07
1882,4.199548004901743e-07,4.299378701944079e-07
1883,4.069654357952146e-07,4.240276325617742e-07
1884,3.366865382048445e-07,4.198679164346686e-07
1885,4.202554444443507e-07,3.86093574888946e-07
1886,4.491610913204269e-07,4.2786464860000706e-07
1887,3.3166937818407405e-07,3.982644045663619e-07
1888,4.7237579248182726e-07,4.920316882817133e-07
1889,3.2265454574798014e-07,4.134990376769565e-07
1890,3.454161583427151e-07,3.8408705904657836e-07
1891,3.5823116739663874e-07,3.869151612434507e-07
1892,3.2658949455921515e-07,3.435144719787786e-07
1893,2.7528121826492224e-07,4.0891885078053747e-07
1894,3.610781962315457e-07,3.3776251484596287e-07
1895,2.8167116128408054e-07,3.6773735700990073e-07
1896,2.954411550959435e-07,3.561805499430193e-07
1897,3.018237670904256e-07,3.956338616717403e-07
1898,2.8744442459593955e-07,3.7118809359526495e-07
1899,2.802482299557596e-07,3.979856444402685e-07
1900,2.678583330695261e-07,3.644119317414152e-07
1901,2.732893396584224e-07,3.8506411215166736e-07
1902,2.7595794294121845e-07,2.921619000062492e-07
1903,2.9323195738228947e-07,4.01236377456371e-07
1904,2.7410588554488413e-07,3.799860053277371e-07
1905,2.342984628533884e-07,3.7673541442018177e-07
1906,2.453775985733486e-07,4.0227521935776167e-07
1907,2.7617068942831224e-07,3.5845619095198344e-07
1908,2.1462770916080842e-07,3.7817696352249186e-07
1909,2.381925914285432e-07,3.9056982359397807e-07
1910,1.9345826018923873e-07,3.9119183270486246e-07
1911,2.745313101293334e-07,3.857271337892598e-07
1912,2.3181924374560126e-07,3.2090034096654563e-07
1913,2.2484676126532932e-07,3.7651227557944367e-07
1914,2.276892898667171e-07,4.1653746052361384e-07
1915,2.0969756231448144e-07,5.737231276725652e-07
1916,2.64797828997132e-07,5.350893843569793e-07
1917,2.0836206238161736e-07,6.382459218912118e-07
1918,2.2857889092620098e-07,6.466829631790461e-07
1919,2.1822600482224175e-07,4.300065086226823e-07
1920,2.4761197181533134e-07,4.32374434922167e-07
1921,2.1203692424087706e-07,4.308893153393001e-07
1922,2.0363102271048206e-07,5.444916268970701e-07
1923,2.2081171513477216e-07,4.713481018825405e-07
1924,1.8950688063235077e-07,4.241344413458137e-07
1925,2.2106337516092367e-07,4.432265825471404e-07
1926,2.5859040508890985e-07,4.558770569929038e-07
1927,1.4493992472885964e-07,4.6380776552723546e-07
1928,2.1252436988028478e-07,5.221700689617137e-07
1929,2.5511530887811773e-07,4.2556351331768383e-07
