year,un_DET antre_NOUN,un_DET centre_NOUN
1800,1.2419450143852373e-06,3.823303939221034e-06
1801,9.381859413792881e-07,3.7765556921698362e-06
1802,1.2643797049349814e-06,3.681247079612149e-06
1803,1.060984509138052e-06,3.869472897433113e-06
1804,1.6684994363913574e-06,3.008242521529425e-06
1805,1.4328103574712259e-06,3.238037680874939e-06
1806,1.985470063914363e-06,2.9998176556134126e-06
1807,9.964342808643778e-07,3.2768452591369623e-06
1808,1.2825979283093147e-06,2.5040118538655065e-06
1809,1.158882607654732e-06,3.4111359745736536e-06
1810,1.8908224106439775e-06,2.5320170906617534e-06
1811,1.2685808172818724e-06,2.1059445862725568e-06
1812,1.1015569469918773e-06,2.1844435913465077e-06
1813,1.6420484527657209e-06,3.3099785572421325e-06
1814,1.1768572036885416e-06,2.460701532314147e-06
1815,1.076192226889816e-06,4.0161660779247654e-06
1816,9.177711319807713e-07,3.6942605330381184e-06
1817,1.1427450914425208e-06,3.2927872384291845e-06
1818,1.2433787439647404e-06,3.2306390800318496e-06
1819,1.131369717910502e-06,2.8434334670146555e-06
1820,1.0371304171030715e-06,3.3427878420866364e-06
1821,1.0610961673762631e-06,2.624142111162797e-06
1822,1.1188587762944735e-06,2.5124193712144915e-06
1823,8.163099565194898e-07,2.1514608541384206e-06
1824,1.0677970578854001e-06,2.7604406875880727e-06
1825,1.0117453683733402e-06,2.4593602345746035e-06
1826,1.0675277266614103e-06,2.601878676733449e-06
1827,8.277111369636714e-07,2.809424767491464e-06
1828,8.071624861827331e-07,2.8828543404135765e-06
1829,8.084504798944181e-07,2.61481876462355e-06
1830,9.758441734675216e-07,2.8816102770612417e-06
1831,9.448270894552024e-07,3.065231019894199e-06
1832,1.0201597220316216e-06,2.856176454901771e-06
1833,1.0656938194131271e-06,3.682435545826479e-06
1834,9.577228610169186e-07,3.378166755663159e-06
1835,1.030848878258439e-06,3.1144796537319053e-06
1836,8.548793815066347e-07,2.7064460095260756e-06
1837,8.586037374413991e-07,3.007200406024424e-06
1838,8.060630598549778e-07,2.994489706864556e-06
1839,6.760756683377167e-07,3.004236964088136e-06
1840,7.433426567615697e-07,3.2224254491453053e-06
1841,7.569826721010031e-07,3.4221523712574253e-06
1842,8.432289391180348e-07,3.102572523783209e-06
1843,8.051119628760262e-07,3.558323276475761e-06
1844,7.283320702100582e-07,3.4012614502643146e-06
1845,8.65493358759295e-07,3.6159876422026116e-06
1846,7.552306797720121e-07,3.428981358410965e-06
1847,7.679950719818862e-07,3.8097731174246974e-06
1848,6.605126934289274e-07,3.64287646981154e-06
1849,6.695152467983689e-07,3.5327614504865323e-06
1850,9.606429571817898e-07,3.315745773058154e-06
1851,7.739326406408509e-07,3.572988981126457e-06
1852,8.177244907869863e-07,3.395249422943891e-06
1853,8.020304633760134e-07,3.7109585544481405e-06
1854,7.544105038448379e-07,3.343929639187948e-06
1855,8.055930535988409e-07,3.6453351874854434e-06
1856,7.506924504241397e-07,3.2512748182611517e-06
1857,8.898991055161787e-07,3.409734161907707e-06
1858,8.050096802492135e-07,3.2224856076901176e-06
1859,7.057752071659706e-07,4.157759491363322e-06
1860,7.46996402511968e-07,3.670443843528659e-06
1861,7.154116943297595e-07,3.7694698447054975e-06
1862,7.350763375768565e-07,3.6898393409590113e-06
1863,7.536882904446429e-07,3.747463958703179e-06
1864,6.866050625831122e-07,3.8904421768570785e-06
1865,6.462497381676258e-07,4.049768999703218e-06
1866,7.390865874867814e-07,4.4043529685566796e-06
1867,5.862196523764851e-07,4.256886240838753e-06
1868,5.799412043927532e-07,4.276449135254268e-06
1869,6.167884851748795e-07,4.0352517887143335e-06
1870,5.344133668927498e-07,4.058559683439711e-06
1871,5.565496614678977e-07,4.783778423167462e-06
1872,5.333753190228663e-07,4.503453570947613e-06
1873,4.794789596473947e-07,4.961200508191155e-06
1874,5.030620702228816e-07,4.646453530376959e-06
1875,4.920513383410707e-07,5.000042474279098e-06
1876,4.848903731868859e-07,4.804163581617615e-06
1877,4.712829664299534e-07,5.288636171663086e-06
1878,4.4266520404789844e-07,4.434502653749561e-06
1879,4.985209365315768e-07,4.814148527376716e-06
1880,5.204873296804635e-07,4.568222781387021e-06
1881,4.83194778411189e-07,4.907947948717961e-06
1882,4.751945112957401e-07,4.655441849799047e-06
1883,5.169219008394066e-07,4.619436777542063e-06
1884,4.898459202706817e-07,5.377742536616381e-06
1885,4.5506187795751885e-07,4.951537543096407e-06
1886,4.4593434367357077e-07,4.989818250589195e-06
1887,4.485371150053652e-07,4.653817333277743e-06
1888,3.9248405059311153e-07,5.0116218313078775e-06
1889,3.752816883917376e-07,4.97577146596484e-06
1890,3.486933479734944e-07,5.115043009151776e-06
1891,3.295471788788973e-07,5.44358389475974e-06
1892,3.654542837239205e-07,5.127016366124337e-06
1893,3.2331687016551314e-07,5.623866181636572e-06
1894,2.986929725778964e-07,5.282580428200845e-06
1895,3.2199588417825e-07,5.272908103037821e-06
1896,3.2433660202002557e-07,5.790882275036324e-06
1897,3.5368152317971635e-07,5.956066623014067e-06
1898,3.066828391240506e-07,5.407689885217337e-06
1899,3.3220745265793994e-07,5.7221492113512795e-06
1900,3.6129728897549285e-07,6.211614159923329e-06
1901,3.677390143508319e-07,5.831848856274746e-06
1902,3.5304940126934525e-07,5.2746270196024625e-06
1903,3.6505489120486345e-07,6.046086570954401e-06
1904,3.5848749746492103e-07,6.263588097965567e-06
1905,3.235795951184173e-07,5.830625534386513e-06
1906,3.662659420200498e-07,5.970855005088538e-06
1907,3.7491327020688914e-07,6.033583844100576e-06
1908,3.1531119226713145e-07,6.277246161090488e-06
1909,3.020039951451281e-07,5.7903354715449495e-06
1910,3.6447106843695565e-07,5.7727515034855514e-06
1911,3.1017781587650006e-07,6.136519385080419e-06
1912,3.677851410088806e-07,6.230988766731116e-06
1913,3.2348238221402426e-07,6.418208322145347e-06
1914,3.7769634353423953e-07,6.167031237680476e-06
1915,2.8980672972522825e-07,5.449780577038155e-06
1916,3.010564633143531e-07,6.726524162559144e-06
1917,3.13639738180882e-07,7.880472573162933e-06
1918,3.893881483918449e-07,7.757898316640421e-06
1919,3.710762861430794e-07,7.611207621494032e-06
1920,2.998603889636797e-07,7.140614712852766e-06
1921,3.316863494973177e-07,7.125955328035616e-06
1922,3.8955498382620135e-07,6.885089483432694e-06
1923,4.2357632423772884e-07,6.612674269490526e-06
1924,4.254236127820832e-07,6.71653629069624e-06
1925,4.3112858350013994e-07,6.2909577422942675e-06
1926,3.499887597513407e-07,7.160279139384329e-06
1927,4.1586607935073516e-07,6.544594953084015e-06
1928,3.5992028735165604e-07,6.808777797573384e-06
1929,3.7208958403311954e-07,7.163281139810351e-06
1930,2.9305052606787285e-07,7.641371567501665e-06
1931,2.9311766169826114e-07,7.871976947626536e-06
1932,2.717965124077182e-07,6.912179571827437e-06
1933,2.4317804658835485e-07,7.243723203487207e-06
1934,2.6718923962221197e-07,7.701759713540923e-06
1935,3.123722223108416e-07,8.422081734238418e-06
1936,2.7765595866924286e-07,8.085971700211303e-06
1937,2.455268059975424e-07,8.468786063531297e-06
1938,4.304451124426123e-07,8.667245950277902e-06
1939,2.905869704861175e-07,8.017141070126854e-06
1940,2.713287790001573e-07,7.2802326940291096e-06
1941,2.3907171176063e-07,7.361047480003435e-06
1942,3.0948960727528174e-07,7.952669136557233e-06
1943,2.409685189164179e-07,8.506479275638412e-06
1944,3.1489224028291574e-07,8.7944904834103e-06
1945,2.919195516426498e-07,9.548383616220235e-06
1946,2.728536507845547e-07,8.819019427619423e-06
1947,3.2782395109620666e-07,9.448482614970999e-06
1948,2.783203356671038e-07,1.0420704342095632e-05
1949,2.483703163136397e-07,1.2195669739867299e-05
1950,4.764642014265519e-07,9.95895220512466e-06
1951,2.4094768669158384e-07,9.751984180184081e-06
1952,2.256588098603629e-07,9.469234100834001e-06
1953,1.9931580652610137e-07,1.0204969584037826e-05
1954,2.2085931483672994e-07,9.999259191317833e-06
1955,2.1962322094282172e-07,9.937481252109137e-06
1956,2.3808716953510611e-07,1.035286760497911e-05
1957,1.351760730017304e-07,1.0638269145601953e-05
1958,2.001882908331254e-07,1.1607611810404705e-05
1959,1.7361675030969081e-07,1.0817718731459536e-05
1960,1.688683344269748e-07,1.1530108082524748e-05
1961,1.9315883115211818e-07,1.1932768870792643e-05
1962,1.5284114773805868e-07,1.1453573051767307e-05
1963,2.6316837598017173e-07,1.248982843549129e-05
1964,2.3423278694423288e-07,1.1596652200296376e-05
1965,2.3256184888964526e-07,1.1164062954094334e-05
1966,2.2433252144793414e-07,1.1583313039409404e-05
1967,2.662381302087624e-07,1.1160307593627294e-05
1968,2.4837529011279e-07,1.1831736685508076e-05
1969,2.2481700412413375e-07,1.1620995934435996e-05
1970,2.9523815037180157e-07,1.1837577943651922e-05
1971,2.0810509582247505e-07,1.2858325646902813e-05
1972,1.9699763775804513e-07,1.3115220554027474e-05
1973,2.056425012497698e-07,1.2737155088871077e-05
1974,1.4570230710830856e-07,1.3690390858300816e-05
1975,1.5649455598065742e-07,1.3596749852240464e-05
1976,1.4055276498226021e-07,1.3106258961670392e-05
1977,1.0343135992130215e-07,1.2766721283696825e-05
1978,1.4910884482688402e-07,1.2311281153642994e-05
1979,1.4922532631800323e-07,1.1328250252518046e-05
1980,1.1938816690815202e-07,1.1833072477429596e-05
1981,1.1512500286414706e-07,1.1887604955518327e-05
1982,1.1421804124722712e-07,1.2086007046718805e-05
1983,9.85189285707122e-08,1.1916369743403266e-05
1984,1.3105758667197875e-07,1.1704718815508386e-05
1985,1.2512360569871817e-07,1.1755603338770015e-05
1986,1.504615845249191e-07,1.1653279671008931e-05
1987,1.2221633571840584e-07,1.175232279138072e-05
1988,1.7150144016042645e-07,1.1891166394661923e-05
1989,1.1470175032002317e-07,1.1592560639428484e-05
1990,9.753085450370236e-08,1.2526993089068128e-05
1991,1.4419205118798573e-07,1.132259211544806e-05
1992,1.1240286479363704e-07,1.201498446334881e-05
