year,en_ADP heures_NOUN,en_ADP soeur_NOUN
1800,1.9808235851570544e-07,3.144164484325529e-09
1801,1.476333271188679e-07,1.4287095950749062e-08
1802,2.103569727296417e-07,0.0
1803,2.0868629979631237e-07,3.900678446910888e-09
1804,2.175228814849106e-07,7.4155526164076946e-09
1805,1.9331568523739406e-07,2.842877711017877e-09
1806,1.8442682403474464e-07,0.0
1807,1.1387820553210304e-07,0.0
1808,1.155697759713803e-07,0.0
1809,5.873479480555943e-08,4.518061036407062e-09
1810,2.0827128199840672e-07,0.0
1811,2.2312983105621242e-07,0.0
1812,1.5469807124190993e-07,0.0
1813,1.4378707646756084e-07,0.0
1814,4.1536137018738373e-07,1.8880061958270744e-08
1815,8.361393355471591e-08,2.697223555614414e-09
1816,1.9236112791531923e-07,0.0
1817,5.231094523105995e-07,0.0
1818,1.0371424252753059e-07,1.1921177378582115e-09
1819,4.326738860527257e-07,1.035105001712111e-09
1820,7.238553223487543e-08,3.5599443393152796e-09
1821,1.3214393845828454e-07,2.9584463767662328e-09
1822,1.0927921323400369e-07,7.017931125119503e-09
1823,7.3131884548161e-08,6.917880934764753e-09
1824,8.168479315173727e-08,1.6842225392110777e-09
1825,9.68598712347557e-08,0.0
1826,1.5502052974625258e-07,1.7615968683770689e-09
1827,1.7051955286673248e-07,1.8434546111834038e-09
1828,1.1832268853595451e-07,1.8344602503717056e-09
1829,8.315980437600956e-08,0.0
1830,7.305784777145163e-08,3.1310507520032616e-09
1831,1.3096612860863388e-07,3.1182412207897414e-09
1832,1.2582871633526338e-07,5.411987746839486e-09
1833,5.79181431703546e-08,3.4750886612755494e-09
1834,2.202949307417157e-07,9.334530925997342e-10
1835,1.0815215745196838e-07,1.5126175867408165e-09
1836,1.1492482449027008e-07,6.720750067579218e-10
1837,9.253994626146067e-08,6.957890930081589e-10
1838,8.710783561127755e-08,0.0
1839,9.997809213846409e-08,1.3982950353153e-09
1840,9.363442643461894e-08,0.0
1841,7.126809142832258e-08,0.0
1842,1.0934472127743788e-07,6.708265054555795e-10
1843,1.1991029680302745e-07,2.9534555912036353e-09
1844,1.1745520822614708e-07,1.097712254427563e-09
1845,9.542189938205325e-08,1.6740683839167048e-09
1846,8.898842196458645e-08,0.0
1847,8.521293093366467e-08,1.0786447290911383e-09
1848,9.654265958891628e-08,4.02261068899179e-09
1849,8.044238342108656e-08,8.379414939696517e-10
1850,1.289909228319175e-07,1.3577992064028876e-09
1851,1.096404611544699e-07,2.579775504329973e-09
1852,1.2239824798143673e-07,0.0
1853,1.1824425172335395e-07,0.0
1854,1.4703729789289355e-07,0.0
