year,en_ADP antre_NOUN,en_ADP centre_NOUN
1800,0.0,3.144164484325529e-09
1801,4.7623651688866175e-09,2.3811825400343878e-08
1802,0.0,2.2378401354217203e-08
1803,3.900678446910888e-09,3.900678446910888e-09
1804,0.0,8.898663139689234e-08
1805,0.0,1.2792949255491237e-07
1806,5.76333825108577e-09,4.610670600868616e-08
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,4.5321479902327155e-09,1.0423940155490641e-07
1809,0.0,2.0331274441787173e-08
1810,4.680253518074551e-09,4.680253518074551e-09
1811,2.5070767684098882e-09,0.0
1812,0.0,1.8670457180292033e-08
1813,0.0,5.751483289628823e-09
1814,0.0,3.1466771410748606e-09
1815,2.697223555614414e-09,5.394447111228828e-09
1816,0.0,1.1588019432906549e-08
1817,2.80237220096069e-08,3.113746815941454e-09
1818,0.0,5.48374146092101e-08
1819,3.1053151161586356e-09,1.8631890696951814e-08
1820,1.1866481131050932e-09,1.3053129244156025e-08
1821,4.930744257336528e-09,1.676452932031225e-08
1822,4.010246357211145e-09,1.0025615893027862e-08
1823,1.9765373782121287e-09,5.929612356680991e-09
1824,3.3684450784221553e-09,2.273700427934955e-08
1825,3.522177216552791e-09,3.169959583715354e-08
1826,1.7615968683770689e-09,8.80798456392995e-09
1827,3.6869092223668076e-09,1.566936447261469e-08
1828,9.172301251858528e-10,1.0089530988466322e-08
1829,6.001223074036943e-09,3.0006116702452346e-08
1830,1.0436835840010872e-09,7.30578508800761e-09
1831,6.236482441579483e-09,3.741889287312006e-08
1832,1.3529969367098715e-09,8.117981842303834e-09
1833,4.6334514003376626e-09,1.1583628278799551e-08
1834,9.334530925997342e-10,2.7070138797213872e-08
1835,6.050470346963266e-09,1.2100940693926532e-08
1836,2.688300027031687e-09,9.140220169623348e-08
1837,4.174734336004349e-09,3.896418832027848e-08
1838,2.5248647617104325e-09,2.5879863585487328e-08
1839,3.4957374772659477e-09,2.37710156003601e-08
1840,3.1848443882154243e-09,2.8026629905752998e-08
1841,5.1364388298225094e-09,6.356343007496434e-08
1842,2.683306021822318e-09,1.60998356868447e-08
1843,5.906910960362666e-09,6.261325596890188e-08
1844,2.7442805805577564e-09,4.9945906965831455e-08
1845,1.674068439427856e-09,3.794555009095646e-08
1846,4.0981511517657054e-09,3.33706573485415e-08
1847,2.1572894581822766e-09,4.853901369727964e-08
