year,son_DET air_NOUN,son_DET cerf_NOUN
1800,3.744699938579288e-06,1.194782499602809e-07
1801,3.2907943818827334e-06,5.000483582762172e-08
1802,3.01660844570506e-06,1.5664880947952042e-08
1803,3.2161094338789553e-06,7.801356893821776e-09
1804,5.203246075780044e-06,1.9774808235339947e-08
1805,4.591247318330716e-06,4.5486043376286034e-08
1806,3.316801098662836e-06,2.881669125542885e-09
1807,2.9067411730920867e-06,1.4234775136401367e-08
1808,3.6189201750858047e-06,4.5321478125970316e-08
1809,3.3411062361210497e-06,2.0331274441787173e-08
1810,4.701314708199789e-06,1.0296557606537249e-07
1811,3.123817577943555e-06,3.008491944456182e-08
1812,3.5740591215471795e-06,6.668020802180763e-08
1813,3.830487941058891e-06,1.4378708224072057e-08
1814,2.712435588136941e-06,2.5173417128598885e-08
1815,2.5192067028001475e-06,5.39444717784221e-08
1816,2.336144632408832e-06,9.038655335302792e-08
1817,3.154225424850665e-06,4.0478707497015876e-08
1818,3.2509049674445123e-06,1.1921177378582115e-09
1819,3.006980080044741e-06,7.24573512300708e-09
1820,2.8004895398225926e-06,3.5599445169509636e-08
1821,3.0501582557462825e-06,1.3806083165590621e-08
1822,3.708475276198442e-06,3.0076847679083585e-08
1823,3.294887733318319e-06,9.882686891060644e-09
1824,3.3566554122899106e-06,5.89477879842093e-08
1825,3.051086025607219e-06,4.402721387464226e-08
1826,2.971813813701374e-06,2.1139161532346407e-08
1827,2.367917545598175e-06,2.488663675137559e-08
1828,2.8690957378785242e-06,3.5771975603893225e-08
1829,3.1334958237039245e-06,2.6576845613135447e-08
1830,3.266729635242882e-06,1.5655254204105518e-08
1831,2.6598597173688177e-06,3.118241287403123e-08
1832,3.1470708279357495e-06,4.7354891563600177e-08
1833,2.992051236105908e-06,4.054269808762001e-08
1834,2.660341408500244e-06,4.760610750054184e-08
1835,3.758854660418365e-06,2.193295500774184e-08
1836,3.0209770613964793e-06,1.5457725766054864e-08
1837,2.594597589222758e-06,3.3397876242347024e-08
1838,2.1821143860734082e-06,3.471689069556305e-08
1839,2.5903414666572644e-06,1.817783634727732e-08
1840,2.4211187366063314e-06,1.8472096741106725e-08
1841,2.19454339855929e-06,1.9903700909651434e-08
1842,2.563898988228175e-06,1.677066263638949e-08
1843,2.5187068644072497e-06,1.4176586626835075e-08
1844,2.2870834754940006e-06,2.4149669375361782e-08
1845,2.1913555343644475e-06,3.4597411713299664e-08
1846,2.2832555970353496e-06,1.8148954339380907e-08
1847,1.7231349573876287e-06,1.941560512364049e-08
1848,1.861664259195095e-06,1.6090443422100975e-09
1849,1.814981274605998e-06,1.0893239421605472e-08
1850,2.033983264482231e-06,3.93761752093269e-08
1851,1.946440590927523e-06,1.999326104673571e-08
1852,2.186241260915267e-06,2.8646399030662906e-08
