year,bon_ADJ or_NOUN,bon_ADJ sort_NOUN
1800,3.45858084394024e-08,3.144164484325529e-09
1801,5.952956638743956e-08,0.0
1802,8.056224487518193e-08,0.0
1803,3.315576790896557e-08,0.0
1804,5.6852570651244605e-08,0.0
1805,2.55858996212055e-08,0.0
1806,6.339671898558663e-08,0.0
1807,3.9857372513552036e-08,0.0
1808,7.024829073998262e-08,0.0
1809,2.4849335034105025e-08,0.0
1810,1.4040760110134443e-08,0.0
1811,6.016984377410495e-08,0.0
1812,1.600324850414836e-08,0.0
1813,3.163315875909234e-08,2.8757416448144113e-09
1814,6.608022173892891e-08,6.293354282149721e-09
1815,5.664169577812572e-08,1.6183340889597275e-08
1816,3.244645441213834e-08,2.3176038865813098e-09
1817,4.670620157298799e-08,0.0
1818,3.5763530803478716e-08,0.0
1819,6.107119787657211e-08,0.0
1820,7.001224133773576e-08,0.0
1821,5.127973856655643e-08,0.0
1822,4.511527151862538e-08,1.0025615893027862e-09
1823,5.138997138942614e-08,4.941343334508019e-09
1824,5.642145595174952e-08,5.894778887238772e-09
1825,9.774041842547376e-08,0.0
1826,9.953022128694755e-08,7.0463874735082754e-09
1827,5.069500080834288e-08,0.0
1828,8.438517085096464e-08,0.0
1829,3.772197487705853e-08,0.0
1830,6.366470017837855e-08,0.0
1831,4.989185953263586e-08,0.0
1832,8.929779937716376e-08,0.0
1833,4.865124125785769e-08,0.0
1834,5.507373401769655e-08,2.8003592777992026e-09
1835,6.806779140333674e-08,0.0
1836,6.183090411893133e-08,0.0
1837,8.697363540477454e-08,0.0
1838,1.218247263068406e-07,6.312161904276081e-10
1839,1.0836786401569043e-07,3.4957374772659477e-09
1840,9.427139247009109e-08,0.0
1841,6.35634278545183e-08,0.0
1842,3.3541326160957396e-08,2.0124795163667386e-09
1843,1.2109167357721162e-07,5.906911071384968e-10
1844,8.781698307425145e-08,0.0
1845,6.02664584903323e-08,0.0
1846,6.20577138565892e-08,1.7563503984519002e-09
1847,6.094342808182773e-08,5.393223645455691e-10
1848,2.3089786793661915e-07,0.0
1849,7.373885324568619e-08,0.0
1850,1.0522943671986695e-07,6.788996032014438e-10
1851,5.997978069771648e-08,0.0
1852,6.705861865796692e-08,0.0
1853,7.882950114890264e-08,4.777545470346922e-09
1854,6.234797211845944e-08,1.558699391779328e-09
1855,1.3214273053563375e-07,5.306937111981824e-10
1856,5.7984518520015627e-08,3.6240324075009767e-09
1857,9.030791758846135e-08,1.9526036343364694e-09
1858,8.270312434888183e-08,0.0
1859,6.772590666059841e-08,2.036869339860914e-09
1860,7.323494441435763e-08,9.154367819341758e-10
1861,6.838147470489275e-08,0.0
1862,6.957699127951855e-08,0.0
1863,6.942522734476597e-08,0.0
1864,7.767459209162553e-08,0.0
1865,1.2755548756127055e-07,1.4120533631256649e-09
1866,4.962925004292629e-08,2.432806400776144e-09
1867,1.2471726051899168e-07,0.0
1868,1.6202786312646822e-07,4.93987406535723e-10
1869,1.0304225384061283e-07,9.767038289254515e-10
1870,9.690542412954528e-08,0.0
1871,1.1577082958957874e-07,1.0621177271019633e-09
1872,6.228759541482276e-08,1.2094678591978436e-09
1873,1.3229070550124788e-07,5.986004469882289e-10
1874,7.826737868921185e-08,5.974609140757536e-10
1875,8.124568529055409e-08,5.721527140956084e-10
1876,6.166934962692494e-08,1.813804439976252e-09
1877,1.199854282596391e-07,2.4739263970730008e-09
1878,8.394333572692148e-08,4.831270938865373e-09
1879,1.1424438006724102e-07,4.27652757650776e-09
1880,6.99545257276668e-08,4.492492600149944e-09
1881,7.669758161910067e-08,1.3247764441004506e-08
1882,8.652000360598322e-08,1.3310770263785798e-09
1883,7.64639978001469e-08,2.5277356319186595e-09
1884,6.205595148855991e-08,2.6406787867472303e-09
1885,1.005519196795035e-07,1.160214413431504e-08
1886,7.550552844071134e-08,1.936039240035825e-08
1887,8.618180658004349e-08,5.223139754040318e-09
1888,7.735550155985038e-08,2.028996659575455e-08
1889,5.701274446989757e-08,5.6386229019267375e-09
1890,7.537544632896243e-08,8.520702476921826e-09
1891,5.609313546983685e-08,1.9122660788184476e-08
1892,8.274436424926535e-08,1.002961980134387e-08
1893,7.020594949835868e-08,2.463366621796581e-09
1894,7.624862519151065e-08,7.561847148451761e-09
1895,9.569597381187123e-08,1.8055843487019274e-09
1896,6.191880430606034e-08,1.0024948871034667e-08
1897,4.4865694825979574e-08,1.0488084178916779e-08
1898,6.5636914792222e-08,1.0185039034382726e-08
1899,4.311511325738593e-08,2.7637891975018647e-08
1900,4.983411017178696e-08,1.038210584169974e-08
1901,3.353243371861936e-08,2.794369402536745e-09
1902,7.021706238674597e-08,6.383369166584885e-09
