year,on_PRON eut_VERB,on_PRON sut_VERB
1800,5.929894314249395e-06,1.175917532236781e-06
1801,6.338708203657006e-06,1.1834477504635288e-06
1802,6.118254759712727e-06,6.691142004910944e-07
1803,5.84906729272916e-06,8.620499443168228e-07
1804,5.180999664844421e-06,9.368314977109549e-07
1805,5.964357342236326e-06,1.111565211431298e-06
1806,6.129310122560128e-06,1.331331134224456e-06
1807,5.394980007622507e-06,1.2839767578043393e-06
1808,5.309411108100903e-06,9.109617735703068e-07
1809,6.39757422504772e-06,9.691241302789422e-07
1810,5.94626214933669e-06,1.2379270231122064e-06
1811,5.294946163303393e-06,1.0905783938142122e-06
1812,5.590468617810984e-06,1.0455455878854991e-06
1813,6.223104946911917e-06,1.1330422182709299e-06
1814,6.721302270307206e-06,1.2932843276303174e-06
1815,6.51109769478353e-06,1.5859674249441014e-06
1816,4.994436494598631e-06,1.010475273233169e-06
1817,6.2788705008642864e-06,1.8682480913412292e-06
1818,6.5864506950674695e-06,1.4519994238071376e-06
1819,6.886553592266864e-06,1.433620468560548e-06
1820,6.812546871515224e-06,1.7740389921527822e-06
1821,6.403064276128134e-06,1.3500377633590688e-06
1822,8.401466288887605e-06,1.2612224509211956e-06
1823,7.708495559199946e-06,1.4616493615449144e-06
1824,7.4358423489684355e-06,1.8888555644025473e-06
1825,7.584128184134897e-06,1.91078112266041e-06
1826,6.572518032044172e-06,1.603933924343437e-06
1827,5.951593379904807e-06,1.383512682195942e-06
1828,6.473810344687081e-06,1.714303095923242e-06
1829,6.829392077634111e-06,2.6662578420655336e-06
1830,6.741152219547075e-06,1.832708392157656e-06
1831,4.992304184270324e-06,1.3813809118801146e-06
1832,5.789473789263866e-06,1.2339331760813366e-06
1833,5.417662919171562e-06,1.376135116970545e-06
1834,5.154527798367781e-06,1.2097551973511145e-06
1835,5.631475232803496e-06,1.2342959507805062e-06
1836,5.711293511012627e-06,1.3770817020031245e-06
1837,6.700448921037605e-06,1.2746855873047025e-06
1838,6.978726105444366e-06,1.99401199552085e-06
1839,6.307009698502952e-06,1.3102024638556031e-06
1840,5.6779405213092105e-06,1.3860442322766175e-06
1841,5.287963972477883e-06,1.2256827233159129e-06
1842,6.060917598915694e-06,1.4362395290845598e-06
1843,5.129561486683087e-06,1.0295745767052722e-06
1844,5.679014179804653e-06,1.1053962225560099e-06
1845,5.694064725503267e-06,1.2968449993877584e-06
1846,5.426537086350436e-06,1.2007582483875012e-06
1847,5.063697926743771e-06,1.0085328199238575e-06
1848,4.845636908612505e-06,1.1601209735090379e-06
1849,4.795539098267909e-06,9.410083237071376e-07
1850,5.515380507858936e-06,1.2681844623330107e-06
1851,5.200182386033703e-06,1.0673821009277162e-06
1852,4.107503059458395e-06,8.066565584385899e-07
1853,4.636607968677708e-06,1.0970438779622782e-06
1854,5.385305939853424e-06,2.0663157442868396e-06
1855,5.199206270845025e-06,1.0895141713263001e-06
1856,5.794310254714219e-06,1.4242447718970652e-06
