year,bien_ADV aider_VERB,bien_ADV céder_VERB
1800,9.432493897065797e-09,5.65949598296811e-08
1801,7.381665767525192e-08,1.0715321963061797e-07
1802,3.1329761895904085e-08,1.1189200677108602e-07
1803,4.290746247193056e-08,8.191424427650418e-08
1804,3.707776485839531e-08,4.943701981119375e-08
1805,5.970043304159844e-08,5.970043304159844e-08
1806,0.0,1.9019016406218725e-07
1807,1.9928686256776018e-08,5.97860605466849e-08
1808,1.3596443970698147e-08,4.985362878073829e-08
1809,4.743964154840796e-08,4.0662548883574345e-08
1810,7.020380277111826e-09,1.3572734758326988e-07
1811,3.008491944456182e-08,4.262030373070047e-08
1812,5.3344164641089264e-09,9.868670503010435e-08
1813,7.764502640839055e-08,8.052076339026826e-08
1814,1.8880061958270744e-08,4.405347908686963e-08
1815,1.3486118000116676e-08,5.664169577812572e-08
1816,4.1716869958463576e-08,6.489290882427667e-08
1817,1.71256075987003e-08,1.3077736582545185e-07
1818,5.722165141719415e-08,4.887682791832049e-08
1819,8.177329391401145e-08,4.243930362690662e-08
1820,7.238553223487543e-08,7.95054262425765e-08
1821,4.339054981983281e-08,6.804427243878308e-08
1822,1.6442010064565693e-07,5.213320264374488e-08
1823,6.324919610278812e-08,6.522573414713406e-08
1824,1.1621135342920752e-07,4.378978601948802e-08
1825,8.101007864524945e-08,1.0390422744421812e-07
1826,6.165588928297439e-08,5.813269510213104e-08
1827,4.147772969531616e-08,4.977327350275118e-08
1828,6.328887991458032e-08,1.2841221064263664e-07
1829,2.2290258527846163e-08,8.058785283537873e-08
1830,4.279102583382155e-08,5.5315229730013016e-08
1831,3.741889287312006e-08,5.9246584527272717e-08
1832,4.7354891563600177e-08,1.3665268738805025e-07
1833,2.548398292390175e-08,1.01935931695607e-07
1834,4.667265329771908e-08,1.0734710542692483e-07
1835,5.899208588289184e-08,5.974839467626225e-08
1836,6.51912728244497e-08,6.85516496901073e-08
1837,6.053365098068753e-08,8.210311364109657e-08
1838,7.890202624594167e-08,9.02639172295494e-08
1839,5.383435919270596e-08,1.0067724076634477e-07
1840,5.414235459966221e-08,5.414235459966221e-08
1841,4.751206006403663e-08,7.512041833024341e-08
1842,3.8237111255057243e-08,6.909512961783548e-08
1843,4.134837894298471e-08,4.4892523476391943e-08
1844,2.6893950177964143e-08,7.848642269436823e-08
1845,3.013322924516615e-08,8.537748641401777e-08
1846,3.1614305839866574e-08,6.264316709803097e-08
1847,1.833696039454935e-08,4.530307862182781e-08
1848,4.746680914990975e-08,7.642960753173611e-08
1849,4.273501730267526e-08,8.463209155706863e-08
1850,7.5357853290825e-08,6.177986477950981e-08
1851,3.9341575330809064e-08,5.6755062871616246e-08
1852,4.296959943417278e-08,4.687592536356533e-08
1853,4.478948767427937e-08,7.046879346717105e-08
1854,7.377843758149538e-08,6.33871053423718e-08
1855,4.404757802944914e-08,6.792879503336735e-08
1856,3.572260709461261e-08,7.144521418922523e-08
1857,4.002837528105374e-08,6.882928005325084e-08
1858,2.6425849952715907e-08,5.236233491245912e-08
1859,3.258990943777462e-08,5.8050776630125256e-08
1860,3.020941363729435e-08,9.566314673747911e-08
1861,5.046081241744105e-08,9.054650718098856e-08
1862,5.0601446588416366e-08,5.557123117228002e-08
1863,3.8958042125614156e-08,7.591823703023692e-08
1864,4.6029388300894425e-08,8.390773587052536e-08
1865,4.1890913848874334e-08,6.82492427017678e-08
1866,3.6978658357611494e-08,4.719644408623935e-08
1867,4.85281148598915e-08,8.346835755901338e-08
1868,3.853101659956337e-08,4.643481688049178e-08
1869,4.688178378842167e-08,8.594993516908289e-08
1870,4.7019199200803996e-08,6.479475445075877e-08
1871,6.266494523288202e-08,9.983906323896008e-08
1872,3.809823923006661e-08,7.075387031818536e-08
1873,4.309923085088485e-08,5.686704085405836e-08
1874,3.0470506118263074e-08,6.930546447847519e-08
1875,4.3483606049221635e-08,4.577221801582709e-08
1876,3.869449471949338e-08,5.139112602137175e-08
1877,4.4530676035492434e-08,2.8450154232473324e-08
1878,3.804625947623208e-08,6.401433694236403e-08
1879,4.154341226580982e-08,4.826366861720999e-08
1880,5.776061584583658e-08,5.455169471701993e-08
1881,6.902782700990429e-08,6.763332294212887e-08
1882,4.791877472598571e-08,4.858431168486277e-08
1883,2.5277355319985872e-08,5.8137917591238875e-08
1884,3.036780782394999e-08,6.007544328667791e-08
1885,5.220964993668531e-08,5.220964993668531e-08
1886,2.1296431285122708e-08,6.388929563172496e-08
1887,4.243801043912754e-08,5.419007464979586e-08
1888,3.233713385952797e-08,5.7699594435689505e-08
1889,4.8868066926388565e-08,5.388017498830777e-08
1890,3.4082809463598096e-08,5.2435090935887274e-08
1891,3.888274235919198e-08,5.099376210182527e-08
1892,3.57305189879753e-08,6.017771880806322e-08
1893,3.202376674948937e-08,5.788911394688512e-08
1894,2.457600345451283e-08,4.4110773700367645e-08
1895,3.1296796265678495e-08,4.8750777636996645e-08
1896,3.538217541176891e-08,7.017464298542109e-08
1897,5.7684463428131494e-08,3.3212266714599536e-08
1898,3.621347133275776e-08,6.054439438685222e-08
1899,4.4220627160029835e-08,4.477338677588705e-08
1900,4.879590065343109e-08,5.087231969014283e-08
1901,3.63268028991115e-08,5.86817598957623e-08
1902,3.338993082024899e-08,4.615666782115113e-08
1903,3.348136701220028e-08,6.372260230591564e-08
1904,4.192207825326477e-08,4.8909090111237674e-08
1905,4.69629064525634e-08,4.076999715607599e-08
1906,2.82930141537463e-08,3.549487459508782e-08
1907,2.5714216533856415e-08,4.885701088142014e-08
1908,4.862275204686739e-08,7.56353912834129e-08
1909,3.190570296851547e-08,4.1257376182102234e-08
1910,4.0615546481603815e-08,4.702852507421085e-08
1911,5.3203741856577835e-08,4.256299490634774e-08
1912,5.574080574888285e-08,4.740573444905749e-08
1913,4.348451554392341e-08,3.6590627416899224e-08
1914,4.218948390644073e-08,4.620753202289052e-08
1915,7.657494904833584e-08,6.950649833470379e-08
1916,4.2851102222130066e-08,3.5159878564172686e-08
1917,4.496234140560773e-08,4.276905585243185e-08
1918,4.3648228142956214e-08,7.810736235569493e-08
1919,5.248473655683483e-08,4.1435317399418636e-08
1920,3.710393414735336e-08,4.467616676606667e-08
1921,3.332008802203745e-08,2.3475516641724425e-08
1922,6.418803621954794e-08,4.795657915224183e-08
1923,3.715581797791856e-08,3.3971033985835675e-08
1924,3.867487308184536e-08,4.512068585427187e-08
1925,4.8391981977147225e-08,4.2892892793133797e-08
1926,3.009457216762712e-08,3.566764306128789e-08
1927,2.2298449309232637e-08,5.5746124161260013e-08
1928,3.999114284169991e-08,4.570416578530967e-08
1929,3.78773812315103e-08,2.8965056131369238e-08
1930,2.4158287814657342e-08,4.3064773080914165e-08
1931,3.649714130915527e-08,4.676196141417677e-08
1932,1.8631212128639163e-08,2.4110979879310435e-08
1933,5.276504566609219e-08,2.2941325283909464e-08
1934,5.152079296522061e-08,4.7926320689839486e-08
1935,4.308582290946106e-08,3.590485420090772e-08
1936,1.576212937948185e-08,3.758661648589623e-08
1937,2.895957251780601e-08,4.784624962894668e-08
1938,3.241303758727554e-08,5.8343463393839556e-08
1939,4.282334131744392e-08,1.988226472349197e-08
1940,5.325144059042941e-08,5.0715659227762444e-08
1941,1.7709016475464523e-08,6.198155233505531e-08
1942,4.5513175450651033e-08,3.944475324146879e-08
1943,6.67744117777147e-08,6.67744117777147e-08
1944,4.819779064746399e-08,7.711646787811333e-08
1945,2.6142048525912287e-08,6.317661416233022e-08
1946,2.7842208538686464e-08,5.290019799986112e-08
1947,3.2186353138285995e-08,4.4107220986688844e-08
1948,3.4790041070209554e-08,3.261566305923225e-08
1949,3.435953033203987e-08,4.417653798327592e-08
1950,4.4668517773516214e-08,4.5732054587688253e-08
1951,3.4116485636559446e-08,4.477788806411809e-08
1952,3.057992969957013e-08,3.9015773722894664e-08
1953,3.663101466599983e-08,3.3398865895151175e-08
1954,3.420387528763058e-08,4.9839933069506515e-08
1955,4.411235821066839e-08,2.5341140741375057e-08
1956,2.703553825256222e-08,3.575668117150599e-08
1957,3.710716001137371e-08,5.212672249399475e-08
1958,2.4816730004317833e-08,3.8052320405768114e-08
1959,3.1778064624177205e-08,4.107896245386655e-08
1960,4.706166834012038e-08,4.3601250609981435e-08
1961,2.848745239703021e-08,3.61304266505158e-08
1962,3.99543260698465e-08,4.249110929777089e-08
1963,2.8450633848819962e-08,3.103705381590771e-08
1964,4.258777863697105e-08,3.467862086381501e-08
1965,3.173785145804686e-08,3.8851506900527966e-08
1966,3.9881339120029224e-08,2.880318916709257e-08
1967,5.4233691315630495e-08,4.141481824149196e-08
1968,5.29987076447469e-08,3.368561962702188e-08
1969,4.178417256639477e-08,3.951329219376021e-08
1970,3.632992928714884e-08,2.3913370839068193e-08
1971,4.007949883089168e-08,2.980270608077262e-08
1972,3.642404422521395e-08,2.8728821988011077e-08
1973,3.9695066789136035e-08,3.9695066789136035e-08
1974,2.925297337696975e-08,2.8690415376786405e-08
1975,4.740528680713396e-08,2.6843956391076063e-08
1976,4.056603941648973e-08,2.2282755196556536e-08
1977,4.348818549715361e-08,3.584836960612847e-08
1978,3.861384456627093e-08,4.7524729041015235e-08
1979,4.213420723431227e-08,2.4578287849408298e-08
1980,3.354238842234736e-08,2.8425754194927322e-08
1981,3.6055631369436014e-08,2.213942273954217e-08
1982,4.4694015599588965e-08,2.669225906970496e-08
1983,2.652432762317858e-08,2.2103606056589342e-08
1984,3.827345551599137e-08,1.9136727757995686e-08
1985,4.271046094572739e-08,3.128090142467954e-08
1986,3.596691300344901e-08,1.8582904104391673e-08
1987,3.788706592899871e-08,1.8943532964499354e-08
1988,4.8572086797094016e-08,3.1182079140990027e-08
1989,4.610022585893603e-08,2.9635859988275115e-08
1990,3.2691904294779306e-08,2.942271493111548e-08
1991,3.9271817797725816e-08,3.341035181847474e-08
1992,4.518154383958972e-08,3.4712648755430564e-08
