year,ton_DET sentier_NOUN
1800,0.0
1801,2.3811825844433088e-09
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,2.705993873419743e-09
1833,0.0
1834,9.334530925997342e-10
1835,1.5126175867408165e-08
1836,7.392825185359442e-09
1837,3.478945576063097e-09
1838,3.787297142565649e-09
1839,2.09744255297295e-09
1840,1.0191501420564464e-08
1841,7.704658244733764e-09
1842,7.379091560011375e-09
1843,1.0041748876865597e-08
1844,6.037417232818143e-09
1845,3.348136878855712e-09
1846,2.9272506640865004e-09
1847,1.0247124926365814e-08
1848,3.218088684420195e-09
1849,5.865590679832167e-09
1850,2.0366988096043315e-09
1851,7.094382636907426e-09
1852,1.1718981784980542e-08
1853,2.388772735173461e-09
1854,2.597832282624779e-09
1855,2.1227748447927297e-09
1856,5.177189343896771e-09
1857,4.881508974818871e-09
1858,7.82988185399347e-09
1859,9.675129808428551e-09
1860,1.4646988732991417e-08
1861,8.488734437595014e-09
1862,8.132375661773494e-09
1863,3.995696662428827e-09
1864,9.109982990196386e-09
1865,7.0602665935837194e-09
1866,1.4596839292835284e-09
1867,3.396968040192405e-09
1868,9.87974813071446e-10
1869,8.301982545866338e-09
1870,4.587239033071455e-09
1871,1.0621177271019633e-09
1872,6.652073114565837e-09
1873,6.584604861359367e-09
1874,2.3898436007918633e-09
1875,1.659242854223919e-08
1876,1.813804439976252e-09
1877,2.4739263970730008e-09
1878,4.22736201599605e-09
1879,6.720257905712401e-09
1880,7.059630657835214e-09
1881,3.486253785656146e-09
1882,9.317539406694664e-09
1883,5.0554711528150165e-09
1884,1.3203393933736152e-09
1885,7.090199205528336e-09
1886,1.2261581472383654e-08
1887,6.528924623161458e-10
1888,0.0
1889,4.385595886446936e-09
1890,6.554386478008212e-10
1891,1.9122659011827636e-09
1892,8.149066310636499e-09
1893,1.847525021858587e-09
1894,1.2603078580752936e-09
1895,6.018614495673091e-10
1896,3.5382172747233653e-09
1897,2.330685422435863e-09
1898,1.6975064687230201e-09
1899,2.2110313580014918e-09
1900,5.191053142894475e-10
1901,5.588738916095792e-10
1902,4.910283846193408e-10
1903,2.7001101354784396e-09
1904,1.6123875568041512e-09
1905,1.0321518084666081e-09
1906,3.600929110447737e-09
1907,2.5714217422034835e-09
1908,1.4734167219643268e-09
1909,1.2102163715610459e-08
1910,3.206490406526541e-09
1911,2.128149656499545e-09
1912,7.81413189709923e-09
1913,0.0
1914,2.0090231700464756e-09
1915,1.1780761921542648e-09
1916,2.197492410260793e-09
1917,9.869782324756216e-09
1918,1.6080926812378493e-08
1919,4.603924352863942e-09
1920,4.543339038320937e-09
1921,4.543648568500203e-09
1922,2.951174193910333e-09
1923,6.369568872344189e-09
1924,1.289162443462999e-09
1925,3.299453377181294e-09
1926,1.1146138456652466e-09
1927,6.689535148041159e-09
1928,4.570416489713125e-09
1929,1.1140406375176326e-09
1930,1.0503603542488804e-09
1931,3.4216069977333063e-09
1932,4.383814644626227e-09
1933,0.0
1934,2.3963160344919743e-09
1935,3.590485242455088e-09
1936,2.424942913137329e-09
1937,2.5182236296217297e-09
1938,5.186085783037697e-09
1939,6.117620188206274e-09
1940,5.0715658339584024e-09
1941,0.0
1942,0.0
1943,0.0
1944,1.2852744646352221e-08
1945,0.0
1946,2.7842208538686464e-09
1947,0.0
1948,1.195907639583993e-08
1949,4.908504158684934e-09
1950,3.190608444114673e-09
1951,0.0
1952,0.0
1953,2.1547654771580937e-09
1954,9.772536113672459e-10
1955,5.631364707880948e-09
1956,2.616342476002842e-09
1957,2.6505113659425206e-09
1958,8.272243445794913e-10
1959,2.325224457422337e-09
1960,6.920833239831836e-09
1961,1.3896318540318475e-09
1962,2.536782617301725e-09
1963,2.5864211883330768e-09
1964,3.6503810529886493e-09
1965,1.6416130677043839e-09
1966,3.877352328096606e-09
1967,4.437301970305896e-09
