year,son_DET oeil_NOUN,son_DET seuil_NOUN
1800,5.093546420198436e-07,6.288328879833216e-08
1801,2.97647822833369e-07,9.524730337773235e-09
1802,2.953948978756671e-07,3.8043282302169246e-08
1803,5.070881883284528e-07,1.3652374342143503e-08
1804,2.6943175757132565e-07,4.202146608456303e-08
1805,5.117179853186826e-07,2.55858996212055e-08
1806,2.42060210098316e-07,0.0
1807,1.3095993800504857e-07,0.0
1808,3.2404858929524494e-07,4.985362878073829e-08
1809,1.626501919815837e-07,0.0
1810,2.7613495579004166e-07,2.106114038724627e-08
1811,1.2535383930867283e-07,2.0056614147279106e-08
1812,1.5736528169441044e-07,2.6672082320544632e-09
1813,1.811717276201108e-07,2.8757416448144113e-09
1814,1.9194730249694203e-07,0.0
1815,1.2137505756015798e-07,2.6972236000233352e-08
1816,1.4832664874120383e-07,0.0
1817,1.1520863552050287e-07,6.227493631882908e-09
1818,1.8120190148351867e-07,1.4305412854298538e-08
1819,1.2835301888003414e-07,1.1386155129855524e-08
1820,1.6494408328071586e-07,2.0173018810965004e-08
1821,2.573848502107623e-07,1.3806083387635226e-08
1822,1.373509377344817e-07,2.0051231786055723e-09
1823,1.4725203600907122e-07,9.882686891060644e-10
1824,1.776854690049845e-07,2.0210670470532932e-08
1825,2.1397227101260796e-07,2.3774695989686734e-08
1826,1.330005634514464e-07,2.8185549894033102e-08
1827,9.678136692059525e-08,1.1060727445055818e-08
1828,1.27494987567367e-07,1.1923991571904935e-08
1829,1.0716469828198072e-07,2.8291481157793896e-08
1830,1.335915051914327e-07,9.393152256009785e-09
1831,1.9956744168325713e-07,3.897801548191637e-08
1832,2.435394534927582e-07,3.92369123858316e-08
1833,2.3630601475588264e-07,1.0425265983826648e-08
1834,1.7082192016459885e-07,5.3206825612051034e-08
1835,1.4369867784580492e-07,4.840376277570613e-08
1836,1.5793762631055586e-07,1.1694105239712371e-07
1837,1.245462457610813e-07,4.8705236954660336e-08
1838,1.1172526725999887e-07,2.398621568033832e-08
1839,9.927895039396617e-08,3.8453112694014635e-08
1840,9.618229768193487e-08,4.713569479175561e-08
1841,1.2584274911020543e-07,3.5955071808757566e-08
1842,9.324488692286081e-08,5.903273203600179e-08
1843,8.033399145901399e-08,5.493427446268129e-08
1844,1.1855292225693148e-07,7.683986069650928e-08
1845,9.263178624152602e-08,5.357019006169139e-08
1846,1.0011197049131226e-07,3.219975797108532e-08
