year,bien_ADV allé_VERB,bien_ADV salé_VERB
1800,0.0,1.2576657937302116e-08
1801,7.143547975374531e-09,1.4287095950749062e-08
1802,2.2378401354217203e-09,6.713520406265161e-09
1803,1.1702034896643454e-08,2.3404069793286908e-08
1804,0.0,4.69651695311768e-08
1805,2.842877711017877e-09,5.685755422035754e-09
1806,0.0,1.729001475325731e-08
1807,0.0,5.693910232196231e-09
1808,2.2660739951163578e-09,2.2660739951163578e-09
1809,3.388545621874073e-08,2.259030518203531e-09
1810,7.020380277111826e-09,2.3401267590372754e-09
1811,2.5070767684098882e-09,5.264861258069686e-08
1812,1.600324850414836e-08,2.6672083208723052e-08
1813,0.0,1.4378708002027452e-08
1814,6.293354282149721e-09,9.440030979135372e-09
1815,0.0,0.0
1816,0.0,0.0
1817,3.113746815941454e-09,1.556873407970727e-09
1818,8.344824387052086e-09,1.668964877410417e-08
1819,2.070210003424222e-09,2.4842520929269085e-08
1820,1.4239777357261119e-08,9.493184904840746e-09
1821,1.676452932031225e-08,5.9168927535324656e-09
1822,1.303330066093622e-08,9.023054303725075e-09
1823,8.894418535021487e-09,6.917880934764753e-09
1824,2.6105450245950124e-08,4.210556348027694e-09
1825,6.163809906922779e-09,1.7610886082763955e-09
1826,8.807984341885344e-10,4.403992281964975e-09
1827,9.217273055917019e-10,1.8434546111834038e-09
1828,2.7516904310687096e-09,1.8344602503717056e-09
1829,3.429270423183084e-09,9.430493719264632e-09
1830,1.461157062010443e-08,1.0436835840010872e-09
1831,2.182768810143898e-08,3.1182412207897414e-09
1832,1.488296597074168e-08,1.6235963684607668e-08
1833,1.9692167896323554e-08,2.3167257001688313e-09
1834,7.467624740797874e-09,9.334530925997342e-10
1835,2.2689263801112247e-08,5.294161553592858e-09
1836,2.419469957715137e-08,1.0753200108126748e-08
1837,1.6698937344017395e-08,1.6003149028165353e-08
1838,1.3886756633496589e-08,4.418513555037862e-09
1839,6.292327547896548e-09,1.3982949909063791e-08
1840,6.3696887764308485e-09,1.9109065441114126e-09
1841,8.988767952189392e-09,3.2102742686390684e-09
1842,7.379091560011375e-09,3.3541325272778977e-09
1843,8.860366662588604e-09,2.3627644285539873e-09
1844,6.037417232818143e-09,3.2931368743049916e-09
1845,5.580227946389016e-10,7.812318791877715e-09
1846,4.0981511517657054e-09,8.196302303531411e-09
1847,4.853901280910122e-09,5.9325460100012606e-09
1848,8.04522137798358e-09,0.0
1849,8.379414495607307e-09,1.6758829879393033e-09
1850,6.1100964288129944e-09,2.0366988096043315e-09
1851,1.2253933867611977e-08,1.9348316282474798e-09
1852,9.114764054629632e-09,0.0
1853,9.555090940693844e-09,6.569124799682413e-09
1854,9.352196350675968e-09,1.558699391779328e-09
1855,5.306937111981824e-09,9.021793090369101e-09
1856,8.801221973442352e-09,6.212626857404757e-09
1857,2.9289055625270066e-09,1.4644527812635033e-09
1858,1.5170396494568195e-08,8.31924928945682e-09
1859,8.147477359443656e-09,4.582956236731661e-09
1860,5.034902272882391e-09,3.204028820036342e-09
1861,1.226150558863992e-08,5.187560159214399e-09
1862,3.6595690033891515e-08,7.228778020618165e-09
1863,6.493007020935693e-09,6.493007020935693e-09
1864,5.274200631788517e-09,1.9178911792039344e-09
1865,6.589582213223366e-09,4.23615986733239e-09
1866,1.0704348518686402e-08,9.731225825149181e-10
1867,1.747012134956094e-08,9.7056229719783e-10
1868,1.0373735648272486e-08,4.939874287401835e-09
1869,1.2208797528501236e-08,1.953407657850903e-09
1870,8.027668307875047e-09,6.307453670473251e-09
1871,1.1683295220166201e-08,1.0621177271019633e-09
1872,9.071008832961525e-09,9.675742873582749e-09
1873,1.2570609442263958e-08,1.1972009161809183e-08
1874,1.1351757756017378e-08,4.182226565063729e-09
1875,1.716458086775674e-08,1.716458086775674e-09
1876,1.6928840551599933e-08,6.04601479992084e-09
1877,1.2369632429454214e-08,1.8554447978047506e-09
1878,1.3285995414946683e-08,6.039088673581716e-10
1879,1.2829582729523281e-08,3.0546627449723474e-09
1880,9.626769603698904e-09,5.134277003548959e-09
1881,1.4642266066289267e-08,6.9725074602899895e-09
1882,1.9966154951589488e-08,1.9966155395678697e-09
1883,8.847074184359371e-09,1.0110942305630033e-08
1884,1.2543224237049344e-08,3.300848483434038e-09
1885,1.5469526104539e-08,1.933690763067375e-09
1886,1.2261581083805595e-08,3.2267319927115068e-09
1887,1.1752064210668323e-08,1.9586774424595887e-09
1888,1.1413106904001324e-08,7.60873763994141e-09
1889,1.1277245803853475e-08,6.265136853755848e-09
1890,2.0318598359381213e-08,6.554386478008212e-10
1891,5.099376032546843e-09,6.3742202627281586e-09
1892,1.817868522380195e-08,2.5074049503359674e-09
1893,1.1085149687062312e-08,4.926733243593162e-09
1894,1.3863386882917439e-08,4.411077725308132e-09
1895,1.1435367319734269e-08,7.824199066419624e-09
1896,5.897029087265082e-09,0.0
1897,9.322741689743452e-09,5.2440420894583895e-09
1898,1.3014216371232123e-08,2.8291773368493978e-09
1899,1.1607914629507832e-08,1.1055156790007459e-09
1900,5.710158568206225e-09,3.633737311048435e-09
1901,1.3412973842719111e-08,5.029864968975062e-09
1902,7.365425602756659e-09,1.9641135384773634e-09
1903,1.5120615870500842e-08,4.320176216765503e-09
1904,4.837162670412454e-09,2.1498500757388683e-09
1905,4.1286072338664326e-09,1.0321518084666081e-09
1906,1.6975809202790515e-08,1.5432553013283723e-09
1907,6.685696440911215e-09,2.057137349353866e-09
1908,8.349361202419914e-09,1.4734167219643268e-09
1909,1.7603147384193107e-08,6.0510818578052294e-09
1910,1.977335806202518e-08,4.275320542035388e-09
1911,1.9153347352585115e-08,0.0
1912,1.1460726589973547e-08,2.0837684910901544e-09
1913,2.227255713194154e-08,0.0
1914,1.5402511266415786e-08,2.678697486047099e-09
1915,1.1780762143587253e-08,1.1780762143587253e-08
1916,4.394984820521586e-09,4.394984820521586e-09
1917,2.1932848426331475e-08,6.57985488317081e-09
1918,4.594550517822427e-09,1.1486376294556067e-09
1919,1.8415697411455767e-08,4.603924352863942e-09
1920,1.2115570768855832e-08,1.514446346106979e-09
1921,6.815472630705699e-09,1.5145494858259667e-09
1922,2.1396012073182646e-08,6.640141769764796e-09
1923,2.3355084977083607e-08,5.307974060286824e-09
1924,3.2229060309418855e-08,2.578324886925998e-09
1925,1.7597084678300234e-08,2.1996355847875293e-09
1926,1.89484357093761e-08,1.3375366592072169e-08
1927,3.0102906833917586e-08,8.919379901328739e-09
1928,1.82816659588525e-08,6.8556245125250825e-09
1929,1.893869061575515e-08,5.570202965543558e-09
1930,2.10072066408884e-08,4.201441416995522e-09
1931,1.596749932275543e-08,7.983749661377715e-09
1932,1.6439305028370654e-08,1.2055489939655217e-08
1933,1.7205993074753678e-08,5.735331320977366e-09
1934,2.3963160344919743e-08,1.0783422155213884e-08
1935,1.555876849579363e-08,1.196828414151696e-09
1936,9.699771652549316e-09,1.2124714565686645e-09
1937,1.510934133364117e-08,8.813782592653752e-09
1938,2.3337385357535823e-08,2.5930428915188486e-09
1939,2.2941076593951948e-08,6.117620188206274e-09
1940,2.2822046474857416e-08,5.0715658339584024e-09
1941,2.066051862925633e-08,8.854508237732261e-09
1942,2.730790527039062e-08,0.0
1943,2.6129116648121453e-08,2.9032352077962287e-09
1944,1.927911696952833e-08,0.0
1945,2.178504132643866e-08,1.089252066321933e-08
1946,3.897909195416105e-08,1.3921104269343232e-09
1947,2.0265479960812627e-08,1.1920870957027319e-09
1948,2.0656587551570738e-08,5.435944139264848e-09
1949,1.9634017078828947e-08,8.835307596655184e-09
1950,1.595304155443955e-08,1.0635361480382244e-09
1951,2.4521224162299404e-08,2.1322803522849654e-09
1952,2.2144087452602434e-08,4.2179215675730575e-09
1953,2.3702419582605216e-08,4.3095309543161875e-09
1954,2.443134050622575e-08,1.9545072227344917e-09
1955,4.129667274810345e-08,2.815682353940474e-09
1956,2.8779767902165077e-08,5.232684952005684e-09
1957,4.240818185508033e-08,8.835037701437898e-10
1958,3.060729980575161e-08,6.617794756635931e-09
1959,1.9376869886400527e-08,2.325224457422337e-09
1960,2.145458388724819e-08,4.844583401109048e-09
1961,2.431855783413539e-08,6.94815938118154e-09
1962,2.5367825173816527e-08,6.341956293454132e-09
1963,2.198458126656533e-08,1.939815863494232e-09
1964,2.6769461314302134e-08,3.041984220075733e-09
1965,2.3529786119524942e-08,3.2832261354087677e-09
1966,1.495550172592175e-08,6.6468897053084675e-09
1967,2.1693477236794934e-08,6.409436092980059e-09
1968,2.6050212653672133e-08,2.245707841908029e-09
1969,2.043791091921321e-08,4.541757636644661e-09
1970,1.5175793066646293e-08,3.219107425067591e-09
1971,2.5178147566862208e-08,3.083038491169532e-09
1972,2.0520587895589415e-08,5.130146973897354e-09
1973,2.260413545229767e-08,5.513203671370093e-09
1974,1.406392957647995e-08,1.6876715580593782e-09
1975,1.7134439644905797e-08,3.4268881066168433e-09
1976,1.8283285996290033e-08,1.7140580066410394e-09
1977,2.52701610747863e-08,4.7014254711541525e-09
1978,2.4356424432880885e-08,1.0099005187669263e-08
1979,2.57486831856113e-08,5.266775904289034e-09
1980,1.989802811408481e-08,7.390696055153967e-09
