year,ancien_ADJ an_NOUN,ancien_ADJ sang_NOUN
1800,0.0,0.0
1801,1.1905912922216544e-08,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,0.0,1.152667650217154e-08
1807,5.693910232196231e-09,1.7081731584767113e-08
1808,0.0,1.3596443970698147e-08
1809,2.259030518203531e-09,1.581321384946932e-08
1810,0.0,4.680253518074551e-09
1811,2.5070767684098882e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,0.0,1.8880061958270744e-08
1815,5.394447111228828e-09,2.697223555614414e-09
1816,2.3176038865813098e-09,0.0
1817,4.670620334934483e-09,0.0
1818,0.0,0.0
1819,1.035105001712111e-09,1.035105001712111e-09
1820,0.0,1.1866481131050932e-09
1821,0.0,9.861488514673056e-09
1822,0.0,3.0076847679083585e-09
1823,0.0,8.894418535021487e-09
1824,8.421112696055388e-10,0.0
1825,0.0,0.0
1826,8.807984341885344e-10,1.4973572604048968e-08
1827,0.0,3.6869092223668076e-09
1828,0.0,5.503380862137419e-09
1829,8.57317605795771e-10,0.0
1830,3.1310507520032616e-09,5.218417697960831e-09
1831,0.0,4.677361609140007e-09
1832,0.0,0.0
1833,2.3167257001688313e-09,0.0
1834,9.334530925997342e-10,9.334530925997342e-10
1835,7.563087933704082e-10,1.285724948729694e-08
1836,0.0,4.704525213838906e-09
1837,0.0,2.1569462660409044e-08
1838,6.312161904276081e-10,0.0
1839,0.0,4.894032734625853e-09
1840,3.184844277193122e-09,1.1465439264668476e-08
1841,6.420548537278137e-10,7.704658244733764e-09
1842,2.683306021822318e-09,1.341653010911159e-09
1843,1.1813822142769936e-09,1.7720733769266417e-09
1844,2.195424508855126e-09,4.390849017710252e-09
1845,1.1160455892778032e-09,1.674068439427856e-09
1846,1.7563503984519002e-09,1.7563503984519002e-09
1847,0.0,1.0786447290911383e-09
1848,0.0,8.045221711050488e-10
1849,8.379414939696517e-10,8.379414939696517e-10
1850,6.788996032014438e-10,6.788996032014438e-10
1851,2.579775504329973e-09,6.449438760824933e-10
1852,0.0,6.510545436100301e-10
1853,0.0,4.180352064508952e-09
1854,2.5978321716024766e-09,2.0782657816909023e-09
1855,2.1227748447927297e-09,3.714855978387277e-09
1856,1.0354378465748937e-09,5.177189232874468e-10
1857,9.763018171682347e-10,1.9526036343364694e-09
1858,1.9574704079872163e-09,4.893676019968041e-10
1859,5.092173349652285e-10,0.0
1860,4.577183909670879e-10,4.119465657481669e-09
1861,0.0,4.715963619617014e-09
1862,9.035972525772706e-10,1.3553959066214816e-09
1863,4.994620828036034e-10,4.994620828036034e-10
1864,1.4384183844029508e-09,4.794727948009836e-10
1865,4.706844358715045e-10,1.882737743486018e-09
1866,4.865612912574591e-10,2.919367858567057e-09
1867,9.7056229719783e-10,6.79393608038481e-09
1868,1.4819622196071691e-09,4.93987406535723e-10
1869,9.767038289254515e-10,4.883519366671862e-09
1870,1.1468097582678638e-09,1.7202146374017957e-09
1871,0.0,0.0
1872,0.0,0.0
1873,5.986004469882289e-10,1.7958012854535355e-09
1874,5.974609140757536e-10,0.0
1875,1.1443054281912168e-09,5.721527140956084e-10
1876,1.209202959984168e-09,5.441413541973361e-09
