year,bien_ADV avant_ADP,bien_ADV savant_ADJ
1800,1.9116520633133405e-06,5.65949598296811e-08
1801,1.8001739849893283e-06,4.7623650800687756e-08
1802,2.1147588995518163e-06,4.699464284385613e-08
1803,1.757255592593765e-06,4.8758479920252285e-08
1804,1.801979372828555e-06,5.1908870757344516e-08
1805,1.7767985767136452e-06,7.107194477384837e-08
1806,1.953771665341719e-06,3.1698359492793315e-08
1807,1.6512339726659775e-06,1.7081731584767113e-08
1808,1.477480246592222e-06,6.798221985349073e-09
1809,2.1618921550725645e-06,6.325285539787728e-08
1810,1.6287282562643668e-06,7.020380365929668e-08
1811,2.3892441731732106e-06,1.2535384286138651e-08
1812,1.4109531498718297e-06,7.468182872116813e-08
1813,1.6449242536964448e-06,8.627225156487839e-08
1814,2.133447168262137e-06,1.8880061958270744e-08
1815,2.3816483434302427e-06,6.74305908887618e-08
1816,2.57022268357332e-06,9.270415546325239e-09
1817,1.6425014095489132e-06,5.1376822796100896e-08
1818,2.0838218119934027e-06,6.079800130009971e-08
1819,2.0329462415702437e-06,9.626476327184719e-08
1820,1.973395775678455e-06,3.085285271708926e-08
1821,1.9920207208201646e-06,4.043210211079895e-08
1822,2.294863463703223e-06,4.511527151862538e-08
1823,2.8373193359243487e-06,8.894418357385803e-08
1824,2.298121621890914e-06,4.463189640091514e-08
1825,2.520117696747093e-06,4.226612659863349e-08
1826,2.087492390501211e-06,6.694067877788257e-08
1827,1.6471267088036257e-06,4.885154680778214e-08
1828,1.906004229113023e-06,4.953042537225727e-08
1829,2.0129817741576517e-06,4.372319750700626e-08
1830,2.2282645488758135e-06,5.0096812032052185e-08
1831,2.6208818013628843e-06,6.392394169552063e-08
1832,2.214856081650396e-06,5.0060886991332154e-08
1833,2.803238103865624e-06,3.4750886612755494e-08
1834,2.6276704687688834e-06,2.9870498963191494e-08
1835,2.8656539541316306e-06,9.680752555141225e-08
1836,3.2992163028211507e-06,3.6292051308617346e-08
1837,2.977281525318176e-06,5.914207434898344e-08
1838,3.259600426019915e-06,3.1560809077291196e-08
1839,2.709196706973671e-06,4.055055669027752e-08
1840,2.7593490727895187e-06,7.070354257621148e-08
1841,2.6555388501492416e-06,3.980740004294603e-08
1842,2.599452614049369e-06,3.890793820460203e-08
1843,2.8506751732493285e-06,4.548321541619771e-08
1844,2.795873001559812e-06,5.43367555394525e-08
1845,2.6483760819928648e-06,7.700714377278928e-08
1846,3.03497341747061e-06,1.1767547647423271e-07
1847,2.5903652698389124e-06,3.343798482546845e-08
1848,2.5599895394634586e-06,3.942158599556933e-08
1849,2.6361639129390824e-06,2.513824526317876e-08
1850,2.8031764003344506e-06,3.6660580349234806e-08
1851,2.841622702476343e-06,2.1283147688677673e-08
1852,2.7467991401408653e-06,2.278690836021724e-08
1853,3.032546970871408e-06,4.598387448595531e-08
1854,2.921002661082639e-06,3.013485283531736e-08
1855,2.763852961606972e-06,6.156047049898916e-08
1856,2.8251922117306094e-06,4.40061072026765e-08
1857,3.1490615697293833e-06,4.881508980369986e-08
1858,3.1808895073481835e-06,5.1872965034505114e-08
1859,3.1764976284875956e-06,3.56452136696106e-08
1860,3.4479926398489624e-06,5.40107691904268e-08
1861,3.0460410584964848e-06,6.083593273586985e-08
1862,3.1797587070059308e-06,5.3312239067793143e-08
1863,3.2559933629272564e-06,4.844782380830637e-08
1864,3.427271565215051e-06,5.3221480555976086e-08
1865,3.1060465914833912e-06,4.659775765247787e-08
1866,3.1441591374914424e-06,3.2113045111969996e-08
1867,3.319322985362305e-06,6.648351558169452e-08
1868,3.347752681293059e-06,7.01462083974036e-08
1869,3.436044039517583e-06,4.0044856319809696e-08
1870,3.113015111466666e-06,2.8096838633473453e-08
1871,3.1629865588911343e-06,3.292564798584863e-08
1872,3.6060283719052677e-06,5.321658580470512e-08
1873,3.300084273405446e-06,5.986004225633224e-08
1874,3.6116511807904317e-06,4.301718448118663e-08
1875,3.7762079045933206e-06,3.661777370211894e-08
1876,3.2817768556014926e-06,7.255217582269324e-08
1877,3.6045108231519407e-06,5.3807898581226254e-08
1878,3.5999006513520726e-06,4.408534692856847e-08
1879,3.5379101461785467e-06,6.659164597522249e-08
1880,3.2923550747909758e-06,4.941741682529255e-08
1881,3.4283819729807874e-06,4.7413050152655956e-08
1882,3.8028870221751276e-06,6.788493078779823e-08
1883,3.6778552896521433e-06,4.6763106498204365e-08
1884,3.757025837103356e-06,3.630933420595284e-08
1885,3.464529214625145e-06,2.3848851782304337e-08
1886,3.727520748952884e-06,2.5813855442091693e-08
1887,3.474040767059705e-06,2.415702127223085e-08
1888,3.43090667342949e-06,2.3460273723685532e-08
1889,3.7972994562096574e-06,3.947036009144256e-08
1890,3.7228914777642785e-06,2.7528423984790606e-08
1891,3.6282061159909063e-06,1.0198752065093686e-08
1892,3.631976113638302e-06,1.2537024751679837e-08
1893,3.7523231242175825e-06,2.46336657738766e-08
1894,3.5799043871520553e-06,2.7096618282484997e-08
1895,3.618992963083656e-06,1.805584282088546e-08
1896,3.954547594275937e-06,3.4202767729141215e-08
1897,3.744828717344717e-06,2.0976168357833558e-08
1898,3.7084858774960594e-06,1.6975064909274806e-08
1899,3.5183036857233674e-06,2.8743407654019393e-08
1900,3.86733466939404e-06,2.387884379118077e-08
1901,3.6790668502817425e-06,2.51493244007861e-08
1902,3.32524413693136e-06,1.5221880644844532e-08
1903,3.7596333868350484e-06,2.1060859722865644e-08
1904,3.921863992673025e-06,2.4723275870996986e-08
1905,3.904114180386387e-06,1.4966200723165457e-08
1906,3.988286152889486e-06,1.8519063615940468e-08
1907,3.794389726863301e-06,2.7257069490360664e-08
1908,3.970858131197019e-06,1.1787333775714615e-08
1909,4.13783982367022e-06,3.13556076103616e-08
1910,3.906574079337588e-06,2.9927242906069296e-08
1911,3.975915490173065e-06,9.044636040123066e-09
1912,3.965932421579055e-06,2.1879568989913167e-08
1913,3.8786067193541385e-06,2.333315407554437e-08
1914,4.075638230460754e-06,1.875088173619588e-08
1915,4.562689127851627e-06,1.767114277129167e-08
1916,4.737793460662942e-06,1.538244731591476e-08
1917,4.900894964521285e-06,2.631941953268324e-08
1918,5.071234909337363e-06,1.2635013924011673e-08
1919,4.830437148939382e-06,1.4732557396257562e-08
1920,4.521379537436587e-06,2.6502811945050553e-08
1921,4.595142968355503e-06,3.180553775905537e-08
1922,4.659904107029433e-06,2.0658220023506146e-08
1923,4.389694481687911e-06,1.2739137744688378e-08
1924,4.781503548656474e-06,2.9650736976805092e-08
1925,4.263993560016388e-06,3.409435223034052e-08
1926,4.5008105189481284e-06,2.3406890647947876e-08
1927,4.5087465423421236e-06,4.236705486437842e-08
1928,4.364747780982725e-06,2.8565103615818543e-08
1929,4.465074937343161e-06,1.7824650422326727e-08
1930,4.581671930736775e-06,2.6259008301110498e-08
1931,4.633996582015243e-06,1.596749932275543e-08
1932,4.499985720940458e-06,2.0823119339929974e-08
1933,4.68117730179074e-06,2.2941325283909464e-08
1934,4.396041788368166e-06,2.3963160344919743e-08
1935,4.451004940619896e-06,2.992070946561398e-08
1936,4.761375294037862e-06,1.8187071404440758e-08
1937,4.658713748995069e-06,2.5182235852128088e-08
1938,4.648029346299154e-06,3.759912203804561e-08
1939,4.846684703352366e-06,1.8352860564618823e-08
1940,4.8889896788750775e-06,4.81798743123818e-08
1941,4.926057897591818e-06,2.066051862925633e-08
1942,4.927559928091796e-06,1.8205270846394228e-08
1943,5.312920563937951e-06,2.9032351633873077e-08
1944,5.735537456530437e-06,9.639558484764166e-09
1945,5.526864867988479e-06,8.714016175304096e-09
1946,5.2301588766567875e-06,2.3665876369705074e-08
1947,5.028223313274793e-06,1.7881307101674793e-08
1948,4.877128731095581e-06,1.4133454406817236e-08
1949,4.926174995034671e-06,2.3560819073509265e-08
1950,4.995429321752454e-06,3.722376362702562e-08
1951,4.565212350371439e-06,2.1322803078760444e-08
1952,4.639713836240844e-06,1.2653764258629963e-08
1953,4.922561572584527e-06,1.831550577868768e-08
1954,5.068037467026443e-06,2.0522326504845978e-08
1955,5.0400716418153024e-06,1.6894094123642844e-08
1956,4.9937256108023576e-06,3.750090726839517e-08
1957,4.949388028308022e-06,3.1806135336598373e-08
1958,4.465357164917805e-06,1.6544486669545222e-08
1959,4.772910358497029e-06,2.6352542592533723e-08
1960,4.804442539807496e-06,1.9378332827280076e-08
1961,4.8018729330578935e-06,2.084447814354462e-08
