year,son_DET ombre_NOUN,son_DET sombre_ADJ
1800,2.5593499870524283e-06,0.0
1801,2.276410493440295e-06,0.0
1802,2.3989646535937936e-06,6.713520406265161e-09
1803,2.285797499723685e-06,1.1702034896643454e-08
1804,2.7808322631273086e-06,1.9774807569206132e-08
1805,2.7092623677837935e-06,0.0
1806,1.910546579608763e-06,0.0
1807,1.8135104529193313e-06,2.2775640928784924e-08
1808,2.386175854240946e-06,2.2660739062985158e-08
1809,1.6197249337324138e-06,4.518061036407062e-09
1810,2.417350899008852e-06,4.680253518074551e-09
1811,2.2613833010609596e-06,0.0
1812,1.5923233434023132e-06,2.6672082320544632e-09
1813,1.9526285630622198e-06,2.8757417114277928e-08
1814,2.2372875250198376e-06,9.440031423224582e-09
1815,1.5455091100236018e-06,2.697223555614414e-09
1816,2.2828397447938187e-06,0.0
1817,2.0644141646153358e-06,0.0
1818,2.055210894358339e-06,1.3113295338484932e-08
1819,2.0557185340663864e-06,0.0
1820,1.931863092607955e-06,1.4239777357261119e-08
1821,2.1192338132136612e-06,2.9584463767662328e-09
1822,1.8908311005816358e-06,3.0076847679083585e-09
1823,1.9014289076579871e-06,2.0753642027138142e-08
1824,1.9225400498257272e-06,4.210556348027694e-09
1825,1.9301531066773236e-06,7.924898959288385e-09
1826,1.8285376044424595e-06,2.642395191543301e-09
1827,1.5448150119112825e-06,4.608636472447358e-09
1828,1.4859127735467048e-06,3.6689205562545624e-09
1829,1.6374766729221335e-06,1.2859764364492321e-08
1830,2.042488846276669e-06,2.0873670791843324e-08
1831,2.0206202131500817e-06,1.5591206103948707e-09
1832,2.1810310419922985e-06,1.3529969367098715e-09
1833,2.0838947639711947e-06,1.5058717495186613e-08
1834,2.32523168897103e-06,4.667265462998671e-09
1835,2.035983328596558e-06,1.5126175867408165e-08
1836,2.364359818152195e-06,2.2178475056477964e-08
1837,1.7102496254750577e-06,2.0873671680021744e-09
1838,1.8734496247674315e-06,3.787297142565649e-09
1839,1.573781023944676e-06,1.5381245721535208e-08
1840,1.8395661340875336e-06,1.592422194107712e-08
1841,1.8966300059375385e-06,1.5409316489467528e-08
1842,1.7475030076319342e-06,1.7441490030023488e-08
1843,1.783296445179161e-06,8.860366662588604e-09
1844,2.0159485472071026e-06,7.683985947526395e-09
1845,1.7231744111612102e-06,1.1160455670733427e-08
1846,1.624038666436789e-06,5.854501328173001e-09
1847,1.6918542709021267e-06,1.1325769655456952e-08
1848,1.5905403282778785e-06,2.413566591030758e-08
1849,1.8124675014163927e-06,1.8434713311421547e-08
1850,1.7400197291905783e-06,1.1541293254424545e-08
1851,1.7426383340790608e-06,1.483370937194195e-08
1852,1.6120111006046045e-06,3.2552727180501506e-09
1853,1.6560166820056565e-06,6.569124799682413e-09
1854,1.6672887617197318e-06,3.117398783558656e-09
