year,un_DET entier_ADJ,un_DET sentier_NOUN
1800,7.891852646935149e-07,1.2073591548755758e-06
1801,1.4358530506797251e-06,1.281076229986411e-06
1802,6.914925734236022e-07,1.5038285141599772e-06
1803,8.425465694017475e-07,1.0648851720418406e-06
1804,7.143649440877198e-07,1.18401659321421e-06
1805,1.0205931175732985e-06,2.0298147092034924e-06
1806,7.434706503772759e-07,1.0748625669521061e-06
1807,1.5430496205226518e-06,1.0533733387774191e-06
1808,1.1103762744824053e-06,1.1534316115557885e-06
1809,8.31323234251613e-07,9.216844318871154e-07
1810,1.0717780014601885e-06,1.2917499958575718e-06
1811,9.000405611914175e-07,1.6496565535817354e-06
1812,7.974952609401953e-07,9.361901014415253e-07
1813,9.461189733883657e-07,1.1071605854340305e-06
1814,9.093897119782923e-07,1.161123861947999e-06
1815,1.0761922339952434e-06,7.606170520091382e-07
1816,1.0220633157587145e-06,9.085007377507281e-07
1817,1.0259795999445487e-06,8.827472441907958e-07
1818,1.0657532811819692e-06,1.1706595657301477e-06
1819,8.249787128988828e-07,8.498212196172972e-07
1820,7.369084755737276e-07,1.18783472657924e-06
1821,7.800437060723198e-07,8.273788800750026e-07
1822,8.601978152000811e-07,9.444130029123698e-07
1823,1.2363241239654599e-06,1.0989547405415578e-06
1824,9.532699323244742e-07,9.659016448892999e-07
1825,8.682166594553564e-07,8.761415628555369e-07
1826,8.675864364704466e-07,1.2798001094438405e-06
1827,9.373966918246879e-07,8.378501448191855e-07
1828,9.053061376107507e-07,7.218601218994536e-07
1829,8.110224598567584e-07,9.524798691984415e-07
1830,1.0363778528699186e-06,1.1918866320570487e-06
1831,7.624099680469953e-07,1.2270279725612454e-06
1832,8.510350539836509e-07,9.430388914211107e-07
1833,7.645194841643388e-07,1.413202696198823e-06
1834,7.038236162770772e-07,1.246159911261202e-06
1835,7.918553137642448e-07,1.4158100611894042e-06
1836,8.938597488850064e-07,1.307185883092643e-06
1837,7.340574939007638e-07,1.0756899513353346e-06
1838,7.460975552930904e-07,1.0509749763798482e-06
1839,7.991255870365421e-07,9.962852161038427e-07
1840,8.420728363489616e-07,1.0395331848656042e-06
1841,7.935797725622251e-07,1.1152492831456584e-06
1842,9.364737820760638e-07,1.0102647109988538e-06
1843,7.66126390772115e-07,1.0661974592096612e-06
1844,9.105523304242524e-07,1.0439243922633068e-06
1845,7.968565682858753e-07,8.967426552430879e-07
1846,6.381406478794815e-07,1.0871809195123205e-06
1847,7.070516403473448e-07,7.733882512184209e-07
1848,6.194820798555156e-07,8.326804490366158e-07
1849,5.044407771492843e-07,1.0574822120190674e-06
1850,6.687160976071027e-07,1.0550099531769774e-06
1851,6.75256217164133e-07,1.1047888506254822e-06
1852,8.229329182540823e-07,8.925957715177901e-07
1853,6.019707257109985e-07,9.758136663151618e-07
1854,7.814279570084182e-07,1.067709092694713e-06
1855,7.127216576918727e-07,1.113926131779408e-06
1856,9.029017746797763e-07,1.0074810319338212e-06
1857,7.195344551291782e-07,1.0534296599473691e-06
1858,6.513482730952092e-07,1.0849279448166271e-06
1859,7.027199444564758e-07,1.1416652867524135e-06
1860,5.657399242409156e-07,1.2980893231429036e-06
1861,7.102241283973854e-07,1.1266437134338503e-06
1862,8.258878665401426e-07,1.1760317732978365e-06
1863,7.586829156025487e-07,1.0873289326696067e-06
1864,7.168118258960021e-07,1.0231949403305407e-06
1865,7.775706762913615e-07,1.1644733319826628e-06
1866,7.064870146678004e-07,1.11519842960206e-06
1867,6.546442818944342e-07,1.005987840585476e-06
1868,5.359763122214645e-07,9.692032847397059e-07
1869,5.357220516089001e-07,1.1779048563198558e-06
1870,8.107945177471265e-07,1.0332755735475985e-06
1871,4.928226076117426e-07,9.877694964188777e-07
1872,4.305705658680381e-07,9.137529772829112e-07
1873,4.980355470252107e-07,9.900851338784378e-07
1874,4.803585511581332e-07,9.607171307379758e-07
1875,5.492665877682157e-07,1.1368674250888944e-06
1876,4.867042093792406e-07,1.165067082808946e-06
1877,4.935483275403385e-07,1.1243994961773751e-06
1878,5.139264658282627e-07,1.12206265612258e-06
1879,6.19485604147485e-07,1.099067624465988e-06
1880,4.6465206082757504e-07,1.295121393241061e-06
1881,4.70644266670206e-07,1.145582984918292e-06
1882,6.721938916598447e-07,1.2032936282935225e-06
1883,5.96545589814923e-07,1.0515380424180876e-06
