year,en_ADP onde_NOUN,en_ADP sondes_NOUN
1800,3.144164395507687e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,2.4616241489638924e-08,0.0
1803,1.3652374342143503e-08,0.0
1804,2.4718509905596875e-08,0.0
1805,2.842877711017877e-09,0.0
1806,5.4751712497136396e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,2.039466551195801e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,3.510190182964834e-08,0.0
1811,2.757784400841956e-08,0.0
1812,0.0,0.0
1813,2.8757416004054903e-08,0.0
1814,2.2026739543434815e-08,0.0
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-08,0.0
1817,7.784366928831332e-09,0.0
1818,7.152706427149269e-09,0.0
1819,2.3807414706311647e-08,0.0
1820,1.779972080839798e-08,0.0
1821,5.9168927535324656e-09,9.86148829262845e-10
1822,2.7069162911175226e-08,0.0
1823,2.7671523739059012e-08,0.0
1824,8.421112696055388e-10,0.0
1825,2.641632912414593e-09,0.0
1826,1.145037931138404e-08,0.0
1827,1.1982455028203276e-08,0.0
1828,6.420610709767516e-09,0.0
1829,4.115124596637543e-08,0.0
1830,8.349468672008697e-09,2.0873671680021744e-09
1831,1.5591206548037917e-08,0.0
1832,1.7588959622116818e-08,0.0
1833,2.3167257001688313e-09,0.0
1834,8.401078055442213e-09,9.334530925997342e-10
1835,1.4369867074037757e-08,1.5126175867408165e-09
1836,3.024337402735e-08,0.0
1837,2.0177884252348122e-08,1.3915781860163179e-09
1838,2.9667161172142187e-08,0.0
1839,1.1885507689157748e-08,0.0
1840,1.0191501864653674e-08,0.0
1841,7.0626033910059505e-09,0.0
1842,7.379091560011375e-09,0.0
1843,8.269675610961258e-09,0.0
1844,6.586273748609983e-09,0.0
1845,6.138250796539069e-09,0.0
1846,5.269050973311096e-09,0.0
1847,1.4561703842730367e-08,0.0
1848,1.206783295515379e-08,0.0
1849,1.256912263158938e-08,0.0
1850,1.6972489191857676e-08,6.788996032014438e-10
