year,bien_ADV avant_ADP,bien_ADV savants_ADJ
1800,1.9116520633133405e-06,0.0
1801,1.8001739849893283e-06,0.0
1802,2.1147588995518163e-06,0.0
1803,1.757255592593765e-06,0.0
1804,1.801979372828555e-06,0.0
1805,1.7767985767136452e-06,0.0
1806,1.953771665341719e-06,0.0
1807,1.6512339726659775e-06,5.693910232196231e-09
1808,1.477480246592222e-06,0.0
1809,2.1618921550725645e-06,0.0
1810,1.6287282562643668e-06,0.0
1811,2.3892441731732106e-06,0.0
1812,1.4109531498718297e-06,0.0
1813,1.6449242536964448e-06,0.0
1814,2.133447168262137e-06,0.0
1815,2.3816483434302427e-06,2.697223555614414e-09
1816,2.57022268357332e-06,2.3176038865813098e-09
1817,1.6425014095489132e-06,0.0
1818,2.0838218119934027e-06,7.152706427149269e-09
1819,2.0329462415702437e-06,0.0
1820,1.973395775678455e-06,8.306536791735653e-09
1821,1.9920207208201646e-06,7.88919063410276e-09
1822,2.294863463703223e-06,2.0051231786055723e-09
1823,2.8373193359243487e-06,3.9530747564242574e-09
1824,2.298121621890914e-06,2.5263338088166165e-09
1825,2.520117696747093e-06,3.522177216552791e-09
1826,2.087492390501211e-06,8.80798456392995e-09
1827,1.6471267088036257e-06,1.8434546111834038e-09
1828,1.906004229113023e-06,2.7516904310687096e-09
1829,2.0129817741576517e-06,2.1432940755516938e-08
1830,2.2282645488758135e-06,3.1310507520032616e-09
1831,2.6208818013628843e-06,0.0
1832,2.214856081650396e-06,1.7588959622116818e-08
1833,2.803238103865624e-06,0.0
1834,2.6276704687688834e-06,9.334530925997342e-10
1835,2.8656539541316306e-06,6.050470346963266e-09
1836,3.2992163028211507e-06,5.376600054063374e-09
1837,2.977281525318176e-06,2.0873671680021744e-09
1838,3.259600426019915e-06,1.8936485712828244e-09
1839,2.709196706973671e-06,6.9914751765765e-10
1840,2.7593490727895187e-06,2.5478754661634184e-09
1841,2.6555388501492416e-06,7.704658244733764e-09
1842,2.599452614049369e-06,2.0124795163667386e-09
1843,2.8506751732493285e-06,1.7720733769266417e-09
1844,2.795873001559812e-06,1.6465684371524958e-09
1845,2.6483760819928648e-06,8.928364714222425e-09
1846,3.03497341747061e-06,2.4003455223464698e-08
1847,2.5903652698389124e-06,1.1325769655456952e-08
1848,2.5599895394634586e-06,1.850401076808339e-08
1849,2.6361639129390824e-06,1.8434713311421547e-08
1850,2.8031764003344506e-06,1.8330290174617403e-08
1851,2.841622702476343e-06,6.449438760824933e-09
1852,2.7467991401408653e-06,8.463708844885787e-09
1853,3.032546970871408e-06,7.166318205520383e-09
1854,2.921002661082639e-06,7.27393034694046e-09
1855,2.763852961606972e-06,1.1144567935161831e-08
1856,2.8251922117306094e-06,1.9673318973900678e-08
1857,3.1490615697293833e-06,1.610898081594314e-08
1858,3.1808895073481835e-06,7.829881631948865e-09
1859,3.1764976284875956e-06,1.0693564256314403e-08
1860,3.4479926398489624e-06,1.5104706818647173e-08
1861,3.0460410584964848e-06,3.0182167876091626e-08
1862,3.1797587070059308e-06,1.490935552794781e-08
1863,3.2559933629272564e-06,1.2986014041871385e-08
1864,3.427271565215051e-06,1.2466292886870178e-08
1865,3.1060465914833912e-06,2.2122168985561075e-08
1866,3.1441591374914424e-06,2.1408697037372804e-08
1867,3.319322985362305e-06,8.249779526181555e-09
1868,3.347752681293059e-06,8.89177353968762e-09
1869,3.436044039517583e-06,1.70923168951731e-08
1870,3.113015111466666e-06,2.1789386295267832e-08
1871,3.1629865588911343e-06,1.1683295220166201e-08
1872,3.6060283719052677e-06,1.814201766592305e-08
1873,3.300084273405446e-06,8.380406590902112e-09
1874,3.6116511807904317e-06,5.974609251779839e-09
1875,3.7762079045933206e-06,1.716458086775674e-08
1876,3.2817768556014926e-06,7.255217759905008e-09
1877,3.6045108231519407e-06,7.421779191219002e-09
1878,3.5999006513520726e-06,1.872117572077059e-08
1879,3.5379101461785467e-06,9.774920428640144e-09
1880,3.2923550747909758e-06,1.2835692508872398e-08
1881,3.4283819729807874e-06,6.9725074602899895e-09
1882,3.8028870221751276e-06,6.655385131892899e-09
1883,3.6778552896521433e-06,3.4124429504345244e-08
1884,3.757025837103356e-06,9.242375753615306e-09
1885,3.464529214625145e-06,4.511945039809007e-09
1886,3.727520748952884e-06,6.4534639854230136e-09
1887,3.474040767059705e-06,1.2404957061562527e-08
1888,3.43090667342949e-06,2.53624587998047e-09
1889,3.7972994562096574e-06,1.0024218788373673e-08
1890,3.7228914777642785e-06,7.865263995654459e-09
1891,3.6282061159909063e-06,1.0198752065093686e-08
1892,3.631976113638302e-06,6.8953633913793055e-09
1893,3.7523231242175825e-06,3.695050043717174e-09
1894,3.5799043871520553e-06,8.822155450616265e-09
1895,3.618992963083656e-06,1.1435367319734269e-08
1896,3.954547594275937e-06,3.5382172747233653e-09
1897,3.744828717344717e-06,1.6897470089816125e-08
1898,3.7084858774960594e-06,1.2448380992680086e-08
1899,3.5183036857233674e-06,1.713549302451156e-08
1900,3.86733466939404e-06,7.26747462209687e-09
1901,3.6790668502817425e-06,7.824234593556412e-09
1902,3.32524413693136e-06,1.178468167495339e-08
1903,3.7596333868350484e-06,7.020286574288548e-09
1904,3.921863992673025e-06,4.299700151477737e-09
1905,3.904114180386387e-06,4.64468330463319e-09
1906,3.988286152889486e-06,8.745113966313056e-09
1907,3.794389726863301e-06,8.228549397415463e-09
1908,3.970858131197019e-06,1.0313916831705683e-08
1909,4.13783982367022e-06,7.151278680339601e-09
1910,3.906574079337588e-06,1.2291546447329438e-08
1911,3.975915490173065e-06,2.128149656499545e-09
1912,3.965932421579055e-06,3.646594803896619e-09
1913,3.8786067193541385e-06,3.71209285532359e-09
1914,4.075638230460754e-06,2.0090231700464756e-09
1915,4.562689127851627e-06,1.1780761921542648e-09
1916,4.737793460662942e-06,6.592477230782379e-09
1917,4.900894964521285e-06,1.0966424435210342e-09
1918,5.071234909337363e-06,1.2635013924011673e-08
1919,4.830437148939382e-06,0.0
1920,4.521379537436587e-06,2.2716695191604686e-09
1921,4.595142968355503e-06,3.7863738810983705e-09
1922,4.659904107029433e-06,5.164555005876537e-09
1923,4.389694481687911e-06,1.0615948120573648e-08
1924,4.781503548656474e-06,3.867487219366694e-09
1925,4.263993560016388e-06,2.1996355847875293e-09
1926,4.5008105189481284e-06,6.687683296036084e-09
1927,4.5087465423421236e-06,6.689535148041159e-09
1928,4.364747780982725e-06,5.713020723163709e-09
1929,4.465074937343161e-06,7.798284684668033e-09
1930,4.581671930736775e-06,9.453243521306831e-09
1931,4.633996582015243e-06,3.4216069977333063e-09
1932,4.499985720940458e-06,3.287861094491973e-09
1933,4.68117730179074e-06,4.588264879146209e-09
1934,4.396041788368166e-06,5.990790086229936e-09
1935,4.451004940619896e-06,4.787313656606784e-09
1936,4.761375294037862e-06,6.0623572828433225e-09
