year,mon_DET sentier_NOUN
1917,7.676496771580332e-09
1918,1.6080926812378493e-08
1919,4.603924352863942e-09
1920,1.665891025126598e-08
1921,2.1960967766521122e-08
1922,2.2133806787394406e-08
1923,1.6985516992917837e-08
1924,1.6759111876041288e-08
1925,1.7597084678300234e-08
1926,1.5604593173179637e-08
1927,3.1217830098739796e-08
1928,1.0283437212876834e-08
1929,1.2254447012693959e-08
1930,1.4705045403573536e-08
1931,2.2810714206400462e-08
1932,2.6302888755935783e-08
1933,9.176529536247813e-09
1934,5.990790086229936e-09
1935,1.795242710045386e-08
1936,6.0623572828433225e-09
1937,1.510934133364117e-08
1938,1.4261736125398272e-08
1939,2.4470480752825097e-08
1940,1.0143131667916805e-08
1941,1.4757512989405086e-08
1942,3.034211815133858e-08
1943,1.7419411246777372e-08
1944,1.927911696952833e-08
1945,2.6142048081823077e-08
1946,1.809743643832462e-08
1947,2.2649655262441115e-08
1948,1.6307831529616124e-08
1949,1.3743811422273211e-08
1950,8.5082894063504e-09
1951,1.0661401650402524e-08
1952,3.796129277588989e-08
1953,6.464296653518886e-09
1954,1.6613311171198575e-08
1955,9.385608290557457e-09
1956,1.83143975540645e-08
1957,9.718541527092839e-09
1958,7.445018934681968e-09
1959,9.300897385600138e-09
1960,1.3841666701708277e-08
1961,1.945484617849047e-08
1962,1.7757478709690133e-08
1963,9.05247421467692e-09
1964,1.1559539880856562e-08
1965,1.2038495811328431e-08
1966,1.273987226824147e-08
1967,2.070740912074598e-08
1968,2.7397636048753782e-08
1969,1.6804503788492298e-08
1970,1.7935027685211935e-08
1971,1.3873673321285196e-08
1972,1.0260293947794707e-08
1973,6.6158443723374205e-09
1974,1.912694452821384e-08
1975,1.028066431985053e-08
1976,1.599787569084299e-08
1977,1.1753563455840776e-08
1978,8.316828115084718e-09
1979,1.6385525825057812e-08
1980,8.527726080842513e-09
1981,1.2651098835192442e-08
1982,2.110550711975634e-08
1983,2.8418923214701408e-08
1984,1.8556828074167697e-08
1985,9.624892882698077e-09
1986,2.5176838502893872e-08
1987,5.499735000746853e-09
1988,8.994830602571113e-09
1989,1.1525056686778612e-08
1990,2.179460389939436e-09
1991,1.2895223222564312e-08
1992,9.917899168598865e-09
1993,1.4401939196773128e-08
1994,1.6352272369513088e-08
1995,8.675921314704738e-09
1996,1.9217132551929694e-08
1997,7.671831170341648e-09
1998,8.582632826659164e-09
1999,9.597422412355172e-09
2000,1.8997535100595542e-08
2001,5.695575205910686e-09
2002,1.1829298429688606e-08
2003,1.2084076406182476e-08
2004,1.4095331846153414e-08
2005,1.3511249008502091e-08
2006,1.4824403926638752e-08
2007,1.6776813549501668e-08
2008,1.5752526616452656e-08
2009,1.6211854747538723e-08
2010,1.322662024350052e-08
2011,1.8355065689590333e-08
2012,2.4851045221652157e-08
2013,2.5102125045251e-08
2014,1.9922096416991053e-08
2015,2.1057467103346994e-08
2016,3.169150364357165e-08
2017,5.7859061541876144e-08
2018,2.0909879938635356e-08
2019,2.7805767466304587e-08
