year,ancien_ADJ cellier_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,6.952811659743929e-09
1817,1.556873407970727e-09
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,1.0025615893027862e-09
1823,0.0
1824,1.6842225392110777e-09
1825,0.0
1826,0.0
1827,0.0
1828,3.668920500743411e-09
1829,2.571952872898464e-09
1830,0.0
1831,0.0
1832,0.0
1833,8.108539617524002e-09
1834,2.8003592777992026e-09
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,2.7965900706306e-09
1840,1.9109065441114126e-09
1841,1.2841097074556274e-09
1842,6.708265054555795e-10
1843,4.7255288571079745e-09
1844,0.0
1845,5.580227946389016e-10
1846,0.0
1847,2.1572894581822766e-09
1848,1.6090443422100975e-09
1849,0.0
1850,0.0
1851,1.3543821175687754e-08
1852,1.9531636308300904e-09
1853,2.9859659189668264e-09
1854,5.195664454227256e-10
1855,5.306937111981824e-10
1856,5.177189343896771e-09
1857,0.0
1858,4.893676019968041e-10
1859,5.092173349652285e-09
1860,4.119465657481669e-09
1861,9.431927461278633e-10
1862,0.0
1863,0.0
1864,2.8768367688059016e-09
1865,1.4120533631256649e-09
1866,3.4059290943133647e-09
1867,0.0
1868,0.0
1869,0.0
1870,8.601073631098188e-09
1871,3.18635318130589e-09
1872,2.4189357183956872e-09
1873,2.9930022904522957e-09
1874,1.1949218281515073e-09
1875,7.437985338754061e-09
1876,4.232210137899983e-09
1877,8.658742167710898e-09
1878,2.4156354694326865e-09
1879,8.55305515301552e-09
1880,6.417846254436199e-10
1881,0.0
1882,3.3276925659464496e-09
1883,1.2638677882037541e-09
1884,0.0
1885,0.0
1886,6.453463874400711e-10
1887,1.9586774424595887e-09
1888,1.268122939990235e-09
1889,2.944614330147033e-08
1890,7.209825181320184e-09
1891,2.5496880162734215e-09
1892,6.8953633913793055e-09
1893,1.847525021858587e-09
1894,6.301539290376468e-09
1895,6.018614495673091e-10
1896,5.89702897624278e-10
1897,1.1653427112179315e-09
1898,1.13167097914868e-09
1899,1.1055156790007459e-09
1900,3.114631885736685e-09
1901,2.235495566438317e-09
1902,3.437198747846537e-09
1903,3.2401321625741275e-09
1904,2.1498500757388683e-09
1905,3.6125313851442797e-09
1906,7.201858220895474e-09
1907,5.142843484406967e-09
1908,4.911389073214423e-10
1909,7.151278680339601e-09
1910,3.206490406526541e-09
1911,6.384448969498635e-09
1912,5.2094213387476884e-09
1913,1.113627856597077e-08
1914,3.3483718020477227e-09
1915,0.0
1916,2.197492410260793e-09
1917,2.1932848870420685e-09
1918,8.040463406189247e-09
1919,1.8415696745321952e-09
1920,5.300562211374427e-09
1921,3.7863738810983705e-09
1922,2.2133805899215986e-09
1923,5.307974060286824e-09
