year,en_ADP herbe_NOUN
1800,1.0784484629766666e-06
1801,6.333945634651172e-07
1802,4.0281122437590966e-07
1803,5.246412229098496e-07
1804,6.500968083855696e-07
1805,3.809456075032358e-07
1806,2.766402280585112e-07
1807,1.9643989901396708e-07
1808,3.761682876302075e-07
1809,8.584316004700554e-07
1810,3.2761775514700275e-07
1811,4.13667659238115e-07
1812,3.040617286842462e-07
1813,2.386865673997818e-07
1814,4.625615304121311e-07
1815,1.4025562222741428e-07
1816,3.3605255111979204e-07
1817,3.035903262116335e-07
1818,4.077042774497386e-07
1819,2.0081037632735388e-07
1820,2.2071654370847682e-07
1821,2.4555106392654125e-07
1822,2.0853281057497952e-07
1823,4.832633635487582e-07
1824,2.2905426533270656e-07
1825,2.4831348355291993e-07
1826,1.964180569302698e-07
1827,4.000296485173749e-07
1828,2.7150011305820954e-07
1829,3.8322096429510566e-07
1830,3.12061388285656e-07
1831,4.630588250620349e-07
1832,4.410769918195001e-07
1833,4.6682023935318284e-07
1834,3.7338122638175264e-07
1835,4.053815132465388e-07
1836,5.040562314206909e-07
1837,4.557418549211434e-07
1838,3.907228161015297e-07
1839,3.097223384429526e-07
1840,4.032012839161325e-07
1841,5.605139108411095e-07
1842,3.8438358274106577e-07
1843,3.3728463222360006e-07
1844,3.7871072322559485e-07
1845,3.682950477923441e-07
1846,4.0630240505379334e-07
1847,3.079530834781963e-07
1848,4.0628370967521477e-07
1849,3.14228060460664e-07
1850,4.2499115693317435e-07
1851,4.411416212324326e-07
1852,3.561268329121958e-07
1853,4.0967452719087305e-07
1854,3.444725393819681e-07
1855,4.1234901360098775e-07
1856,3.7379307443741183e-07
1857,3.5781462770501093e-07
1858,4.1596246092012734e-07
1859,4.5371265855465026e-07
1860,4.792311756318668e-07
1861,3.909534029844508e-07
1862,3.343309913361736e-07
1863,3.9007987651107356e-07
1864,4.876238207662809e-07
1865,3.991403900727164e-07
1866,4.6271979253775797e-07
1867,4.4742921545548597e-07
1868,5.409161939473606e-07
1869,4.7614312848054396e-07
1870,4.793664629687555e-07
1871,4.2484708262513493e-07
1872,3.6525930180442145e-07
1873,3.0708201848028693e-07
1874,3.9014196318021277e-07
1875,3.4958531125450776e-07
1876,4.6372932160920755e-07
1877,4.960222351746424e-07
1878,3.9193685097416164e-07
1879,4.5575566787192656e-07
1880,4.287121211365985e-07
1881,4.2811197431547043e-07
1882,4.7586004825461714e-07
1883,4.1897217784026e-07
1884,3.7431621535688464e-07
1885,4.505499228146803e-07
1886,4.9627135773056e-07
1887,5.471238750942575e-07
1888,5.338797564036213e-07
1889,4.4106562313572795e-07
1890,3.729445892663996e-07
1891,4.124120493997907e-07
1892,4.0870699535844324e-07
1893,4.2924162357849127e-07
1894,3.711606666456646e-07
1895,4.495905159274116e-07
1896,4.275346058291163e-07
1897,4.2942877842566674e-07
1898,4.0626989061820495e-07
1899,3.703477489125362e-07
1900,5.351975902456729e-07
