year,en_ADP sentiers_NOUN
1800,0.0
1801,2.3811825844433088e-09
1802,8.951360541686881e-09
1803,5.851017448321727e-09
1804,7.4155526164076946e-09
1805,5.685755422035754e-09
1806,2.881669125542885e-09
1807,0.0
1808,2.2660739951163578e-09
1809,1.581321384946932e-08
1810,2.8081521108447305e-08
1811,0.0
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,1.1588019432906549e-08
1817,0.0
1818,7.152706427149269e-09
1819,2.070210003424222e-09
1820,0.0
1821,2.9584463767662328e-09
1822,4.010246357211145e-09
1823,1.7788837070042973e-08
1824,2.5263338088166165e-09
1825,0.0
1826,4.403992281964975e-09
1827,0.0
1828,0.0
1829,1.714635211591542e-09
1830,4.174734336004349e-09
1831,5.9246584527272717e-08
1832,2.976593194148336e-08
1833,2.20088942626262e-08
1834,9.334531370086552e-09
1835,3.025235173481633e-09
1836,4.166864897570122e-08
1837,1.6003149028165353e-08
1838,9.468243078458727e-09
1839,7.690622361167243e-09
1840,8.917564464638872e-09
1841,1.926164561183441e-09
1842,1.0733224087289273e-08
1843,2.953455480181333e-09
1844,3.2931368743049916e-09
1845,1.1718478631905782e-08
1846,5.269050973311096e-09
1847,9.168480197274675e-09
1848,0.0
1849,2.513824481908955e-09
1850,8.82569484161877e-09
1851,5.159551008659946e-09
1852,5.208436348880241e-09
1853,4.180352064508952e-09
1854,1.7665259477439577e-08
1855,7.960405667972736e-09
1856,1.5531567143511893e-09
1857,1.1715622250108026e-08
1858,3.4255731584664773e-09
1859,1.1202780925145817e-08
1860,1.4646988510946812e-08
1861,8.960331143725853e-09
1862,1.2650361647104091e-08
1863,3.496234635136375e-09
1864,8.63051052846231e-09
1865,2.8241067262513297e-09
1866,2.919367858567057e-09
1867,1.455843445796745e-09
1868,1.679557115608077e-08
1869,1.1720445947105418e-08
1870,6.880858549607183e-09
1871,0.0
1872,8.4662747923403e-09
1873,7.183205141814142e-09
1874,3.5847653734322193e-09
1875,1.0298748520654044e-08
1876,4.836811839936672e-09
1877,5.566334504436554e-09
1878,4.22736201599605e-09
1879,5.498392852132383e-09
1880,7.701415505323439e-09
1881,3.4862537301449947e-09
1882,6.655385131892899e-09
1883,9.479008689083912e-09
1884,9.242375753615306e-09
1885,7.090199094506033e-09
1886,5.808117542471791e-09
1887,2.6115698492645834e-09
1888,5.706553452000662e-09
1889,1.566284169030041e-08
1890,3.9326319978272295e-09
1891,3.1871101313640793e-09
1892,4.387958441043338e-09
1893,8.621783287310336e-09
1894,8.822155450616265e-09
1895,5.416753268150387e-09
1896,1.1794058174530164e-08
1897,1.1653427112179315e-09
1898,4.52668391659472e-09
1899,3.3165470370022376e-09
1900,3.633737311048435e-09
1901,1.0059729937950124e-08
1902,4.910283735171106e-09
1903,5.400220270956879e-09
1904,5.912087708281888e-09
1905,1.2385822145688508e-08
1906,1.2860461140462576e-08
1907,7.71426478252124e-09
1908,9.822778146428846e-09
1909,1.1001967337165297e-08
1910,1.1757131268552712e-08
1911,1.0640748282497725e-09
1912,6.251305251225858e-09
1913,6.363587878865928e-09
1914,6.027069510139427e-09
1915,7.068456930880984e-09
1916,2.197492410260793e-09
1917,1.5352993543160665e-08
1918,1.1486376294556067e-09
1919,9.207848372660976e-10
1920,3.028892692213958e-09
1921,1.817459427400081e-08
1922,7.377935595798135e-09
1923,3.1847844361720945e-09
1924,3.867487219366694e-09
1925,5.499089184013428e-09
1926,4.458455382660986e-09
1927,8.919379901328739e-09
1928,6.8556245125250825e-09
1929,7.798284684668033e-09
1930,3.1510811737689437e-09
1931,3.4216069977333063e-09
1932,2.1919073223131136e-09
1933,3.4411986593596566e-09
1934,7.188948103475923e-09
1935,7.180970484910176e-09
1936,3.6374143697059935e-09
1937,6.295559185076627e-09
1938,1.0372171566075394e-08
1939,1.2235240376412548e-08
1940,2.5357829169792012e-09
1941,2.9515025978810172e-09
1942,9.102635090130207e-09
1943,1.4516175816936538e-08
1944,1.927911696952833e-08
1945,1.089252066321933e-08
1946,2.7842208538686464e-09
1947,0.0
1948,3.2615663503321457e-09
1949,6.8719057111366055e-09
1950,1.808011518278363e-08
1951,2.9851925376078725e-08
1952,3.1634410646574906e-09
