year,mon_DET salut_NOUN
1800,1.2953958155037526e-06
1801,1.8882777794715366e-06
1802,9.756983274655795e-07
1803,8.386458816289633e-07
1804,1.6511963849552558e-06
1805,1.0547076803035793e-06
1806,1.181484305945446e-06
1807,1.369385424609959e-06
1808,1.0854494103540446e-06
1809,1.0640033727415954e-06
1810,1.9516658054108404e-06
1811,8.95026420977274e-07
1812,1.0722177457012094e-06
1813,1.0669001913043985e-06
1814,8.401627873411144e-07
1815,1.4430145967025965e-06
1816,1.82627187506057e-06
1817,1.175439458656058e-06
1818,9.358124390956846e-07
1819,9.139977219518869e-07
1820,1.6268946119168959e-06
1821,2.070912650253831e-06
1822,1.3925580049090058e-06
1823,1.917241252868962e-06
1824,1.5789585923187133e-06
1825,1.5154167094522109e-06
1826,1.017322244223351e-06
1827,1.1586112118600056e-06
1828,1.2134954889830851e-06
1829,9.336188524500244e-07
1830,1.2941676474920172e-06
1831,1.1303624036784754e-06
1832,1.1608713172961416e-06
1833,1.2116475627266254e-06
1834,1.2134889679771277e-06
1835,1.824216816714852e-06
1836,1.4247989721383192e-06
1837,1.2913845583994998e-06
1838,1.328710064640859e-06
1839,1.1654789044968084e-06
1840,1.2917728566819164e-06
1841,1.1768865384453875e-06
1842,1.2383457388409624e-06
1843,1.1010481992812515e-06
1844,1.3962900258235322e-06
1845,1.6327746950040023e-06
1846,1.1568494322489187e-06
1847,9.643083664911956e-07
1848,1.0724280574692102e-06
1849,8.102894515360504e-07
1850,8.486244897909501e-07
1851,8.203686334695703e-07
1852,1.3066665065508687e-06
1853,1.0952523030738348e-06
1854,1.6558582682790757e-06
1855,1.3792729802730719e-06
1856,1.48430016366774e-06
1857,1.202315718984437e-06
1858,1.2498448977993348e-06
1859,1.1345361858872138e-06
1860,1.1507040813540925e-06
1861,1.1011775642444377e-06
1862,1.2379282470220687e-06
1863,1.2396648756407558e-06
1864,1.218340361930359e-06
1865,1.316504338433333e-06
1866,1.122496911420967e-06
