year,en_PRON aurons_VERB,en_PRON saurons_VERB
1800,3.175606195782166e-07,1.5720821977538435e-08
1801,3.1907845254863787e-07,2.857419123536431e-08
1802,3.177732992298843e-07,8.951360541686881e-09
1803,3.296073316505499e-07,1.5602713787643552e-08
1804,3.8808059343864443e-07,1.730295728918918e-08
1805,2.3595885068061762e-07,7.107194477384837e-08
1806,3.8326200524352316e-07,4.034336598124355e-08
1807,1.5942949005420815e-07,3.701041606518629e-08
1808,2.628645745517133e-07,2.4926814390369145e-08
1809,1.8524050915402768e-07,1.581321384946932e-08
1810,2.433731935980177e-07,3.042164919975221e-08
1811,2.7577843297876825e-07,1.0028307073639553e-08
1812,3.040617286842462e-07,2.9339290108509886e-08
1813,3.4221326927763585e-07,2.300593315851529e-08
1814,3.3984113656515547e-07,6.293354282149721e-09
1815,2.508417935587204e-07,1.8880564667256294e-08
1816,4.032630727124342e-07,1.3905623319487859e-08
1817,3.238296812924091e-07,6.85024303948012e-08
1818,1.871624846216946e-07,1.5497530370112145e-08
1819,2.3186352748894024e-07,5.175525075173937e-08
1820,2.824222615771532e-07,2.7292905713238724e-08
1821,3.29373705199032e-07,8.283650032581136e-08
1822,3.5691192579179187e-07,2.5064039732569654e-08
1823,2.2532526600116398e-07,2.174191138237802e-08
1824,4.968456437381974e-07,8.5053237341981e-08
1825,3.9536439544463065e-07,5.547429182684027e-08
1826,2.422195564122376e-07,3.699353257058391e-08
1827,2.6730091917670507e-07,1.474763688946723e-08
1828,2.9076193658328364e-07,2.2930752408001354e-08
1829,2.923452975256424e-07,1.8860987438529264e-08
1830,3.558961054750398e-07,1.982998831806526e-08
1831,2.3854544961565693e-07,2.182768810143898e-08
1832,2.92247335664797e-07,2.976593194148336e-08
1833,3.0349107760230254e-07,3.8225973497674204e-08
1834,2.931042786258331e-07,1.8669062740173104e-08
1835,3.910116532779284e-07,6.277362984974388e-08
1836,2.3388209680064165e-07,1.747394939854985e-08
1837,2.2891461526342027e-07,3.2006298056330706e-08
1838,2.581674216628471e-07,4.481634818809255e-08
1839,2.5309140216922543e-07,4.4046291947097416e-08
1840,2.777184235358554e-07,2.7389662093924017e-08
1841,3.678974249687883e-07,3.0818632978935057e-08
1842,2.3546009675357027e-07,3.4212153110502186e-08
1843,3.107035154159554e-07,3.307870244384503e-08
1844,2.837586042803153e-07,2.3600813969792966e-08
1845,2.9240393023544087e-07,1.7298706467272496e-08
1846,3.9576430244103733e-07,2.985795788390533e-08
1847,2.831442360573533e-07,3.3977308078192436e-08
1848,2.9284606228863197e-07,2.252662056889676e-08
1849,3.3433864943255287e-07,2.3462362719328667e-08
1850,3.061837308138138e-07,1.0183494048021657e-08
1851,3.5020451605305425e-07,1.3543821175687754e-08
1852,2.9102138898728924e-07,2.4740073101270355e-08
1853,3.2905343427813705e-07,3.4637203327747557e-08
1854,3.377181982955335e-07,5.5074042937253154e-08
1855,2.8020627595992664e-07,2.175844215912548e-08
1856,2.9458206096677486e-07,5.332504926514048e-08
