year,aucun_DET sentier_NOUN
1800,4.7162465932615305e-08
1801,5.4767199664240707e-08
1802,5.370816325012129e-08
1803,3.1205427575287104e-08
1804,9.393033550963992e-08
1805,3.695740957709859e-08
1806,1.152667650217154e-08
1807,2.2775641372874134e-08
1808,7.024829073998262e-08
1809,2.25903047379461e-08
1810,4.680253518074551e-09
1811,3.008492077682945e-08
1812,7.468182872116813e-08
1813,9.202373263406116e-08
1814,6.293354282149721e-09
1815,1.0788894000413052e-08
1816,1.8540831092650478e-08
1817,2.490997541571005e-08
1818,5.3645296205218074e-08
1819,2.2772310259711048e-08
1820,1.7799721696576398e-08
1821,4.043210077853132e-08
1822,2.105379337535851e-08
1823,4.644862983127496e-08
1824,1.1789557774477544e-08
1825,4.0505038434446305e-08
1826,2.9947145208097936e-08
1827,1.7512818750731185e-08
1828,1.3758451544720884e-08
1829,2.2290258527846163e-08
1830,5.218418053232199e-08
1831,1.1069756622461568e-07
1832,4.058990743516233e-08
1833,6.48683204929057e-08
1834,4.387229601832132e-08
1835,5.142899794918776e-08
1836,4.7717323758966756e-08
1837,1.6698937344017395e-08
1838,3.282324301245865e-08
1839,4.544459031308179e-08
1840,2.993753511759678e-08
1841,2.5682194149112547e-08
1842,3.6224633070958134e-08
1843,3.426008454709972e-08
1844,2.4149670041495597e-08
1845,2.5669047776233356e-08
1846,2.6345256642912318e-08
1847,1.5101026207275936e-08
1848,4.827132860096839e-09
1849,5.1952373070207614e-08
1850,1.6972490080036096e-08
1851,4.3211239475482444e-08
1852,3.190167241484687e-08
1853,4.060913649794884e-08
1854,3.636965129061309e-08
1855,2.9188154115900034e-08
1856,4.193523128748211e-08
1857,3.221796163188628e-08
1858,2.104280616421761e-08
1859,3.5135995668511555e-08
1860,3.3871160987075655e-08
1861,5.423358206968487e-08
1862,4.156547506184438e-08
1863,4.694943456229339e-08
1864,2.3494166834225894e-08
1865,3.247722601962266e-08
1866,3.259960712487242e-08
1867,3.54255238477208e-08
1868,3.6555066751375875e-08
1869,3.027781847464439e-08
1870,1.77755516972411e-08
1871,9.559059321873065e-09
1872,2.0560952940229527e-08
1873,5.986004303348835e-09
1874,3.166542794641458e-08
1875,2.8035482158017544e-08
1876,2.781166741350205e-08
1877,1.7317484779511005e-08
1878,2.536417298415472e-08
1879,2.1382638437650314e-08
1880,3.2731017229892245e-08
1881,2.0917522602914573e-08
1882,4.4591079939593214e-08
1883,1.5166413569467352e-08
1884,2.706695756415911e-08
1885,1.8692343672910283e-08
1886,2.1296431285122708e-08
1887,3.0033053155520406e-08
1888,2.789870379160675e-08
1889,2.1301464925294056e-08
1890,1.9663159545046938e-08
1891,3.9520164363260335e-08
1892,2.6327751978527658e-08
1893,1.909109159647926e-08
1894,1.449354058991048e-08
1895,3.912099311165207e-08
1896,3.0074846835148605e-08
1897,3.437760964786207e-08
1898,2.4330926606808134e-08
1899,2.04520400615138e-08
1900,1.038210628578895e-08
1901,2.794369446945666e-08
1902,2.3078334798753986e-08
1903,1.5120616314590052e-08
1904,1.4511488011237361e-08
1905,2.167518786677647e-08
1906,2.1091156821029244e-08
1907,1.799995152929057e-08
1908,2.357466799551844e-08
1909,3.190570474487231e-08
1910,2.084218775344482e-08
1911,3.724261787851901e-08
1912,1.3023553346869221e-08
1913,1.6439268391010842e-08
1914,2.6117301210604182e-08
1915,2.0027295377644805e-08
1916,1.0987461607214755e-08
1917,1.5352993543160665e-08
1918,1.033773866510046e-08
1919,5.524709023596586e-09
1920,9.086678076641874e-09
1921,3.634918899209083e-08
1922,2.0658219135327727e-08
1923,8.492758496458919e-09
1924,2.9650736532715882e-08
1925,3.4094352896474334e-08
1926,6.687682962969177e-09
1927,2.1183527376678057e-08
1928,7.998228745975666e-09
1929,1.6710609340719884e-08
1930,2.7309369432515496e-08
1931,3.307553519960038e-08
1932,1.2055489939655217e-08
1933,9.176529758292418e-09
1934,1.1981580172459871e-08
1935,1.795242532409702e-08
1936,1.9399543749187842e-08
1937,7.554670666820584e-09
1938,2.5930428915188486e-09
1939,1.2235240376412548e-08
1940,5.0715658339584024e-09
1941,2.6563524713196784e-08
1942,1.517105907566929e-08
1943,1.4516175816936538e-08
1944,1.6065930807940276e-08
1945,1.9606536394434215e-08
1946,2.645009811175214e-08
1947,1.6689219339838246e-08
1948,1.848220954059343e-08
1949,4.908504269707237e-09
1950,1.4889506516624351e-08
1951,1.3859821956785368e-08
1952,2.2144088784870064e-08
1953,1.2928593307037772e-08
1954,9.772536113672459e-09
1955,1.407841221379158e-08
1956,8.72114114258693e-09
1957,1.1485548956358116e-08
1958,1.2408365557270429e-08
1959,2.1702094787912074e-08
1960,1.3841667145797487e-08
1961,1.5285950616394928e-08
1962,1.8391673961559718e-08
1963,1.5518527685109973e-08
1964,1.0951142881410192e-08
1965,6.5664522708175355e-09
1966,1.3293779743683842e-08
1967,1.5284039811547245e-08
1968,1.4372530943163042e-08
1969,1.3171097323905201e-08
1970,1.1036940472664014e-08
1971,7.193756590417877e-09
1972,1.6929484925043425e-08
1973,9.923766475239404e-09
1974,1.0126029126311664e-08
1975,5.711480177694739e-09
1976,8.570290033205197e-09
1977,1.1165885327457659e-08
1978,5.940591130126904e-09
1979,1.287434159280565e-08
1980,7.390695833109362e-09
1981,7.590659434342228e-09
1982,7.449002636938928e-09
1983,8.209910973278056e-09
1984,8.69851302098823e-09
1985,1.2031116214394899e-08
1986,8.991728361884554e-09
1987,9.77730663098697e-09
1988,1.019414141989472e-08
1989,1.7013178421620978e-08
1990,1.3621627492632626e-08
1991,1.4067516262983304e-08
1992,7.162927251336271e-09
1993,7.20096987594232e-09
1994,1.2132331361769388e-08
1995,1.0844901310314015e-08
1996,1.067618482508692e-08
1997,8.630810177656656e-09
1998,1.2873948573854932e-08
1999,1.27965633645033e-08
2000,4.859834423776022e-09
2001,1.2705513752209185e-08
2002,1.3581786806327045e-08
2003,6.667076779542924e-09
2004,1.409533167961996e-08
2005,5.854874252086972e-09
2006,1.317724773741702e-08
2007,1.1983438685803094e-08
2008,1.149508688236267e-08
2009,1.525821580194986e-08
2010,1.79504135999764e-08
2011,1.9502256254355643e-08
2012,3.336167742062912e-08
2013,3.2911675162949905e-08
2014,3.0965865427390327e-08
2015,3.6351837096049167e-08
2016,3.686985294848455e-08
2017,2.5156114080715497e-08
2018,3.278462745726074e-08
2019,3.775461809851777e-08
