year,en_PRON avait_VERB,en_PRON savait_VERB
1800,1.9393206457607448e-05,4.3703886376533774e-07
1801,1.7263573681702837e-05,1.5953922627431893e-07
1802,1.381642505293712e-05,1.5217312920867698e-07
1803,1.6445259461761452e-05,1.2482171030114841e-07
1804,2.2891812477610074e-05,1.97748079244775e-07
1805,1.7796413885662332e-05,1.4782963830839435e-07
1806,1.7497495718998834e-05,2.0171684411707247e-07
1807,2.7248206606600434e-05,2.818485427269479e-07
1808,2.005702117457986e-05,1.7222161829977267e-07
1809,2.474316170264501e-05,2.0783080856290326e-07
1810,2.2081436327425763e-05,2.2465216886757844e-07
1811,2.8868989829788916e-05,3.6101906175645126e-07
1812,2.9667357011931017e-05,2.720552458868042e-07
1813,3.4595170291140676e-05,5.032547960581724e-07
1814,2.2152607925818302e-05,2.517341783914162e-07
1815,2.6867044653045014e-05,3.3985017466875433e-07
1816,2.462222437316086e-05,2.897004947044479e-07
1817,2.8398928407114e-05,4.141283227454551e-07
1818,3.2728399673942477e-05,4.5658109115720436e-07
1819,3.0877181416144595e-05,2.887942969209689e-07
1820,3.2363452191930264e-05,3.73794165398067e-07
1821,3.6833644116995856e-05,4.7335143449345196e-07
1822,3.6600515159079805e-05,3.4187348774139537e-07
1823,3.4391749068163335e-05,3.9926055706018815e-07
1824,3.574341462808661e-05,4.0758186514722183e-07
1825,3.479206498013809e-05,4.305861693865154e-07
1826,3.46999368048273e-05,3.487961919290683e-07
1827,3.8071026210673153e-05,4.083252065356646e-07
1828,3.873921377817169e-05,2.678311830095481e-07
1829,4.799092494067736e-05,8.658907972858287e-07
1830,4.0235045162262395e-05,4.5817708382855926e-07
1831,3.35600707330741e-05,3.414474178953242e-07
1832,3.583818397601135e-05,5.006088485970395e-07
1833,3.5269833460915834e-05,3.950017344322987e-07
1834,3.570551416487433e-05,3.192409678831609e-07
1835,3.825560997938737e-05,4.1975138742600393e-07
1836,3.4896824217867106e-05,4.153423560637748e-07
1837,3.531407855916768e-05,3.7015979614807293e-07
1838,3.684724651975557e-05,3.7241755990180536e-07
1839,3.579006079235114e-05,4.334714560627617e-07
1840,4.156731301918626e-05,6.248664590202679e-07
1841,3.6514302337309346e-05,5.438204766505805e-07
1842,3.710475721163675e-05,4.5079542587700416e-07
1843,3.563580321497284e-05,4.016699506337318e-07
1844,3.7779413105454296e-05,4.4512231056614837e-07
1845,3.809788904618472e-05,4.3525778892217204e-07
1846,3.703967377077788e-05,4.619201661171246e-07
1847,3.662753806565888e-05,3.769863212710334e-07
1848,3.267647116445005e-05,3.5559878597268835e-07
1849,3.546252264641225e-05,4.2986397374988883e-07
1850,3.314931018394418e-05,4.1412874907109654e-07
1851,3.611556894611567e-05,5.353033998289902e-07
1852,3.4163436794187874e-05,4.4532131937558006e-07
1853,3.5346074582776055e-05,6.306360091912211e-07
1854,3.365907468833029e-05,4.925489633933466e-07
1855,3.5316075809532776e-05,5.572284180743736e-07
1856,3.524785643094219e-05,5.399808173933707e-07
1857,3.466603811830282e-05,4.881509312326671e-07
1858,3.3280422940151766e-05,4.71750354336109e-07
1859,3.4216860512970015e-05,5.611574920294515e-07
1860,3.704360642586835e-05,5.488043370860396e-07
1861,3.3439013350289315e-05,4.937613766742288e-07
1862,3.4310040064156055e-05,5.552604989134124e-07
1863,3.381807982805185e-05,4.625019016657461e-07
1864,3.2320782338501886e-05,4.5454021346813533e-07
1865,3.3095704566221684e-05,5.248131742519035e-07
1866,3.348174141137861e-05,5.133221634423535e-07
1867,3.2748226658441126e-05,5.003248588764109e-07
1868,3.0700328352395445e-05,4.811437293028575e-07
1869,3.1210081942845136e-05,5.039791517447156e-07
1870,3.3443266147514805e-05,5.562027354244492e-07
1871,2.9789216569042765e-05,3.579336862458149e-07
1872,3.42339881171938e-05,4.50526783879468e-07
1873,3.060344897676259e-05,4.4116853814557544e-07
1874,3.2377600291511044e-05,4.4869315729556547e-07
1875,3.227170236641541e-05,4.977728735866549e-07
1876,3.050879604415968e-05,4.927501890961139e-07
1877,2.987389780173544e-05,5.102473323859158e-07
1878,3.070091406698339e-05,4.921857339468261e-07
1879,2.9857494155294262e-05,5.449518312161672e-07
1880,3.0093280656728894e-05,4.839055804950476e-07
1881,2.9612239814014174e-05,5.222408390181954e-07
1882,3.12650045088958e-05,5.703665237888345e-07
1883,3.0017492463230155e-05,4.777420485879702e-07
1884,2.9677928978344426e-05,5.149323669684236e-07
1885,2.881521504605189e-05,4.821335437554808e-07
1886,2.8702426789095625e-05,5.111143650537997e-07
1887,2.740646777965594e-05,3.577850691272033e-07
1888,2.8157401175121777e-05,4.622308154011989e-07
1889,2.8174319595564157e-05,4.7176479256449966e-07
1890,2.7184318241779692e-05,3.8933055179768417e-07
1891,2.6492532924748957e-05,3.550440510480257e-07
1892,2.665434112714138e-05,4.074533137554681e-07
1893,2.6670255465433e-05,4.5079607957632106e-07
1894,2.8121248760726303e-05,4.398474402478314e-07
1895,2.7873407816514373e-05,4.110713689442491e-07
1896,2.689281063794624e-05,3.732819209290028e-07
1897,2.5827490389929153e-05,3.4086275491063134e-07
1898,2.7055990358348936e-05,4.3739083821492386e-07
1899,2.643177504069172e-05,4.0904080833570333e-07
