year,en_ADP eau_NOUN,en_ADP sot_NOUN
1800,3.1787503758096136e-06,1.5720821977538435e-08
1801,2.576439555923571e-06,1.1905912700171939e-08
1802,1.4859258499200223e-06,1.5664880947952042e-08
1803,2.201932985057553e-06,1.3652374342143503e-08
1804,3.030489324373775e-06,7.4155526164076946e-09
1805,2.771805839074659e-06,8.528632911009026e-09
1806,1.8154515828427975e-06,4.034336775760039e-08
1807,1.3608445215140819e-06,1.4234775136401367e-08
1808,1.4004336890138802e-06,1.3143228727585665e-07
1809,2.3855361632740824e-06,1.3554183553310395e-08
1810,1.8884823020925978e-06,1.8721014072298203e-08
1811,1.5669229469494894e-06,1.7549536490690798e-08
1812,1.2935960285176407e-06,5.3344164641089264e-09
1813,4.155446731601842e-06,3.738464116054274e-08
1814,1.2838443126383936e-06,3.1466771410748606e-09
1815,1.4484090797850513e-06,2.4275012222574333e-08
1816,2.1762300548289204e-06,9.270415546325239e-09
1817,1.3918448757976876e-06,4.670620334934483e-09
1818,1.5902850138971303e-06,1.3113294894395722e-08
1819,1.3725492635785486e-06,2.8982939270782992e-08
1820,9.97971028482425e-07,8.306536791735653e-09
1821,1.6942037053269132e-06,2.465372084259343e-08
1822,1.7294187273364514e-06,1.303330066093622e-08
1823,1.5199573006885458e-06,5.138997138942614e-08
1824,1.6134852103277808e-06,1.7684335773537896e-08
1825,9.906123521474797e-07,1.6730341556581152e-08
1826,1.0745741292339517e-06,2.6423952803611428e-08
1827,1.295948550250614e-06,1.8434546333878643e-08
1828,1.5776357807917307e-06,8.89713192009367e-08
1829,1.1325165587550146e-06,3.429270378774163e-08
1830,1.4121038334202751e-06,3.444155893816969e-08
1831,1.3642305702887825e-06,1.7150327380477393e-08
1832,1.2853470745533002e-06,5.411987746839486e-09
1833,1.4502702546659307e-06,8.108540172635514e-09
1834,1.1350789714814624e-06,1.7735608537350345e-08
1835,1.5663155323863975e-06,2.2689263801112247e-08
1836,1.5007434512881446e-06,2.5538851033957144e-08
1837,1.0840394311095736e-06,1.7394727436226276e-08
1838,1.4972448525440996e-06,4.355391625132654e-08
1839,1.4038881772648892e-06,3.0762491332048114e-08
1840,1.4242623365134932e-06,4.0766007458614695e-08
1841,1.6276090946121258e-06,2.247191943638427e-08
1842,1.3577528821251406e-06,1.2074877542289641e-08
1843,1.7366319041145495e-06,1.358589513111852e-08
1844,1.482460447732592e-06,7.683985892015244e-09
1845,1.506103540216408e-06,3.2923345827384765e-08
1846,1.391614934398433e-06,1.5221703009160592e-08
1847,1.3439913750801225e-06,1.6718992412734224e-08
1848,1.6235256907748408e-06,1.0458788002321029e-08
1849,1.2527224966252248e-06,1.92726548053912e-08
1850,1.2641111135636152e-06,6.788996032014438e-09
1851,1.2840832823712844e-06,1.1608989991529484e-08
1852,9.987177236325806e-07,2.7344290387532055e-08
1853,1.5377724897902567e-06,1.1943863675867306e-08
1854,1.4958318388380576e-06,1.610655964157104e-08
1855,1.4493245217295225e-06,1.0083180512765466e-08
1856,1.6701612384206754e-06,1.449613024062657e-08
1857,1.3028747867793733e-06,6.8341128311999455e-09
1858,1.2777388309626048e-06,3.670256987220455e-08
1859,1.353499639922262e-06,1.1711998260111045e-08
1860,1.8111916695318087e-06,1.0985241161165504e-08
1861,1.883084323139883e-06,2.122183700992153e-08
1862,1.8085498547648626e-06,1.0391368682194368e-08
1863,1.7695941867401643e-06,1.2986014041871385e-08
1864,1.517531341921341e-06,9.589456340108882e-09
1865,1.7208223508369258e-06,4.659775815207823e-08
1866,1.852338885832694e-06,2.7247432143884254e-08
1867,1.6955722994538291e-06,1.649955905236311e-08
1868,2.0530117073036536e-06,1.0373735981339394e-08
1869,1.8576907141465426e-06,4.932354258357918e-08
1870,2.1290523042338805e-06,1.8922360567330543e-08
1871,2.2368199523725707e-06,1.6993883633631413e-08
1872,1.9557096111455508e-06,6.652073114565837e-09
1873,2.254329380946274e-06,1.1972009161809183e-08
1874,2.2464530360366552e-06,1.7923827755339516e-08
1875,1.9190002786828586e-06,1.1443054503956773e-08
1876,2.4728200003210077e-06,1.0882827083946722e-08
