year,aucun_DET antre_NOUN,aucun_DET centre_NOUN
1800,2.2009151834367913e-08,3.144164395507687e-08
1801,2.6193008650921e-08,1.1905912700171939e-08
1802,1.5664880947952042e-08,7.161088433349505e-08
1803,1.1702034896643454e-08,2.5354410126965377e-08
1804,1.9774807569206132e-08,2.4718509905596875e-08
1805,1.990014353303593e-08,5.685755422035754e-09
1806,2.0171682990621775e-08,1.729001475325731e-08
1807,3.701041828563234e-08,2.8469550272802735e-08
1808,1.8128591960930862e-08,5.211970233176544e-08
1809,3.162642769893864e-08,3.388545621874073e-08
1810,4.212228077449254e-08,5.148278958699848e-08
1811,2.757784534068719e-08,4.011322829455821e-08
1812,1.8670457180292033e-08,2.1337665856435706e-08
1813,4.601186631703058e-08,8.627225156487839e-09
1814,6.293354459785405e-08,1.2586708564299443e-08
1815,2.966945933380316e-08,8.091670444798638e-09
1816,3.244645441213834e-08,1.8540831092650478e-08
1817,2.80237220096069e-08,4.670620157298799e-08
1818,4.2916238562895614e-08,5.722165141719415e-08
1819,2.6912730377581795e-08,6.314140676977331e-08
1820,2.1359666035891678e-08,3.559944161679596e-08
1821,2.859831660373402e-08,5.423818549843418e-08
1822,2.90742860897808e-08,2.606660132187244e-08
1823,2.174191138237802e-08,3.261286707356703e-08
1824,2.4421227706739046e-08,4.463189640091514e-08
1825,2.1133062855227536e-08,3.610231757988913e-08
1826,1.937756521908085e-08,2.290075862276808e-08
1827,2.5808364056967292e-08,3.594736597278825e-08
1828,2.2013523448549677e-08,3.485474309172787e-08
1829,3.3435387791769244e-08,3.257806824308318e-08
1830,2.191735437584441e-08,4.174734158368665e-08
1831,5.6128342862393765e-08,6.080570358335535e-08
1832,2.9765932163527964e-08,1.0147476814381662e-07
1833,2.4325620628928846e-08,5.90765054653275e-08
1834,2.8003592333902816e-08,2.14694217959277e-08
1835,2.647080776796429e-08,6.806779140333674e-09
1836,2.3522624903460354e-08,8.736974876910608e-08
1837,2.0177884252348122e-08,5.5663129217009555e-08
1838,3.029837714052519e-08,2.2723781967215473e-08
1839,2.5868457709243842e-08,3.425822825420255e-08
1840,2.0383003285218138e-08,3.758116307039927e-08
1841,3.081863209075664e-08,3.5955071808757566e-08
1842,1.1404050592744852e-08,6.775347882737037e-08
1843,2.7762481424886687e-08,4.252975926988256e-08
1844,2.5247382184900857e-08,5.43367555394525e-08
1845,2.0646844067773173e-08,6.807878283332514e-08
1846,1.7563504650652817e-08,5.73741125720062e-08
1847,1.7797638030003782e-08,4.1527822070008824e-08
1848,1.528592186161859e-08,3.620349786626065e-08
1849,2.513824526317876e-08,3.016589289472904e-08
1850,2.647708541303473e-08,6.85688590351674e-08
1851,2.7087642573420112e-08,3.031236195383258e-08
1852,3.2552728068679926e-08,4.687592536356533e-08
1853,1.8512988253505114e-08,9.614810281277641e-08
1854,1.8184825645306546e-08,5.2476209710938804e-08
1855,1.3798036491152743e-08,6.739810132216917e-08
1856,1.8637882071015355e-08,2.0708757375587084e-08
1857,2.4407546206361985e-08,6.541222319356166e-08
1858,1.663849763522407e-08,6.753272874249205e-08
1859,2.0877910733574367e-08,5.8050775297857626e-08
1860,1.7393299578394306e-08,7.140407110028946e-08
1861,1.509108421560157e-08,4.33868656557479e-08
1862,1.4909354750791692e-08,5.466763419725851e-08
1863,1.598278720482682e-08,3.8458578766054075e-08
1864,1.0548401374599337e-08,3.164520423482031e-08
1865,1.2708479601997169e-08,6.495444893062086e-08
1866,1.751620715140234e-08,4.2330832172865485e-08
1867,1.261730986357179e-08,3.396968217828089e-08
1868,1.1855697756857353e-08,5.680855319489808e-08
1869,1.5627260818718014e-08,3.4672986259920435e-08
1870,1.7202145929928747e-08,7.511603783427745e-08
1871,1.0621177048975028e-08,5.20437686279962e-08
1872,7.861541084785983e-09,4.4145575639475965e-08
1873,1.2570609442263958e-08,4.788803664723673e-08
1874,1.732636717433067e-08,3.764003686512751e-08
1875,8.010138330405425e-09,5.721527074342703e-08
1876,2.3579457275602067e-08,5.078652498546887e-08
1877,1.3606595294923807e-08,7.174386773556307e-08
1878,1.3285995414946683e-08,4.046189383544174e-08
1879,7.94212251520321e-09,3.9099681714560575e-08
1880,8.343199908722454e-09,3.8507079302974034e-08
1881,8.367008919041297e-09,8.506459181489845e-08
1882,1.1314154502173324e-08,8.119570082953942e-08
1883,1.200674426549142e-08,5.8137916703060455e-08
1884,1.1883054540362536e-08,5.809493330843907e-08
1885,7.090199205528336e-09,4.511944817764402e-08
1886,1.4197620856748472e-08,7.61508738289507e-08
1887,1.1752064710268684e-08,6.137188979238317e-08
1888,6.34061492199578e-09,6.02358412038484e-08
1889,8.771191772893872e-09,5.3253663478969315e-08
1890,5.898947996740844e-09,6.226667292885679e-08
1891,1.4023283867459213e-08,4.398211705947119e-08
1892,5.014809900671935e-09,5.4536059224119526e-08
1893,5.542574899042307e-09,6.343169212108535e-08
1894,1.1342770500633037e-08,6.112493156074095e-08
1895,4.213029924926559e-09,6.500103655326939e-08
1896,8.255840844295648e-09,8.727603084679458e-08
1897,4.661370844871726e-09,7.92433070273546e-08
1898,9.053368055234046e-09,5.5451877978285324e-08
1899,1.1055156790007459e-08,3.979856266767001e-08
1900,9.34389543516545e-09,7.007921798418693e-08
1901,5.029865079997364e-09,6.035838184814679e-08
1902,7.856454375954058e-09,5.646826606309219e-08
1903,9.180374460626695e-09,7.93832366507985e-08
1904,7.524475265086039e-09,4.998401337275027e-08
1905,5.160759042333041e-09,5.4704045071574114e-08
1906,5.144184356264958e-09,7.510509164587731e-08
1907,7.714265004565846e-09,5.0399865170192015e-08
1908,6.384805573134145e-09,7.710881022582328e-08
1909,7.701377313651392e-09,5.3909639419202904e-08
1910,4.809735609789811e-09,6.733629875910196e-08
1911,9.044636040123066e-09,6.810079256069912e-08
1912,4.688479104952847e-09,5.0531384188090556e-08
1913,3.712092910834741e-09,7.159036230497406e-08
1914,4.018046340092951e-09,6.629776327926606e-08
1915,2.3561523843085297e-09,4.358881966481931e-08
1916,7.691223435912775e-09,6.043104150421641e-08
1917,1.4256352209862655e-08,6.470190516694174e-08
1918,8.040463406189247e-09,1.171610346517582e-07
1919,1.4732557007679503e-08,5.524708868165362e-08
1920,9.843901249695364e-09,7.193619921963545e-08
1921,6.815472630705699e-09,6.133925456452971e-08
1922,1.0329109456641561e-08,6.271245212019494e-08
1923,6.369568872344189e-09,4.564857691846669e-08
1924,2.578324886925998e-09,5.027733585016847e-08
1925,3.299453377181294e-09,6.048997946983548e-08
1926,7.802296586589819e-09,6.576221389664738e-08
1927,5.574612327308159e-09,8.027442177649391e-08
1928,1.2568645679778001e-08,5.82728083564632e-08
1929,1.0026365737658693e-08,5.681607095908703e-08
1930,3.1510811737689437e-09,1.0083459156540187e-07
1931,6.843213995466613e-09,7.641589316875752e-08
1932,7.6716757391182e-09,5.150982307355889e-08
1933,9.176529536247813e-09,7.57063727263585e-08
1934,7.188948103475923e-09,7.668211665645686e-08
1935,3.590485242455088e-09,5.6250934576951295e-08
1936,6.0623572828433225e-09,3.516167179640206e-08
1937,3.777335333410292e-09,6.295559185076627e-08
1938,5.186085672015395e-09,6.61225918463515e-08
1939,4.588215141154706e-09,6.117620365841958e-08
1940,5.0715658339584024e-09,7.607348972982209e-08
1941,0.0,3.836953554881006e-08
1942,3.034211770724937e-09,4.551317789314169e-08
1943,0.0,4.645176332473966e-08
1944,6.4263723231761105e-09,8.996921074810871e-08
1945,4.357008087652048e-09,6.53551204266023e-08
1946,8.352662561605939e-09,7.378185529205439e-08
1947,8.344609447874518e-09,8.583026911423985e-08
1948,4.348755133776194e-09,8.371353832359318e-08
1949,2.945102384188658e-09,7.460926543245705e-08
1950,6.381216888229346e-09,5.424034510426168e-08
1951,5.3307008807124134e-09,7.996051465397613e-08
