year,on_PRON essaie_VERB,on_PRON cessait_VERB
1800,6.476978740010964e-07,2.2009151834367913e-08
1801,6.572064279453116e-07,5.4767199664240707e-08
1802,4.968005100636219e-07,3.8043282302169246e-08
1803,7.372282482265291e-07,3.1205427575287104e-08
1804,4.177428252205573e-07,4.943701981119375e-08
1805,5.145608774625998e-07,1.4214388555089386e-08
1806,5.619254821453978e-07,2.5935023018064385e-08
1807,3.84338949999119e-07,5.978605699397121e-08
1808,4.940041407053286e-07,2.4926814390369145e-08
1809,5.557214919349462e-07,2.710836710662079e-08
1810,4.3760370260770287e-07,9.594519667643908e-08
1811,4.5879505705670454e-07,4.763445637934183e-08
1812,7.334822740290292e-07,3.467370746079723e-08
1813,6.010299991032753e-07,4.601186631703058e-08
1814,6.70242226163964e-07,6.293354459785405e-08
1815,3.5873074466508115e-07,1.1058616422587875e-07
1816,7.856677228801345e-07,1.5296185829072328e-07
1817,6.756830757126409e-07,6.538868291272593e-08
1818,5.853297864177875e-07,9.536941547594324e-08
1819,6.376246943773367e-07,1.2007218685994303e-07
1820,6.396033356281805e-07,1.1154492085552192e-07
1821,6.084538455297661e-07,5.5224333106451695e-08
1822,7.97036463495715e-07,6.917674966189225e-08
1823,6.008673665292008e-07,3.656594282919201e-08
1824,6.703205741587226e-07,9.179012838700373e-08
1825,7.167630684534743e-07,1.4881199206229212e-07
1826,6.702876262920654e-07,9.248383836535368e-08
1827,7.539729409700158e-07,9.401618328297445e-08
1828,8.053280282638298e-07,6.328887858231269e-08
1829,8.504590454094796e-07,1.2945496052907401e-07
1830,8.631263312963711e-07,1.1480519224171815e-07
1831,1.3065430124470367e-06,1.0446107978623331e-07
1832,9.038019328500013e-07,1.0959275442701255e-07
1833,1.052951859037421e-06,1.0772774494682835e-07
1834,8.755789764336441e-07,1.3721760616647316e-07
1835,8.606794210663793e-07,8.621920244422654e-08
1836,7.278572269342476e-07,9.677879742042705e-08
1837,1.0541204886749256e-06,1.1341361894068314e-07
1838,7.473599765717154e-07,7.827080850120183e-08
1839,7.438929756631296e-07,9.019002966681455e-08
1840,7.083094004656232e-07,1.1338045591280377e-07
1841,8.410918468371165e-07,9.245589893680517e-08
1842,5.151947561898851e-07,1.0666141569970478e-07
1843,6.237698286781779e-07,6.97015494210973e-08
1844,6.739953164469625e-07,7.629100062800376e-08
1845,5.814597372477692e-07,1.2220699441289895e-07
1846,5.78424753427953e-07,1.0362467683933119e-07
1847,5.506481386419182e-07,8.952751606727816e-08
1848,5.679926289303694e-07,8.04522182207279e-08
1849,7.566611657239264e-07,1.6339858666114537e-07
1850,5.655233650259106e-07,1.065872385908051e-07
1851,5.030562206798095e-07,1.0770562641759795e-07
1852,5.384220997939337e-07,8.593919886834556e-08
1853,5.888325063097e-07,9.256494681864069e-08
1854,5.174881891889527e-07,1.1742201611042447e-07
1855,5.370620215217059e-07,1.2895857182115833e-07
1856,4.768191246284914e-07,6.212627212676125e-08
1857,4.837575531269067e-07,8.737901069366671e-08
1858,5.241127141175639e-07,9.102237708003003e-08
1859,4.3079785427835304e-07,1.522559864852724e-07
1860,4.0874250828437653e-07,7.826984313452634e-08
1861,4.2868109062510484e-07,8.866011658170692e-08
1862,3.745410737110433e-07,5.783022505312374e-08
1863,3.785922473298342e-07,1.1637466590386225e-07
1864,3.351514905602926e-07,1.107582150439157e-07
1865,4.000817668270429e-07,9.131278333462944e-08
1866,4.262276931399356e-07,7.784980660119345e-08
1867,4.0035696002860277e-07,8.589476152565112e-08
1868,4.238411861479108e-07,7.607406360410351e-08
1869,5.474424895623997e-07,8.692664010823137e-08
1870,4.2374622211127644e-07,8.88777589302947e-08
1871,4.099774457699823e-07,7.647247457498452e-08
1872,4.95881835149703e-07,1.088521059955383e-07
1873,5.058173684346912e-07,4.728943414633591e-08
1874,4.122480348200952e-07,7.826738190885862e-08
1875,5.790185184650909e-07,1.0642040404462705e-07
1876,5.326538996541785e-07,1.0822366469653844e-07
1877,5.838466492491534e-07,9.400920419899705e-08
1878,5.652587162785494e-07,7.97159678267434e-08
1879,5.266238289891589e-07,1.0019293306129384e-07
1880,5.204873261277498e-07,7.316344707852807e-08
1881,5.787181436289757e-07,6.62388206507103e-08
1882,7.207782246609895e-07,6.988154144238479e-08
1883,5.895943502309819e-07,1.0047748999486572e-07
1884,7.030807296359853e-07,8.846273669149696e-08
1885,6.078234235928903e-07,9.861822380941021e-08
1886,7.311774510299074e-07,7.808691382393818e-08
1887,7.155701382544066e-07,6.985949202453767e-08
1888,6.315252036870334e-07,8.052580824369215e-08
1889,6.365379121575643e-07,8.082026203837245e-08
1890,6.44296193286209e-07,8.782877891633234e-08
1891,7.808419582033821e-07,9.306361636873817e-08
1892,7.704001632191648e-07,5.578976036701988e-08
1893,8.295387061707515e-07,6.651090034281992e-08
1894,8.034462553041521e-07,9.011201429487414e-08
1895,7.87234796462144e-07,9.629783281894788e-08
1896,1.0054434653739008e-06,1.0083919410597275e-07
1897,1.0464777773222522e-06,6.001514840647815e-08
1898,1.086969973584928e-06,8.034864107386852e-08
1899,9.037590587013256e-07,6.522542683740085e-08
1900,1.0683187241511405e-06,6.644548200540612e-08
1901,1.0657725226792536e-06,8.997869915816636e-08
1902,1.0399981249520351e-06,5.99054637007157e-08
1903,1.1335062453099454e-06,8.910363558101153e-08
1904,1.1802676596062156e-06,7.201997487271683e-08
1905,1.1957478278645794e-06,5.676834868850733e-08
1906,1.1507540449429143e-06,5.247068290969992e-08
1907,1.216796732705916e-06,6.994266676940697e-08
1908,1.123234653732652e-06,4.911389250850107e-08
1909,1.1678588265340295e-06,6.986249223572827e-08
1910,1.0763119178136549e-06,8.176550458927068e-08
1911,1.0869524516010642e-06,6.65046777648115e-08
1912,1.1257559435762232e-06,5.678269232589628e-08
1913,1.1767334058276901e-06,6.151468223691836e-08
1914,1.074157665925668e-06,7.031580961935902e-08
1915,9.990085914068914e-07,4.7123047686170594e-08
1916,1.1009437059783522e-06,5.054232499190903e-08
1917,1.1372182342483939e-06,3.838248385790166e-08
1918,1.2462718075312296e-06,4.9391419842947926e-08
1919,9.15260130796014e-07,4.4197673076951105e-08
1920,1.1259908490046655e-06,4.467616898651272e-08
1921,1.2472315091827113e-06,3.33200900204389e-08
1922,1.2291640132389148e-06,5.016996129647566e-08
1923,1.044609305722588e-06,4.564857691846669e-08
1924,1.1744270125291223e-06,2.9650736976805092e-08
1925,1.1141154345750692e-06,6.268961438848919e-08
1926,1.1959806442973786e-06,6.464760105018286e-08
1927,1.123841869343778e-06,5.686104698199301e-08
1928,1.085473883222221e-06,4.913197804157221e-08
1929,1.1630584566546531e-06,5.793011426113992e-08
1930,1.2488784761899296e-06,6.09209021007473e-08
1931,1.3070538500414841e-06,5.1324104965999595e-08
1932,1.1967813691171614e-06,4.603005487879841e-08
1933,1.1906547285889246e-06,5.391211299610177e-08
1934,1.2580659074501455e-06,5.6313426810561396e-08
1935,1.2722285589461535e-06,5.6250936353308134e-08
1936,1.1894344709162397e-06,5.819862813893906e-08
1937,1.493306626798585e-06,8.310137777911564e-08
1938,1.2498467043542405e-06,4.537825226691439e-08
1939,1.2984648662950349e-06,4.129393804674919e-08
