year,un_DET or_NOUN,un_DET sort_NOUN
1800,4.4961552170263985e-07,2.7668648030498844e-06
1801,5.762461718905598e-07,3.5193878034078807e-06
1802,6.019789964284428e-07,2.311688859890637e-06
1803,3.335080056565687e-07,2.531540197026061e-06
1804,6.67399774556543e-07,2.9217277557336274e-06
1805,4.264316615376629e-07,2.777491530991938e-06
1806,4.2072369854651015e-07,2.305335300434308e-06
1807,4.128084847287994e-07,2.2576353799763638e-06
1808,5.053345026873046e-07,2.6014529908024997e-06
1809,2.6430655797327063e-07,2.6859872122031447e-06
1810,3.5803939590906e-07,2.9836616306511132e-06
1811,7.420947225611485e-07,2.5396687846068744e-06
1812,4.4275655497472144e-07,2.1310993574275017e-06
1813,4.486157074712338e-07,2.936132169395478e-06
1814,2.5488085952929396e-07,3.102623693962414e-06
1815,2.8051123601713357e-07,2.0175232968711043e-06
1816,3.3373494900956757e-07,1.8703062849567686e-06
1817,3.596377702308473e-07,2.9191376000881064e-06
1818,4.1128063266171466e-07,2.768097395744462e-06
1819,4.3370898339389896e-07,2.6115700251239105e-06
1820,5.339916668845035e-07,2.7162375246803094e-06
1821,3.9939027973723285e-07,3.3124739786671853e-06
1822,4.210758675071702e-07,2.394117132098472e-06
1823,3.3996441639594366e-07,2.444976708204649e-06
1824,3.9747652991195537e-07,2.880862616905233e-06
1825,3.971254782797473e-07,2.433824512593219e-06
1826,3.1796822663743285e-07,2.3737518048960737e-06
1827,3.659257501453794e-07,1.9061320628566136e-06
1828,3.3754069272973197e-07,2.153656289749506e-06
1829,2.700550321144135e-07,2.3550514427483904e-06
1830,2.661393030400916e-07,2.535107370249534e-06
1831,3.3677005895071943e-07,2.251370126771235e-06
1832,3.084832966848694e-07,2.18644295557624e-06
1833,3.312917766784551e-07,2.2645993880132664e-06
1834,4.2005388944943434e-07,2.0554638240355416e-06
1835,4.00843653380889e-07,2.023126057792979e-06
1836,3.803944532698722e-07,1.895251479311355e-06
1837,3.0266826422931103e-07,1.7791327024951897e-06
1838,4.336455154962948e-07,1.8071719694034982e-06
1839,2.712692359629898e-07,1.774436384494038e-06
1840,3.044711236466213e-07,1.8083545825220426e-06
1841,3.890852333654493e-07,1.6494388788146352e-06
1842,3.0790937222135994e-07,1.722011688798375e-06
1843,3.142476772133307e-07,1.787431262556538e-06
1844,2.969311720946166e-07,1.8156161196714038e-06
1845,2.818015216732306e-07,1.548513285598574e-06
1846,2.359364073001302e-07,1.9700397331234853e-06
1847,2.389198110464008e-07,1.6050233746511822e-06
1848,2.622742316660265e-07,1.7474221607471918e-06
1849,2.1702684072089085e-07,1.714428314869565e-06
1850,2.4033045598059743e-07,1.52277184284344e-06
1851,2.8313036226634836e-07,1.5723731934258467e-06
1852,2.994851013848887e-07,1.3561466722933346e-06
1853,3.039713381003395e-07,1.4249029511859135e-06
1854,3.0342679568917674e-07,1.490636115875077e-06
