year,ton_DET antre_NOUN,ton_DET centre_NOUN
1800,3.144164484325529e-09,9.432493897065797e-09
1801,7.143547975374531e-09,4.7623651688866175e-09
1802,0.0,2.2378401354217203e-09
1803,7.801356671777171e-09,1.950339223455444e-09
1804,9.887403784603066e-09,2.4718509461507665e-09
1805,0.0,1.7057266488151868e-08
1806,0.0,2.305335300434308e-08
1807,0.0,2.8469551160981155e-09
1808,0.0,6.798221985349073e-09
1809,0.0,6.7770917766551975e-09
1810,0.0,2.3401267590372754e-09
1811,0.0,0.0
1812,0.0,1.3336041604361526e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,9.440030979135372e-09
1815,5.394447111228828e-09,2.697223555614414e-09
1816,0.0,4.6352077731626196e-09
1817,1.556873407970727e-09,6.22749374290521e-09
1818,0.0,3.5763532135746345e-09
1819,1.035105001712111e-09,1.035105001712111e-09
1820,3.5599443393152796e-09,4.746592452420373e-09
1821,1.676452932031225e-08,1.9722976585256902e-08
1822,1.2030739071633434e-08,1.0025615893027862e-08
1823,0.0,7.906149512848515e-09
1824,0.0,2.5263338088166165e-09
1825,1.7610886082763955e-09,6.163809906922779e-09
1826,1.0569580766173203e-08,1.7615968683770689e-09
1827,0.0,2.7651818612639545e-09
1828,2.7516904310687096e-09,0.0
1829,8.57317605795771e-10,8.57317605795771e-10
1830,5.218417697960831e-09,9.39315203396518e-09
1831,1.5591206103948707e-09,3.1182412207897414e-09
1832,0.0,2.705993873419743e-09
1833,4.633451511359965e-09,1.1583628500844156e-09
1834,0.0,1.8669061851994684e-09
1835,7.563087933704082e-10,3.781543966852041e-09
1836,6.048674894287842e-09,2.016224964762614e-09
1837,4.174734336004349e-09,1.0436836284100082e-08
1838,1.2624323808552163e-09,3.787297142565649e-09
1839,6.9914749545318955e-09,4.194885327990505e-09
1840,5.095750932326837e-09,2.5478754661634184e-09
1841,6.420548537278137e-09,2.5682194149112547e-09
1842,1.2745703159566801e-08,6.708265054555795e-09
1843,2.953455480181333e-09,1.2404512972352677e-08
1844,6.586273748609983e-09,6.037417232818143e-09
1845,1.0044410636567136e-08,2.7901139176833567e-09
1846,1.5807152919933287e-08,1.7563503984519002e-09
