year,mon_DET âge_NOUN,mon_DET age_NOUN,mon_DET sage_ADJ
1800,2.1757618924311828e-06,5.030663263738688e-08,1.2576657937302116e-08
1801,3.421759451782691e-06,1.4287095506659853e-08,4.7623651688866175e-09
1802,1.9804886051133508e-06,8.951360541686881e-09,2.2378401354217203e-08
1803,2.1044161044869725e-06,2.3404070459420723e-08,2.5354410126965377e-08
1804,3.4136260964601206e-06,1.4831105676904599e-08,2.9662210465630778e-08
1805,3.209609033660854e-06,5.117179879832179e-08,4.5486043376286034e-08
1806,2.5099337648271103e-06,2.305335211616466e-08,2.305335300434308e-08
1807,1.5999887637008214e-06,8.540865348294346e-09,5.693910232196231e-09
1808,2.037200431459496e-06,1.3596443970698147e-08,2.2660739951163578e-09
1809,1.9043627261794427e-06,9.036122294858728e-09,4.518061036407062e-09
1810,3.304259081460259e-06,3.7442029476864036e-08,1.4040760554223652e-08
1811,1.8502226168948255e-06,5.0141535368197765e-09,3.760615285841595e-08
1812,2.9472650382444954e-06,1.0668832928217853e-08,4.800974906515876e-08
1813,2.490392198239988e-06,8.627225156487839e-09,7.476928232108548e-08
1814,1.8313661129809589e-06,1.5733385261285093e-08,1.2586708564299443e-08
1815,1.3243367416038154e-06,2.6972235334099537e-08,1.0788894222457657e-08
1816,1.543524192015866e-06,1.622322720606917e-08,6.952811659743929e-09
1817,3.889069759566155e-06,1.71256075987003e-08,3.269434145636296e-08
1818,3.067319013894121e-06,1.5497530814201355e-08,3.695565098382758e-08
1819,2.551533832217956e-06,1.3456364911235141e-08,1.0351049795076506e-08
1820,2.819475824367146e-06,2.8479553826343817e-08,2.0173018810965004e-08
1821,5.152627792881503e-06,3.0570612707947475e-08,2.9584463767662328e-08
1822,3.5460603271531e-06,1.604098542884458e-08,2.5064039732569654e-08
1823,3.3393598855013806e-06,7.90614973489312e-09,3.4589405117912975e-08
1824,3.093074589344269e-06,8.168479403991569e-08,2.2737005167527968e-08
1825,3.5336243868755446e-06,6.86824590534485e-08,2.553578504205234e-08
1826,2.2715792447058902e-06,8.807984341885344e-09,2.3781557056956615e-08
1827,2.2720578201074204e-06,1.2904182167261524e-08,1.3825909306319772e-08
1828,2.5609064664422476e-06,3.1185824256318995e-08,2.384798358789908e-08
1829,2.377341687065382e-06,1.0287811047504647e-08,1.1145129097389628e-08
1830,2.44639440438732e-06,8.349468672008697e-09,3.026682549034376e-08
1831,2.7705573515390824e-06,3.430065276255334e-08,1.7150327380477393e-08
1832,4.081991534121698e-06,1.3529969367098715e-08,2.3000948701223933e-08
1833,3.577024386913763e-06,2.432561985177273e-08,1.2741991128883967e-08
1834,2.588465342512336e-06,1.213489042584115e-08,2.0535968481283362e-08
1835,2.2311109262318496e-06,1.4369867074037757e-08,1.663879345414898e-08
1836,2.1116597608283882e-06,3.9652425953828896e-08,1.6801874724858834e-08
1837,2.1124156646123993e-06,4.17473438041327e-08,1.0436836284100082e-08
1838,1.8873364631133427e-06,2.3354999711955315e-08,8.837027110075724e-09
1839,1.9988627570910467e-06,1.11863602825224e-08,2.0974424863595686e-08
1840,1.705802672447021e-06,1.7835128207632778e-08,9.554533164646273e-09
1841,1.3213488330166001e-06,2.632424900284036e-08,3.2102742686390684e-08
1842,1.561684129569585e-06,2.2808101185489704e-08,1.341653010911159e-08
1843,1.7195018173765675e-06,3.366939355098353e-08,1.6539350389255247e-08
1844,1.2574293748457421e-06,1.6465683483346538e-08,6.586273526565378e-09
1845,1.332558436928366e-06,2.5669048497878322e-08,1.5066615954850704e-08
1846,1.8318734973377104e-06,1.8734404250153602e-08,2.9272506640865004e-08
1847,1.0932064853363954e-06,9.707802561820245e-09,5.9325460100012606e-09
1848,1.2116104315396115e-06,9.654266053260585e-09,5.631655086713039e-09
1849,1.394334638860073e-06,1.256912218750017e-08,7.541473445726865e-09
1850,1.3116340582541852e-06,1.968808849284187e-08,2.0366988096043315e-09
1851,1.2331327177150797e-06,1.4188764829725642e-08,3.2247193804124663e-09
1852,1.7181329106108478e-06,4.427170918752665e-08,5.859490670445666e-09
1853,1.7581366833496759e-06,1.5527023000672102e-08,1.6721408702125018e-08
1854,1.554023285166295e-06,4.000661635306102e-08,1.7665259033350367e-08
1855,1.8383230440122134e-06,1.4859423913549108e-08,2.9188154115900034e-08
1856,1.892262694980218e-06,5.746679948570588e-08,2.7956820858321407e-08
1857,2.0546272025967482e-06,4.295728045500269e-08,1.4156376071383647e-08
