year,son_DET homme_NOUN,son_DET somme_NOUN
1800,9.275285091092655e-07,6.288328968651058e-09
1801,7.762655205301172e-07,1.6668277424969347e-08
1802,9.64509069945052e-07,2.6854081625060644e-08
1803,7.157744867924976e-07,3.315576790896557e-08
1804,1.1889603452885922e-06,2.4718509905596875e-08
1805,1.012064451799688e-06,1.9900143755080535e-08
1806,6.743105620543588e-07,1.152667650217154e-08
1807,7.914535395947553e-07,3.131650672116848e-08
1808,7.432722952671611e-07,1.1330369531492579e-08
1809,5.308721802155247e-07,2.0331274441787173e-08
1810,7.956430865263542e-07,3.978215445954447e-08
1811,9.727457768171632e-07,2.757784534068719e-08
1812,1.000203070589123e-06,6.668020802180763e-08
1813,7.994562025714913e-07,3.738464116054274e-08
1814,8.370161008741661e-07,2.8320094713762956e-08
1815,5.259585869055172e-07,5.394447111228828e-09
1816,5.956242237203924e-07,6.952811659743929e-09
1817,7.504130099533768e-07,4.0478710161551135e-08
1818,9.048173832404416e-07,2.2650237241350624e-08
1819,1.223494141999737e-06,1.7596784473994376e-08
1820,1.2258074857385282e-06,2.0173018810965004e-08
1821,1.1439325930950872e-06,3.254291058851777e-08
1822,1.1920456870484486e-06,2.90742860897808e-08
1823,1.3213152403324102e-06,6.917880934764753e-09
1824,1.2985355901662388e-06,3.452656116564867e-08
1825,1.4062292823524558e-06,5.723537976898285e-08
1826,1.1027596595880595e-06,3.2589543508265706e-08
1827,9.134317657810698e-07,3.041700225026034e-08
1828,9.841879347050053e-07,2.935136400594729e-08
1829,1.1770970376190348e-06,1.2002446869718852e-08
1830,8.370342357011396e-07,3.757260813586072e-08
1831,1.0555246059418266e-06,4.2096257146795324e-08
1832,1.0566905674913585e-06,4.19429042608499e-08
1833,8.757223186606211e-07,4.6334513115198206e-08
1834,9.978613695338368e-07,2.9870498963191494e-08
1835,1.2259765753697138e-06,2.2689263801112247e-08
1836,1.0551577349637853e-06,4.099657502365517e-08
1837,1.084735146150706e-06,1.3219993100221927e-08
1838,1.2106726074989638e-06,4.039783618736692e-08
1839,1.0634033849044044e-06,3.425822825420255e-08
1840,1.087305868452404e-06,3.121147429396842e-08
1841,1.1338688530315721e-06,3.980740004294603e-08
1842,9.022616254128479e-07,3.28704987673234e-08
1843,1.039616392084497e-06,3.1306630177141415e-08
1844,8.869514793730104e-07,3.951764071530306e-08
1845,1.0161594818924868e-06,2.79011406201235e-08
1846,9.179858100338834e-07,1.9319854160926297e-08
1847,7.626018501127874e-07,1.4022381478184798e-08
1848,9.034784227424097e-07,2.172209789819135e-08
1849,7.424161552194164e-07,1.7596770485184265e-08
1850,9.16514476756447e-07,4.752297400045791e-08
1851,1.0086922159757705e-06,3.0957306051959677e-08
1852,9.531438796006597e-07,2.278690836021724e-08
1853,1.2087189595888503e-06,2.8665272822081533e-08
1854,9.253478316928465e-07,2.0263090760863633e-08
1855,1.1043736272142723e-06,4.2455496895854594e-08
1856,9.261991706921435e-07,1.65670055451983e-08
1857,1.2530834148094527e-06,2.9289054737091647e-08
1858,1.3687612074875233e-06,4.4532452392331834e-08
1859,9.832986584967784e-07,4.1755821911237945e-08
1860,9.529697102550472e-07,3.7990627532735743e-08
1861,9.71488516299246e-07,2.971057178058345e-08
1862,1.072118142708689e-06,2.6204320491274302e-08
1863,1.0179037701618654e-06,4.145535115185339e-08
1864,1.063950168855854e-06,4.602938685760449e-08
1865,1.1550595786502527e-06,3.7654753592963885e-08
1866,1.0256712386080835e-06,3.016680000245131e-08
1867,1.0438397026746316e-06,5.386620927083641e-08
1868,1.1840877940372252e-06,3.359114231216154e-08
1869,1.0367711631431575e-06,4.2974967584541446e-08
1870,1.1405023041533013e-06,3.1537268796455464e-08
1871,8.88992527592336e-07,1.1683295220166201e-08
1872,9.9297306999091e-07,3.0236694925633856e-08
1873,1.085861183192094e-06,3.711322849042631e-08
1874,1.196116798496405e-06,3.106796703233883e-08
1875,1.1036825640076131e-06,3.432916173551348e-08
1876,1.1826004424619896e-06,4.957732002708326e-08
1877,1.3674627830084773e-06,4.886004489890183e-08
1878,1.1027375865779732e-06,4.7708802242141246e-08
1879,1.3128939659878824e-06,3.909968249171669e-08
1880,1.0602281701466154e-06,3.144744553651435e-08
1881,1.0835276444964848e-06,6.693607446095484e-08
1882,1.1993004349619696e-06,3.7270154962243396e-08
1883,1.1393767600509364e-06,4.613117354779206e-08
1884,1.0285444389523946e-06,4.621188054443337e-08
1885,9.236596190120849e-07,5.1565086478522204e-08
1886,1.2410011267505183e-06,3.291266637006629e-08
1887,9.87826279441606e-07,3.7867764035581786e-08
1888,1.0246433461702509e-06,5.579740913752573e-08
1889,1.1778456645572533e-06,3.947036120166558e-08
1890,8.710779475507024e-07,4.063719521996134e-08
1891,1.1403479689420237e-06,2.9321411743055137e-08
1892,9.747536857673822e-07,2.2566645441202127e-08
1893,1.154703118899647e-06,5.173069794750518e-08
1894,9.735878041539081e-07,4.159015776217245e-08
1895,1.0213589192176187e-06,4.33340261452031e-08
1896,1.149920663578996e-06,2.3588116737638387e-08
1897,9.53250335555822e-07,3.8456310136325556e-08
1898,1.0032263402237618e-06,4.413516663248629e-08
1899,1.2099869355353121e-06,2.1004797901014172e-08
