year,en_PRON eus_VERB,en_PRON sus_VERB
1800,6.288328968651058e-09,0.0
1801,9.524730337773235e-09,2.3811825400343878e-08
1802,0.0,4.475680270843441e-09
1803,1.950339223455444e-09,0.0
1804,2.2246657849223084e-08,2.4718509461507665e-09
1805,1.421438877713399e-08,1.9900143755080535e-08
1806,8.645007376628655e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,9.064295980465431e-09,0.0
1809,2.259030518203531e-09,0.0
1810,4.680253518074551e-09,4.680253518074551e-09
1811,0.0,2.5070767684098882e-09
1812,5.3344164641089264e-09,0.0
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,7.866692897096073e-08,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,1.556873407970727e-09,1.556873407970727e-09
1818,2.384235475716423e-09,0.0
1819,4.140420006848444e-09,0.0
1820,0.0,1.1866481131050932e-09
1821,8.875339574387908e-09,9.86148829262845e-10
1822,8.02049271442229e-09,1.0025615893027862e-09
1823,3.9530747564242574e-09,1.9765373782121287e-09
1824,1.6842225392110777e-08,2.5263338088166165e-09
1825,2.0252519661312363e-08,1.1447075731751966e-08
1826,6.1655889282974385e-09,5.2847906051312066e-09
1827,6.452091305675367e-09,2.027800150017356e-08
1828,9.172301140836225e-09,2.7516903755575584e-09
1829,5.143905745796928e-09,1.3717081692732336e-08
1830,4.174734336004349e-09,1.1480519424011959e-08
1831,1.7150327380477393e-08,1.5591206103948707e-09
1832,8.117981842303834e-09,1.3529969367098715e-09
1833,1.50587169400751e-08,6.950177322551099e-09
1834,6.534171426153534e-09,1.8669061851994684e-09
1835,5.294161553592858e-09,6.806779140333674e-09
1836,7.392825018825988e-09,3.3603749782784575e-09
1837,9.74104708006962e-09,2.0873671680021744e-09
1838,6.943378316748294e-09,2.5248647617104325e-09
1839,8.38977065598101e-09,1.3982950353153e-09
1840,3.1848443882154243e-09,1.2102408630809691e-08
1841,5.778493683550323e-09,4.494383976094696e-09
1842,4.695785538189057e-09,9.391571076378114e-09
1843,2.953455480181333e-09,5.906910960362666e-09
1844,2.195424508855126e-09,1.097712254427563e-09
1845,1.0602432709561072e-08,1.0044410470033682e-08
1846,4.0981511517657054e-09,1.2879902921980602e-08
1847,7.011190739092399e-09,8.089835468183537e-09
1848,3.218088684420195e-09,8.045221711050488e-10
1849,1.6758829879393033e-09,3.3517659758786067e-09
1850,6.1100964288129944e-09,6.788996032014438e-09
1851,7.739326512989919e-09,3.8696632564949596e-09
1852,3.906327261660181e-09,5.208436348880241e-09
1853,5.3747388761848924e-09,7.1663179834757784e-09
1854,2.5978321716024766e-09,4.1565315633818045e-09
1855,8.491099379170919e-09,2.1227748447927297e-09
1856,3.6240324075009767e-09,4.141751386299575e-09
1857,2.9289055625270066e-09,1.9526036898476207e-09
1858,4.893676130990343e-09,1.468102750479261e-09
1859,4.582956236731661e-09,3.055304009791371e-09
1860,4.119465657481669e-09,5.492620663849479e-09
1861,4.715963619617014e-09,1.414789119191795e-09
1862,1.9427341513278407e-08,1.1294966073549517e-08
1863,7.491931519609807e-09,2.4973103585068657e-09
1864,5.753673537611803e-09,1.9178911792039344e-09
1865,3.294791106611683e-09,2.824106559717876e-09
1866,4.865612801552288e-09,1.9462452205409875e-09
1867,3.88224918879132e-09,9.7056229719783e-10
1868,3.951899252285784e-09,1.975949626142892e-09
1869,4.883519366671862e-09,3.906815315701806e-09
1870,4.587239033071455e-09,5.160643912205387e-09
1871,6.37270636261178e-09,3.18635318130589e-09
1872,7.256807155187062e-09,3.6284036886158333e-09
1873,2.3944017879529156e-09,1.0774807879254666e-08
1874,1.9716210886144836e-08,2.987304570378768e-09
1875,4.577221712764867e-09,1.4303817685856757e-08
1876,1.1487427897804992e-08,4.836811839936672e-09
1877,1.5462040536817767e-08,6.184816214727107e-09
1878,1.4493812372506909e-08,1.0266450745088918e-08
1879,2.077170613290491e-08,3.6655952717623563e-09
1880,3.8507077526617195e-09,3.8507077526617195e-09
1881,7.669758161910067e-09,2.091752326904839e-09
1882,5.989846840748214e-09,4.658769592325029e-09
1883,8.21514056781325e-09,4.423537203201988e-09
1884,5.281357573494461e-09,7.2618666635548834e-09
1885,1.2246707647989297e-08,3.222817901438191e-09
1886,7.098810428374236e-09,7.098810428374236e-09
1887,9.793386546164129e-09,6.528924567650307e-09
1888,1.014498351992188e-08,6.340614699951175e-09
1889,9.397704836544563e-09,1.2530273485467092e-09
1890,1.0487018364813139e-08,3.2771931834929546e-09
1891,5.099376032546843e-09,9.561329505913818e-09
1892,6.8953633913793055e-09,8.775916882086676e-09
1893,8.005941687372342e-09,3.079208221734575e-09
1894,1.0082462864602348e-08,1.2603078580752936e-09
1895,1.023164486468886e-08,1.8055843487019274e-09
1896,7.076434549446731e-09,8.255840344695287e-09
1897,1.4566784223291052e-08,2.913356778044829e-09
1898,7.355861253444118e-09,8.487532454637403e-09
1899,1.3818945987509323e-08,1.1055156790007459e-09
1900,8.824790675987515e-09,5.191053031872173e-09
