year,en_ADP hommes_NOUN,en_ADP sommes_NOUN
1800,2.0688603399321437e-06,1.603523855919775e-06
1801,1.9573321878851857e-06,1.8216046555608045e-06
1802,1.403125793331128e-06,1.4232663261282141e-06
1803,1.410095251230814e-06,1.4432509942707838e-06
1804,1.5968157640600111e-06,1.6264779105767957e-06
1805,2.1833300252183108e-06,1.2082230114174308e-06
1806,1.829859911595122e-06,1.674249801908445e-06
1807,1.7110199905800982e-06,1.3295280041347723e-06
1808,1.7108858401115867e-06,1.3505800779967103e-06
1809,1.8817723912434303e-06,1.6265020121863927e-06
1810,1.247287514161144e-06,1.3174914101909962e-06
1811,1.2359888614810188e-06,1.233481725648744e-06
1812,1.2082452940376243e-06,1.5309775562855066e-06
1813,1.3659772548635374e-06,1.449373826289957e-06
1814,2.6180352961091558e-06,1.4222980553313391e-06
1815,1.9959454675699817e-06,1.3351257166505093e-06
1816,1.6988036577458843e-06,1.7057564036804251e-06
1817,2.6638103918230627e-06,1.4977122191339731e-06
1818,2.2697922759107314e-06,1.6379697171942098e-06
1819,2.1468076738528907e-06,1.695501964604773e-06
1820,2.417202267679386e-06,1.7360662241117097e-06
1821,1.8312783822693746e-06,1.9792007606156403e-06
1822,1.8798029941535788e-06,1.6281600210277247e-06
1823,1.8984641201313934e-06,1.8836401523003587e-06
1824,2.365490445299656e-06,1.7330650052826968e-06
1825,2.4267801563837565e-06,1.506611283730308e-06
1826,2.0381676222314127e-06,1.6241923503912403e-06
1827,1.910740593302762e-06,1.6102576410048641e-06
1828,1.8069433735945495e-06,1.7885987517729518e-06
1829,2.3842003429308534e-06,1.6932023072513402e-06
1830,2.355593778702314e-06,2.206347062383429e-06
1831,1.8600309203975485e-06,1.6666999727021903e-06
1832,2.15126510738628e-06,1.7818969126892625e-06
1833,1.98890893443604e-06,1.9773253825405845e-06
1834,1.8585051293484867e-06,2.02746014110744e-06
1835,1.9701844848896144e-06,1.8370740235695848e-06
1836,1.940952643053606e-06,2.0935135580657516e-06
1837,2.2251335849432508e-06,1.7519969333079644e-06
1838,1.8816554074874148e-06,1.6556800801481586e-06
1839,1.8800076304614777e-06,1.8268724488734733e-06
1840,2.287355300722993e-06,1.897530296446348e-06
1841,1.822793706196535e-06,2.2144472495710943e-06
1842,1.8172689806306153e-06,2.0024172044941224e-06
