year,en_ADP airs_NOUN,en_ADP serre_NOUN
1800,0.0,1.1947824418712116e-07
1801,2.3811825844433088e-09,1.7144515140898875e-07
1802,0.0,6.69114172069385e-07
1803,7.801356671777171e-09,2.340407121437238e-07
1804,2.4718509905596875e-08,3.460591280202152e-07
1805,3.1271653710973624e-08,4.491746796730922e-07
1806,4.3225035994964855e-08,7.780506905419315e-08
1807,1.4234775136401367e-08,2.2775641372874134e-08
1808,2.2660739951163578e-09,9.064295625194063e-08
1809,2.259030518203531e-09,2.371982077420398e-07
1810,9.360507036149102e-09,2.2933241616840405e-07
1811,1.2535384286138651e-08,1.7850386484496994e-06
1812,2.9339290108509886e-08,4.000812481308458e-08
1813,4.3136125782439194e-08,1.322841143291953e-07
1814,0.0,1.6992056828257773e-07
1815,3.506390555685357e-08,2.0498898534171417e-07
1816,1.228330006597389e-07,1.6918508549679245e-07
1817,6.227493631882908e-09,2.2574663738339495e-07
1818,5.960588467246453e-09,7.391130196765516e-08
1819,0.0,5.589566853814176e-08
1820,2.0173018810965004e-08,9.01852530432734e-08
1821,1.676452932031225e-08,1.0157332830385002e-07
1822,1.0025615893027862e-09,5.6143449000956025e-08
1823,1.2847492847356534e-08,1.1167436042569534e-07
1824,1.7684335773537896e-08,1.1873768812620256e-07
1825,4.4027217427355936e-09,1.1623184947850973e-07
1826,7.0463874735082754e-09,1.321197662385032e-07
1827,5.530363722527909e-09,1.410242755905955e-07
1828,1.0089530988466322e-08,1.6693587667759857e-07
1829,1.7146351893870815e-08,1.4145740578896948e-07
1830,1.982998831806526e-08,1.7325147894098336e-07
1831,0.0,2.603731468209247e-07
1832,2.976593194148336e-08,3.964281098944866e-07
1833,2.085053074640797e-08,2.8959070930145714e-07
1834,1.8669061851994684e-09,3.005719100279691e-07
1835,6.050470346963266e-09,2.8512840799521655e-07
1836,1.1425274948351216e-08,1.8952515601355913e-07
1837,2.5048407792382932e-08,1.3289571554331303e-07
1838,2.1461350030449466e-08,2.4743675752780803e-07
1839,5.2436064379435265e-08,1.7268943963699712e-07
1840,7.0066574764382494e-09,1.598791925516707e-07
1841,1.733548060656176e-08,1.8298563864149742e-07
1842,6.708265054555795e-09,1.7173158539662836e-07
1843,1.3585895075607368e-08,1.565331473329934e-07
1844,1.0977122322231025e-08,2.1624931667574288e-07
1845,5.580227835366713e-09,3.063545093162645e-07
1846,9.952652035849496e-09,3.7234627470184023e-07
1847,9.168480197274675e-09,2.755937398291053e-07
1848,2.735375304041554e-08,3.853661334485281e-07
1849,6.703531951757213e-09,2.983071851758723e-07
1850,2.0366988096043315e-09,2.559451459660522e-07
1851,3.8696632564949596e-09,3.2505170644014925e-07
1852,5.859490670445666e-09,4.0430487846521146e-07
1853,1.1943863675867306e-09,4.084801314974129e-07
1854,7.27393034694046e-09,3.0706376374922684e-07
1855,1.2736649068756378e-08,3.8846779304435586e-07
1856,1.0872097000458325e-08,2.650720842822807e-07
1857,7.322263684272912e-09,3.7831695598455894e-07
1858,2.4468379322684086e-08,2.7991826434536904e-07
1859,1.3748867822016564e-08,3.5288762223473213e-07
1860,1.373155189554609e-08,3.002632702475694e-07
1861,1.2733101684148096e-08,3.305890654559107e-07
1862,1.0843167252971853e-08,3.5059574132745297e-07
1863,9.489779628779615e-09,4.075610678389019e-07
1864,1.3904711160250827e-08,2.5651794288705787e-07
1865,7.530950973944073e-09,3.2853774944996417e-07
1866,1.0704348518686402e-08,3.4205258647723724e-07
1867,2.426405742994575e-08,3.8143098812781773e-07
1868,1.1855697756857353e-08,3.3541744492993075e-07
