year,ton_DET ombre_NOUN,ton_DET sombre_ADJ
1800,3.2384894854686763e-07,3.144164484325529e-09
1801,2.5954889792956237e-07,0.0
1802,3.4462738085494493e-07,0.0
1803,2.82799187623084e-07,1.950339223455444e-09
1804,3.93024297551392e-07,0.0
1805,3.3545956390490517e-07,0.0
1806,2.305335344843229e-07,0.0
1807,2.3345031729959942e-07,8.540865792383556e-09
1808,2.809931669567334e-07,0.0
1809,2.3493917478134563e-07,4.518061036407062e-09
1810,3.5101900675016395e-07,4.680253518074551e-09
1811,2.632430522453433e-07,0.0
1812,1.8670457668790164e-07,0.0
1813,2.501895153272926e-07,0.0
1814,1.9194730382920966e-07,0.0
1815,1.4295284911369777e-07,0.0
1816,1.8077309960062848e-07,2.3176038865813098e-09
1817,1.9460917011215884e-07,4.670620334934483e-09
1818,2.0623637109196125e-07,1.1921177378582115e-09
1819,2.080561039008444e-07,2.070210003424222e-09
1820,2.7055575646528496e-07,2.3732962262101864e-09
1821,2.4259261444115054e-07,7.88919063410276e-09
1822,3.04778723148047e-07,2.0051231786055723e-09
1823,2.618912002816387e-07,4.941343334508019e-09
1824,2.8463359669217425e-07,3.3684450784221553e-09
1825,2.4919404140177903e-07,2.641632912414593e-09
1826,1.9641805337755613e-07,0.0
1827,1.4286772775928824e-07,9.217273055917019e-10
1828,1.6693587667759857e-07,4.586150570418113e-09
1829,1.4917326307539724e-07,1.714635211591542e-09
1830,2.870129733878457e-07,6.262101504006523e-09
1831,1.9333095102602726e-07,0.0
1832,2.0971452752149844e-07,1.3529969367098715e-09
1833,2.212473049212349e-07,4.6334514003376626e-09
1834,2.8283630015835115e-07,9.334530925997342e-10
1835,1.467239059138592e-07,3.025235173481633e-09
1836,2.278334287342254e-07,6.048674894287842e-09
1837,2.0386620835921576e-07,6.957890930081589e-10
1838,1.2056229525825302e-07,1.2624323808552163e-09
1839,1.3074059079798417e-07,0.0
1840,1.2420892803177708e-07,2.5478754661634184e-09
1841,1.784912493363322e-07,6.420548537278137e-10
1842,1.656941490679742e-07,4.695785538189057e-09
1843,1.3526826414533843e-07,2.3627644285539873e-09
1844,1.6246140965847644e-07,1.097712254427563e-09
1845,1.0211817258465317e-07,5.580227946389016e-10
1846,1.194318264285954e-07,6.439951683034906e-09
1847,1.0354989754546295e-07,5.393223645455691e-10
1848,1.1504666819206477e-07,8.045221711050488e-10
1849,1.374224058992013e-07,8.379414939696517e-10
1850,1.283120258932513e-07,3.394498016007219e-09
1851,1.1737978899972745e-07,5.8044946626978344e-09
1852,1.158877060980501e-07,4.557382027314816e-09
1853,1.0450880871815116e-07,5.971931837933653e-09
1854,1.0079588880218537e-07,2.5978321716024766e-09
1855,1.379803720169548e-07,3.1841622671890946e-09
1856,1.0820325202498537e-07,8.801221973442352e-09
1857,1.7426987786173243e-07,7.322263684272912e-09
1858,1.9525766603578631e-07,5.872411001917044e-09
1859,2.113251980073727e-07,4.582956236731661e-09
1860,2.0322696192565104e-07,7.323494255473406e-09
1861,1.5279721871097607e-07,3.772770984511453e-09
1862,2.254475153506963e-07,7.680577063240435e-09
1863,1.648224818850963e-07,3.496234635136375e-09
1864,1.1890925133428709e-07,5.753673537611803e-09
1865,1.525017632175718e-07,4.23615986733239e-09
1866,9.633913872209021e-08,4.865612801552288e-09
1867,1.1792332266225003e-07,9.7056229719783e-10
1868,7.903798282526964e-08,4.93987406535723e-10
1869,1.0939082784044984e-07,7.325278605918584e-09
1870,8.887775626575944e-08,2.8670243956696595e-09
1871,7.328612383616928e-08,0.0
1872,1.2397045334733292e-07,4.23313739617015e-09
1873,1.011634740422096e-07,2.3944017879529156e-09
1874,1.0455565763178853e-07,9.559374625212058e-09
1875,1.0985331999613379e-07,8.010138330405425e-09
1876,1.0217764812026076e-07,3.627608879952504e-09
1877,1.1008972844450682e-07,8.658742167710898e-09
1878,1.2923649528318037e-07,3.6234530931267273e-09
1879,1.5212220505489427e-07,6.109325489944695e-09
1880,1.6750579323598913e-07,2.5671385017744797e-09
1881,1.0040411169143226e-07,8.367009307619355e-09
1882,1.0049631415931515e-07,8.652000893505374e-09
1883,1.2322711295809086e-07,1.8958017378167824e-09
1884,1.1354919138284458e-07,1.9805090900604227e-09
1885,8.894977066020715e-08,3.86738152613475e-09
1886,9.93833414453249e-08,3.872078213618124e-09
1887,1.0315701048924097e-07,3.264462256069578e-09
