year,son_DET avant_NOUN,son_DET savant_ADJ
1800,9.998442878078606e-07,2.4838899292944916e-07
1801,6.357757245112339e-07,1.3334622872562818e-07
1802,7.698170350067812e-07,4.5875722776145267e-07
1803,7.157744761343565e-07,1.6187815532475724e-07
1804,5.685257213894346e-07,2.719036036324951e-07
1805,1.327623948110812e-06,2.643876333419115e-07
1806,1.1843659830645947e-06,1.7866348400730203e-07
1807,8.882499926698983e-07,3.21705925898641e-07
1808,1.0718530489839395e-06,3.104521315577813e-07
1809,1.8840314588430829e-06,2.643065739604822e-07
1810,6.739565328039987e-07,3.1591711557865665e-07
1811,1.7449254485768506e-06,3.334412213007454e-07
1812,7.441511016281765e-07,8.161657092387031e-07
1813,6.21160182845415e-07,2.070533930975671e-07
1814,2.8792096031793335e-06,9.44003133440674e-08
1815,1.7531953151461721e-06,1.2407228489053068e-07
1816,1.7358852755222642e-06,2.688420543961456e-07
1817,3.2585360969505928e-06,2.5065661513057336e-07
1818,3.2532892784153944e-06,2.7537920699316487e-07
1819,1.3984268285582857e-06,3.488303716991936e-07
1820,2.5038274227284774e-06,1.7087732828713342e-07
1821,1.6656053993813202e-06,1.7257605200438064e-07
1822,1.848723556463483e-06,2.9274798407641356e-07
1823,2.51415556640211e-06,2.134660319619286e-07
1824,2.277068961831219e-06,2.240015923860028e-07
1825,1.8808426913707876e-06,2.518356598812943e-07
1826,2.3948908509652256e-06,2.3164998252944713e-07
1827,1.717177987359264e-06,1.9356273206483365e-07
1828,1.5106780466567216e-06,2.38479827885385e-07
1829,1.5388851490882871e-06,1.7060619761366524e-07
1830,1.143877166764895e-06,2.056056587207422e-07
1831,1.8631491833787095e-06,2.556957667820825e-07
1832,7.265593708893903e-07,2.6518739204561825e-07
1833,9.753415431967838e-07,1.841796983814703e-07
1834,1.149080727680385e-06,1.913578877577038e-07
1835,1.1684971212844175e-06,2.064723076955488e-07
1836,1.3199553627885052e-06,2.3253795333744165e-07
1837,1.1661424732523074e-06,2.296104075760752e-07
1838,1.5635225121268803e-06,2.1776957881414205e-07
1839,1.1186359918369249e-06,2.642777703343313e-07
1840,1.6427426570153614e-06,2.388633246752647e-07
1841,1.0606745952657093e-06,2.2985563186139757e-07
1842,1.2658496277850873e-06,1.911855598279999e-07
1843,7.495869915885578e-07,2.616761669571588e-07
1844,1.04886410845495e-06,2.8046548194993193e-07
1845,8.738636871896688e-07,2.1874493993934152e-07
1846,7.593288007257115e-07,2.8569965238034456e-07
1847,1.1735655007782952e-06,2.5024558070185776e-07
1848,1.0853004113187126e-06,2.485973484289694e-07
1849,7.574991025549593e-07,3.4020424610758937e-07
1850,9.348447260748571e-07,2.851378368973201e-07
1851,1.1131731501023978e-06,2.5410787340973684e-07
1852,7.174620986205582e-07,2.500049369746904e-07
1853,9.59689462121105e-07,2.9799938783270363e-07
1854,1.041211172392309e-06,2.649788846120771e-07
1855,6.824720983900079e-07,3.3433703094942757e-07
1856,6.916724863970103e-07,3.0234786452254525e-07
1857,9.645862260043714e-07,3.1339287254184e-07
1858,1.1230986665111686e-06,3.5332340964089326e-07
1859,1.536308721128421e-06,3.1927927723884864e-07
1860,9.346609370908254e-07,2.5952632376480267e-07
1861,8.691520942960551e-07,2.8861698320170603e-07
1862,7.74834650663081e-07,3.049640686647592e-07
1863,9.964268326001502e-07,3.1815735779261445e-07
1864,5.916694529872757e-07,2.963141847445172e-07
1865,5.497594144365792e-07,2.60288488984628e-07
1866,8.894340322029848e-07,2.729608770124514e-07
1867,8.366247108426705e-07,2.5234618483693794e-07
1868,9.820469628607498e-07,3.3591145021105717e-07
1869,9.454493259397623e-07,2.8177905075921217e-07
1870,9.713478696937727e-07,3.1021203028558375e-07
1871,7.636626526696944e-07,2.156099014882784e-07
1872,7.698262649569187e-07,2.618497862982849e-07
1873,8.733580791897566e-07,2.777506167284116e-07
1874,9.188948819627285e-07,2.491412054439479e-07
1875,8.055910072357619e-07,2.7463329388410784e-07
1876,8.440236847206961e-07,2.388175806000703e-07
1877,8.726775462264413e-07,2.956342139981416e-07
1878,8.327903380234147e-07,2.1136810679500684e-07
1879,6.164309382938882e-07,2.364308846480867e-07
1880,6.289489480337807e-07,2.496542133023638e-07
1881,7.851043548612324e-07,2.0708346859521498e-07
1882,6.768526432665567e-07,2.0165816883022103e-07
1883,5.93385948377545e-07,2.432945529484698e-07
1884,6.892171633410271e-07,2.403017704821764e-07
1885,6.645450358888638e-07,2.423559026798472e-07
1886,9.047756286406639e-07,2.174817299027687e-07
1887,7.625783844389389e-07,2.605040867464936e-07
1888,8.464720622214372e-07,2.2001933519533168e-07
1889,7.179846619465025e-07,2.3995474229820957e-07
1890,8.743551553891393e-07,2.5758739607972814e-07
1891,9.325484136013529e-07,1.6190519391834357e-07
1892,8.537713860334861e-07,1.761452022019938e-07
1893,8.406238514169218e-07,1.668930879050734e-07
1894,7.876924001948282e-07,1.7266218321765336e-07
1895,9.521447985605391e-07,1.661137591923989e-07
1896,9.022454108276179e-07,1.9047403654326445e-07
1897,8.262279997950372e-07,2.155884004650943e-07
1898,7.055968644920085e-07,1.6635563326872216e-07
1899,8.06473700265542e-07,2.2552519318708164e-07
1900,9.011668034020204e-07,1.7857222711636922e-07
1901,8.63460146049988e-07,1.766041500261828e-07
1902,1.042453263266907e-06,1.414161725499241e-07
1903,1.0514228705460482e-06,1.8360749276524757e-07
1904,1.1173846203860194e-06,1.6930069524079272e-07
1905,8.53589536831123e-07,1.6411213143996406e-07
1906,9.202945907560434e-07,1.1780182407328255e-07
1907,8.41369189430452e-07,1.38342485467291e-07
1908,9.542828713904328e-07,1.409568652910309e-07
1909,8.482516520302852e-07,1.4027508488112517e-07
1910,9.598094692364612e-07,1.3413818455987325e-07
1911,8.863743374831756e-07,1.2981713393145355e-07
1912,9.210256592950827e-07,9.429052205689459e-08
1913,9.487048586720448e-07,1.1666577126590028e-07
1914,8.571831990877854e-07,1.6808826552860978e-07
1915,8.446806578632504e-07,1.0249262771822032e-07
1916,7.031975659543832e-07,7.801097723358907e-08
1917,6.579854492372306e-07,8.882803825827068e-08
1918,8.637754866924752e-07,9.303964532136888e-08
1919,6.51915669891423e-07,5.616787668305534e-08
1920,7.420786864997808e-07,1.1055458104536342e-07
1921,6.209652649857844e-07,1.0753301105115298e-07
1922,6.876235687514054e-07,7.304155802412282e-08
1923,6.369568819053484e-07,8.492758496458919e-08
1924,6.097738474153402e-07,9.539801826274896e-08
1925,6.76387955422797e-07,9.128488032139614e-08
1926,6.141522366220897e-07,8.025219955243301e-08
1927,6.355057955431676e-07,8.584903232744523e-08
1928,7.084145838831546e-07,9.712135262684995e-08
1929,6.706524757760235e-07,8.355305114449152e-08
1930,7.688637921887675e-07,8.297846676441623e-08
1931,9.135690639539007e-07,7.52753521737759e-08
1932,1.0071814351420016e-06,8.000461637625023e-08
1933,6.469453630586486e-07,8.602996359741155e-08
1934,7.320745414318708e-07,7.308764082836205e-08
1935,6.786016832904807e-07,7.4203363453762e-08
1936,7.311202967485997e-07,6.30485130770353e-08
1937,5.93041660224003e-07,4.532802555523574e-08
1938,7.014181164777256e-07,5.963998495062128e-08
1939,6.331736770448515e-07,9.176430371127253e-08
1940,6.745182794531956e-07,4.817987586669403e-08
1941,6.080095222849025e-07,7.673907065353092e-08
1942,7.160739947664752e-07,4.5513175450651033e-08
1943,8.187123405889452e-07,5.8064703267746154e-08
1944,8.161492814906524e-07,6.105053529381621e-08
1945,6.57908195478285e-07,4.574858536443571e-08
1946,6.682129800594794e-07,3.7586982415405146e-08
1947,5.781622656186869e-07,6.437270161363529e-08
1948,7.273292830234368e-07,5.979538397760109e-08
1949,7.038794773706059e-07,3.239612667016445e-08
1950,8.157322213264706e-07,5.5303878143675433e-08
1951,7.175123144520512e-07,6.610068781220946e-08
1952,7.497355341001821e-07,7.065018792218325e-08
1953,7.153821162120266e-07,4.201792691560513e-08
1954,6.762594928488852e-07,3.518113089739927e-08
1955,7.179990184624785e-07,4.786659957289885e-08
1956,7.142615210398162e-07,4.098936523533325e-08
1957,7.527452297040327e-07,2.8272120644601273e-08
1958,6.419260820678119e-07,3.4743422028249427e-08
1959,6.750901544450016e-07,4.805463515999975e-08
1960,7.225350202588743e-07,4.9137916846575536e-08
1961,7.302515641072205e-07,5.280601200752244e-08
1962,7.37569552100581e-07,3.2343978606519386e-08
1963,7.726933404228475e-07,2.3924397463126468e-08
1964,8.018670278886475e-07,3.77206052504242e-08
1965,6.938551138091498e-07,5.362602673031347e-08
1966,7.355891238347567e-07,4.7636043332133227e-08
1967,7.681462719233423e-07,4.5852119323619434e-08
1968,7.177282741466229e-07,4.8956432463498345e-08
1969,7.289521111175645e-07,4.5417578364848055e-08
1970,6.484202064171996e-07,4.2768142805016396e-08
1971,6.392166671531641e-07,3.596878173084406e-08
1972,6.612759335666851e-07,4.719735285929616e-08
1973,5.628980792593552e-07,3.252790353736046e-08
1974,6.047489637950321e-07,3.487854560724202e-08
1975,7.099370069596489e-07,1.7134440977173426e-08
1976,7.256179017645081e-07,3.028169176522155e-08
1977,7.222564688547095e-07,3.173462204131283e-08
1978,6.534650687228805e-07,2.851483871246785e-08
1979,6.413762871915196e-07,2.9259867084796554e-08
1980,7.168975146853995e-07,2.2172087332794632e-08
1981,6.635501268448252e-07,1.707898356073656e-08
1982,6.871704778532717e-07,2.110550845202397e-08
1983,6.751073016175724e-07,1.8314417316034337e-08
1984,7.376338775344493e-07,1.9136728646174106e-08
1985,7.1825760272759e-07,1.4437339324047116e-08
1986,6.893658071049913e-07,2.2179596825822046e-08
1987,6.599682151886554e-07,1.7110287242605438e-08
1988,6.314371123750107e-07,9.594486094499644e-09
1989,6.250971313903619e-07,1.4817929883115255e-08
