year,son_DET alu_NOUN,son_DET salut_NOUN
1800,0.0,3.3391027045581723e-06
1801,0.0,3.7884615267103072e-06
1802,0.0,3.401517005841015e-06
1803,0.0,3.887026196025545e-06
1804,0.0,3.8115940697025508e-06
1805,0.0,3.2607806588202948e-06
1806,0.0,4.420480308908736e-06
1807,0.0,4.105309471924556e-06
1808,0.0,3.6415808608580846e-06
1809,0.0,3.740954525710549e-06
1810,2.3401267590372754e-09,4.780878953170031e-06
1811,0.0,4.01382976633613e-06
1812,0.0,2.928594540207996e-06
1813,0.0,3.6291860396886477e-06
1814,0.0,5.050416802987456e-06
1815,0.0,4.728232852357905e-06
1816,0.0,6.081392712076195e-06
1817,0.0,5.65300751986797e-06
1818,0.0,4.881722361460561e-06
1819,0.0,5.128945304022636e-06
1820,0.0,6.009186108713038e-06
1821,0.0,5.851807145518251e-06
1822,0.0,5.5361451813951135e-06
1823,0.0,5.731958481192123e-06
1824,0.0,6.39330892227008e-06
1825,0.0,5.797503490612144e-06
1826,0.0,4.749265372083755e-06
1827,9.217273055917019e-10,4.780999461218016e-06
1828,9.172301251858528e-10,4.898008683085209e-06
1829,0.0,4.546355285128811e-06
1830,0.0,4.6047321120568085e-06
1831,0.0,3.98511247112765e-06
1832,0.0,3.613854914874537e-06
1833,0.0,4.211807208776008e-06
1834,0.0,4.288283435016638e-06
1835,0.0,5.422733920568135e-06
1836,0.0,5.721374691347592e-06
1837,0.0,4.5455899453372695e-06
1838,0.0,4.977770913683344e-06
1839,0.0,4.3207314774917904e-06
1840,0.0,4.861983143200632e-06
1841,0.0,4.69149472337449e-06
1842,6.708265054555795e-10,4.840013389184605e-06
1843,0.0,4.756835551233962e-06
1844,5.488561272137815e-10,5.501185114553664e-06
1845,0.0,5.149434400664177e-06
1846,5.854501328173001e-10,4.353407348389737e-06
1847,0.0,4.728239218820818e-06
1848,0.0,4.200410330668092e-06
1849,0.0,3.92743186239386e-06
1850,0.0,4.177269147476181e-06
1851,1.2898877521649865e-09,4.236636414134409e-06
