year,en_ADP eaux_NOUN,en_ADP seaux_NOUN
1800,2.358123420975744e-07,9.432493897065797e-09
1801,2.524053570596152e-07,7.143547975374531e-09
1802,2.5735161557349784e-07,1.3427040812530322e-08
1803,1.1331471370112922e-06,0.0
1804,4.696516728852629e-07,4.943701892301533e-09
1805,5.34461003454112e-07,0.0
1806,2.7087691023552907e-07,2.881669125542885e-09
1807,3.074711401040986e-07,8.540865348294346e-09
1808,2.5153420679657756e-07,0.0
1809,2.710836657371374e-07,2.259030518203531e-09
1810,3.1825722945910684e-07,1.1700633795186377e-08
1811,3.4096243783920954e-07,1.2535384286138651e-08
1812,2.667208347517658e-07,0.0
1813,2.0992914051554123e-07,2.8757416448144113e-09
1814,2.580275122454623e-07,0.0
1815,2.5623624266835066e-07,0.0
1816,2.062667476820934e-07,0.0
1817,2.2107602470899934e-07,1.556873407970727e-09
1818,1.9908365556098317e-07,0.0
1819,3.3226870055358404e-07,0.0
1820,2.1003671690777992e-07,0.0
1821,2.031466594942799e-07,0.0
1822,1.5439448475262907e-07,3.0076847679083585e-09
1823,1.2649839309375466e-07,9.882686891060644e-10
1824,1.9621192581809055e-07,7.57900142644985e-09
1825,1.787504968486786e-07,8.805443041381977e-10
1826,2.3164999207736514e-07,2.642395191543301e-09
1827,2.0185828181196186e-07,2.7651818612639545e-09
1828,1.751909479708047e-07,5.503380862137419e-09
1829,2.1518671777798204e-07,1.2859763920403111e-08
1830,1.8890672803806297e-07,3.1310507520032616e-09
1831,2.7908258548592357e-07,0.0
1832,3.368962495642336e-07,4.19429042608499e-08
1833,2.536814502906992e-07,3.4750886612755494e-09
1834,1.7455573142477476e-07,9.334530925997342e-10
1835,2.2008586597621616e-07,7.563087933704082e-10
1836,1.854926970912274e-07,6.720750067579218e-10
1837,1.8507989274496595e-07,6.262101948095733e-09
1838,2.057764847407384e-07,6.9433778726590845e-09
1839,2.551888466095775e-07,6.9914751765765e-10
1840,1.0828470919932442e-07,6.369688665408546e-10
1841,1.8491180320268086e-07,4.494383976094696e-09
1842,1.677066228111812e-07,6.708265054555795e-10
1843,2.0615119794564762e-07,5.906911071384968e-10
1844,1.9374621373913214e-07,1.097712254427563e-09
1845,1.696389348992966e-07,3.348136878855712e-09
1846,2.1603110056389596e-07,5.854501328173001e-10
1847,1.526282265018608e-07,1.0786447290911383e-09
1848,3.07327463255902e-07,2.413566457803995e-09
1849,2.1618890544417013e-07,8.379414939696517e-10
1850,1.5003680609027015e-07,0.0
1851,2.347595637886002e-07,2.579775504329973e-09
1852,2.8841716326333255e-07,1.9531636308300904e-09
1853,2.3589130093704114e-07,3.5831591027601917e-09
1854,2.202961661978975e-07,5.195664454227256e-10
1855,1.9529528572093113e-07,5.306937111981824e-09
1856,1.7602443536102186e-07,0.0
1857,1.7768692828212806e-07,3.905207268672939e-09
1858,1.1842696068242731e-07,4.893676130990343e-09
1859,2.1896344959415615e-07,2.036869339860914e-09
1860,2.2657060874675672e-07,3.661747127736703e-09
1861,2.0090005414807877e-07,9.431927461278633e-10
1862,2.177669320979625e-07,3.162590411776023e-09
1863,2.062778469147375e-07,9.989241656072068e-10
1864,2.1624223289773425e-07,1.4384183844029508e-09
1865,1.8968582082834473e-07,2.3534221238463715e-09
1866,1.965707678852624e-07,4.865612801552288e-09
1867,2.406994568104892e-07,3.396968040192405e-09
1868,2.7317504580626206e-07,1.4819622196071691e-09
1869,1.982708842662717e-07,1.4650557433881772e-09
1870,2.339491849134845e-07,5.734048791339319e-10
1871,1.561313054398994e-07,0.0
1872,2.2677521704927983e-07,0.0
1873,3.63949070603109e-07,2.9930022904522957e-09
1874,2.0014940327328645e-07,6.572069999322139e-09
1875,1.8080025182554138e-07,8.010138052849669e-09
1876,2.0919211096703805e-07,8.464420275799966e-09
1877,2.739873469215226e-07,1.8554447978047506e-09
1878,3.7261177632252895e-07,3.6234530931267273e-09
