year,en_ADP eau_NOUN,en_ADP sauts_NOUN
1800,3.1787503758096136e-06,9.432493897065797e-09
1801,2.576439555923571e-06,2.3811825400343878e-08
1802,1.4859258499200223e-06,2.2378401354217203e-09
1803,2.201932985057553e-06,0.0
1804,3.030489324373775e-06,0.0
1805,2.771805839074659e-06,0.0
1806,1.8154515828427975e-06,6.051504897186533e-08
1807,1.3608445215140819e-06,2.8469551160981155e-09
1808,1.4004336890138802e-06,1.1330369531492579e-08
1809,2.3855361632740824e-06,2.259030518203531e-09
1810,1.8884823020925978e-06,7.020380277111826e-09
1811,1.5669229469494894e-06,2.5070767684098882e-09
1812,1.2935960285176407e-06,0.0
1813,4.155446731601842e-06,0.0
1814,1.2838443126383936e-06,6.293354282149721e-09
1815,1.4484090797850513e-06,0.0
1816,2.1762300548289204e-06,0.0
1817,1.3918448757976876e-06,9.341240669868967e-09
1818,1.5902850138971303e-06,0.0
1819,1.3725492635785486e-06,2.070210003424222e-09
1820,9.97971028482425e-07,1.3053129244156025e-08
1821,1.6942037053269132e-06,2.070912508145284e-08
1822,1.7294187273364514e-06,0.0
1823,1.5199573006885458e-06,4.941343334508019e-09
1824,1.6134852103277808e-06,1.51580028528997e-08
1825,9.906123521474797e-07,0.0
1826,1.0745741292339517e-06,7.0463874735082754e-09
1827,1.295948550250614e-06,8.295545583791863e-09
1828,1.5776357807917307e-06,3.668920500743411e-09
1829,1.1325165587550146e-06,1.457439946506156e-08
1830,1.4121038334202751e-06,1.0436835840010872e-09
1831,1.3642305702887825e-06,5.3010101197514814e-08
1832,1.2853470745533002e-06,1.352996914505411e-08
1833,1.4502702546659307e-06,2.0850531967653296e-08
1834,1.1350789714814624e-06,2.42697808516823e-08
1835,1.5663155323863975e-06,3.781543966852041e-09
1836,1.5007434512881446e-06,3.36037508930076e-09
1837,1.0840394311095736e-06,4.174734336004349e-09
1838,1.4972448525440996e-06,1.3886756633496589e-08
1839,1.4038881772648892e-06,1.1885507689157748e-08
1840,1.4242623365134932e-06,0.0
1841,1.6276090946121258e-06,1.219904177673925e-08
1842,1.3577528821251406e-06,6.037438549100216e-09
1843,1.7366319041145495e-06,2.3627644285539873e-09
1844,1.482460447732592e-06,3.2931368743049916e-09
1845,1.506103540216408e-06,2.2320911785556063e-09
1846,1.391614934398433e-06,1.0538101946622191e-08
1847,1.3439913750801225e-06,6.47186837454683e-09
1848,1.6235256907748408e-06,5.63165514222419e-09
1849,1.2527224966252248e-06,2.513824481908955e-09
1850,1.2641111135636152e-06,2.7155984128057753e-09
1851,1.2840832823712844e-06,2.257303499675345e-08
1852,9.987177236325806e-07,1.1718981340891332e-08
1853,1.5377724897902567e-06,4.777545470346922e-09
1854,1.4958318388380576e-06,1.0391328908454511e-09
1855,1.4493245217295225e-06,3.1841622671890946e-09
1856,1.6701612384206754e-06,6.212626857404757e-09
1857,1.3028747867793733e-06,2.3431244500216053e-08
1858,1.2777388309626048e-06,8.31924928945682e-09
1859,1.353499639922262e-06,4.582956236731661e-09
1860,1.8111916695318087e-06,5.034902272882391e-09
1861,1.883084323139883e-06,8.488735048217677e-09
1862,1.8085498547648626e-06,3.6143890103090826e-09
1863,1.7695941867401643e-06,1.9978483312144135e-09
1864,1.517531341921341e-06,2.3973640850272204e-09
1865,1.7208223508369258e-06,4.706844358715045e-10
1866,1.852338885832694e-06,0.0
1867,1.6955722994538291e-06,2.91168689159349e-09
1868,2.0530117073036536e-06,4.939874287401835e-09
1869,1.8576907141465426e-06,1.5138908793232986e-08
1870,2.1290523042338805e-06,6.307453670473251e-09
1871,2.2368199523725707e-06,1.0621177271019633e-09
1872,1.9557096111455508e-06,9.071008832961525e-09
1873,2.254329380946274e-06,1.1972008939764578e-09
