year,un_DET oeil_NOUN,un_DET seuil_NOUN
1800,1.7009929464961715e-06,4.4018303668735825e-08
1801,1.683496140714169e-06,3.095537337571841e-08
1802,1.3046608273725724e-06,2.0140561218795483e-08
1803,1.8255175113779387e-06,1.5602713787643552e-08
1804,1.4336734941444718e-06,1.038177401824214e-07
1805,1.0717649121527728e-06,1.7057265822018053e-08
1806,7.953406520044837e-07,7.492339548775817e-08
1807,7.145857225943075e-07,4.27043254092041e-08
1808,1.0333297937314967e-06,3.6257183921861724e-08
1809,8.245461668998644e-07,6.325285539787728e-08
1810,1.586605972825339e-06,3.978215445954447e-08
1811,7.170239566534065e-07,2.2563690915688994e-08
1812,6.961413432371444e-07,6.934741492159446e-08
1813,5.578939026307239e-07,1.6679301495514665e-07
1814,5.601085355522173e-07,2.5173417128598885e-08
1815,7.390392677830704e-07,1.3486117778072071e-08
1816,6.072122271660874e-07,4.8669683394564345e-08
1817,5.417919295425122e-07,2.1796227045456362e-08
1818,6.878519187569765e-07,2.384235386898581e-08
1819,4.927099892526599e-07,5.4860564091541164e-08
1820,5.885774694291968e-07,3.9159388620646496e-08
1821,6.853734393352795e-07,1.676452932031225e-08
1822,4.832346860439429e-07,3.408709403629473e-08
1823,4.951226189042757e-07,4.9413433012013286e-08
1824,4.3705576224795095e-07,3.705289586264371e-08
1825,4.772550070697434e-07,1.893170207267758e-07
1826,4.324720270787452e-07,6.517908246461701e-08
1827,4.4150738059967054e-07,3.410390903013649e-08
1828,4.10919085425121e-07,2.017906314266682e-08
1829,3.960807232750163e-07,5.3153691226270894e-08
1830,4.0599292572274237e-07,1.0123730764810546e-07
1831,4.755317877247478e-07,5.1450980143030733e-08
1832,6.034366358820265e-07,1.0282776941039629e-07
1833,5.258967465948672e-07,7.645194699534841e-08
1834,4.0325172223631967e-07,5.600718466780563e-08
1835,4.333649243903892e-07,2.193295500774184e-08
1836,3.978684112726505e-07,6.115882911217341e-08
1837,3.4511139457293893e-07,4.0355767172428614e-08
1838,3.358070208570041e-07,3.8504188504262515e-08
1839,3.0902320791170723e-07,3.775396706373613e-08
1840,3.0829293340417507e-07,1.1338045879938363e-07
1841,3.601927871521582e-07,7.833069304297169e-08
1842,2.8644291338864036e-07,3.4212153110502186e-08
1843,2.51634422410163e-07,7.915260846758088e-08
1844,3.3589995651617244e-07,5.2690189988879865e-08
1845,2.4497200268314145e-07,7.644912419779715e-08
1846,2.710634010583135e-07,5.151961235405622e-08
1847,2.373018439527641e-07,7.065123242000482e-08
1848,1.9228079595201564e-07,6.355725190587691e-08
1849,3.1422805424341504e-07,3.351765975878607e-08
1850,2.57981856321976e-07,8.689914832160639e-08
1851,2.0315731807940551e-07,5.288539828285366e-08
1852,2.1094167745872028e-07,5.403752667554329e-08
1853,1.8512989097274613e-07,6.151089926298425e-08
1854,2.0886570650802128e-07,9.35219580111557e-08
1855,2.0007153267442845e-07,1.592081169121684e-07
1856,1.9310915988501876e-07,6.367942861906783e-08
1857,2.113693406968764e-07,1.0885765489021537e-07
1858,2.0847060466788747e-07,7.340513752396305e-08
1859,1.6906015654072348e-07,6.670747132453414e-08
1860,1.9453031674387944e-07,7.964299708618228e-08
1861,1.9665568706805914e-07,7.356903375388413e-08
1862,1.7755685660647558e-07,6.370360638996431e-08
1863,1.798063540281447e-07,9.68956412883415e-08
1864,2.1048855325389582e-07,7.575669913606475e-08
1865,1.81213511751821e-07,8.660593586728993e-08
1866,1.717561375902399e-07,9.098696018838837e-08
1867,2.0478864648509898e-07,8.832116904500253e-08
1868,2.2180033987240222e-07,9.237564768671547e-08
1869,2.0413109913519634e-07,1.0792577587181995e-07
1870,1.9839808285126992e-07,1.0378628267915246e-07
1871,2.973929631444605e-07,1.1470871430496743e-07
1872,2.51569315268263e-07,1.3243672825069552e-07
1873,2.0771435993438558e-07,1.029592739953955e-07
1874,2.1568338826050137e-07,1.0276327555569509e-07
1875,1.9968129094660725e-07,1.327394253958225e-07
1876,1.9347246671408413e-07,2.412359838555034e-07
1877,2.2821971168429656e-07,1.5956824750418264e-07
1878,2.0834855296580912e-07,1.5762021976506446e-07
1879,1.8877815466389336e-07,2.138263823781017e-07
1880,1.9831144459914185e-07,1.4568511552681684e-07
1881,2.2381749376076954e-07,1.9732196587796125e-07
1882,1.9566832198947282e-07,2.1630002144945593e-07
1883,2.1928106785917834e-07,1.7314988465244596e-07
1884,1.8682802416236655e-07,1.5910089778969905e-07
1885,1.8047780536711855e-07,1.9852557842092722e-07
1886,1.9747599022679196e-07,2.3297005213862576e-07
1887,1.9847930365912703e-07,2.6115697160378204e-07
1888,1.9972936904366634e-07,1.927546815494452e-07
1889,2.374486851586255e-07,1.9233969439369503e-07
1890,1.8352282138422993e-07,2.726624869220373e-07
1891,1.7529104823221786e-07,1.8166527748775252e-07
1892,1.6674243297210012e-07,2.5262105030066095e-07
1893,1.6319803886055695e-07,2.8944558128074505e-07
1894,1.903064812402988e-07,2.999532808800609e-07
1895,2.094477806746653e-07,3.057456279265125e-07
1896,1.798593822766037e-07,3.361306504245931e-07
1897,1.7188804790624346e-07,2.8143027286375855e-07
1898,2.0143743695300032e-07,3.655297184934625e-07
1899,2.0120385890720627e-07,2.5979618811788896e-07
1900,2.2165796753625955e-07,2.5280427617957457e-07
1901,2.0734220829154992e-07,2.7776031097381804e-07
1902,2.2685510825404265e-07,2.656463502503925e-07
1903,2.2032898594481765e-07,4.654990011232485e-07
1904,2.0907291542471285e-07,3.8589810102962474e-07
1905,2.4565213641025707e-07,3.684781990642705e-07
1906,2.3251714598160333e-07,3.904435956769703e-07
1907,1.990280440455905e-07,3.533133385857923e-07
1908,2.4409603427422155e-07,3.4821749395064217e-07
1909,2.3104130408846402e-07,3.2950890460625715e-07
1910,2.677419406182935e-07,4.109651969841366e-07
1911,2.388847928358473e-07,3.9370769577828924e-07
1912,2.36507723183621e-07,3.8914375544152335e-07
1913,2.3757393807777305e-07,4.115120102454739e-07
1914,2.638516894970522e-07,4.6408435228073586e-07
1915,3.475324720225714e-07,3.2279288486591895e-07
1916,2.4172416224210735e-07,3.889561508430006e-07
1917,2.9061023809617836e-07,2.7416061421092763e-07
1918,3.767531397969037e-07,3.675640440903294e-07
1919,2.799185820911987e-07,4.916991152015271e-07
1920,2.9001646950632676e-07,4.49033336735738e-07
1921,2.847353011148357e-07,5.38422362694746e-07
1922,3.194646196469364e-07,5.562963476535288e-07
1923,2.9936972589794664e-07,4.639169262077303e-07
1924,3.042423402099814e-07,5.633639705848736e-07
1925,2.859526258003342e-07,4.3552785733425026e-07
1926,3.633641059153092e-07,6.074645249043442e-07
1927,3.1106336462194406e-07,5.385075585451204e-07
1928,2.753675942823719e-07,5.93011563410073e-07
1929,2.90764611499128e-07,5.213710396745341e-07
1930,2.835972905401718e-07,7.194968425494608e-07
1931,2.429341030563137e-07,6.843213711249518e-07
1932,3.583768393156106e-07,6.115421449237601e-07
1933,2.844724300565815e-07,7.237988040031951e-07
1934,2.863597732272183e-07,7.260837335820725e-07
1935,2.668927407967203e-07,7.157033916627142e-07
1936,2.546190183139174e-07,7.820441005890189e-07
1937,2.6189526391995344e-07,7.592444326576242e-07
1938,3.0986862276094485e-07,7.55871983670886e-07
1939,2.477636220632462e-07,7.524673080183675e-07
1940,4.006536957756879e-07,9.280965240776595e-07
1941,4.397738759820413e-07,8.411782435047144e-07
1942,5.370554752026635e-07,1.195479494064955e-06
1943,5.22582313866593e-07,1.3180687439273697e-06
1944,5.526680268985729e-07,1.0989096956848243e-06
1945,4.2262978139362417e-07,7.494053981815796e-07
1946,3.466354936421112e-07,1.048259171909649e-06
1947,3.3974481117304833e-07,7.748566179799354e-07
1948,3.696441948086715e-07,9.328079819681534e-07
1949,2.6898603522340636e-07,1.1495716254472654e-06
1950,3.318232815185951e-07,9.858979623800224e-07
1951,3.4116485503332683e-07,1.0298914610018528e-06
1952,3.2688892170895656e-07,1.1757456555017143e-06
1953,3.52304154294103e-07,1.1194007072390377e-06
1954,3.1272115386116184e-07,1.1922493694527247e-06
1955,3.2943483407876784e-07,1.2266989486420243e-06
1956,3.7413696230004234e-07,1.3456720946436462e-06
1957,3.481004862138093e-07,1.5196265081840465e-06
1958,3.3006251642930806e-07,1.489831067402747e-06
1959,4.4334278204161137e-07,1.4772924856742975e-06
1960,3.9794792350278385e-07,1.5343487724805982e-06
1961,3.5713538260040423e-07,1.4618927117737712e-06
1962,3.4690500338996344e-07,1.7453064451444789e-06
1963,3.5951254773181063e-07,1.9986569483876337e-06
1964,3.784228351788599e-07,1.5076073758280018e-06
1965,3.3105863028737303e-07,1.5759484774946486e-06
1966,3.3068277627279485e-07,1.7669648748608324e-06
1967,3.9837112097984573e-07,1.737450212146996e-06
1968,3.5572014489559933e-07,1.744016724813946e-06
