year,son_DET antre_NOUN,son_DET centre_NOUN
1800,3.8358807197269584e-07,4.36724456420734e-06
1801,2.9288546166128526e-07,3.7194071609292223e-06
1802,2.842056971985585e-07,5.697541098470538e-06
1803,2.3989171782368146e-07,4.0762090058876765e-06
1804,7.143649440877198e-07,3.1071167541085742e-06
1805,2.8144488606329787e-07,5.512339853908088e-06
1806,2.7375857936107195e-07,5.0515661484951124e-06
1807,1.9359294789467185e-07,4.381464062674922e-06
1808,2.2434133173376836e-07,4.670378409343812e-06
1809,2.778607575137926e-07,5.333570982202218e-06
1810,6.224737458815355e-07,5.087435464901091e-06
1811,1.9053783040234862e-07,7.456046478893086e-06
1812,3.6274030890126596e-07,4.064825148475393e-06
1813,3.0770434489291176e-07,6.205850667129198e-06
1814,3.2410775929747615e-07,4.666522421814534e-06
1815,9.710004844620812e-08,4.860396673578293e-06
1816,9.038655157667108e-08,6.816073167215109e-06
1817,3.0826093999625215e-07,4.918163021727651e-06
1818,1.6570436400797917e-07,4.649259075506507e-06
1819,2.2565288415599127e-07,3.5441994992169157e-06
1820,2.622492427661882e-07,4.121228847964176e-06
1821,2.4160646816540066e-07,3.6743905695857393e-06
1822,2.927479982872683e-07,4.07942320634902e-06
1823,1.7195875123832138e-07,4.463021439526926e-06
1824,3.0905484926790905e-07,5.1958265459006725e-06
1825,2.668049374765502e-07,4.27240082601088e-06
1826,2.3164998252944713e-07,4.566058940724815e-06
1827,2.1660591431604814e-07,4.745052084587087e-06
1828,1.485912737297923e-07,4.183486741027309e-06
1829,1.603183865661606e-07,4.727249066860395e-06
1830,2.6092089022711207e-07,4.230049686526627e-06
1831,2.2919073217053665e-07,3.910274500640298e-06
1832,1.9618454971670474e-07,3.914220194189966e-06
1833,3.1391634647270905e-07,5.69914521975079e-06
1834,2.594999546357002e-07,4.427367983339536e-06
1835,2.707585551320335e-07,3.994823138953052e-06
1836,2.2984964898054017e-07,3.645334825108648e-06
1837,2.2682724010181232e-07,4.046709367599988e-06
1838,2.101949958532856e-07,5.2233137637358595e-06
1839,1.9086727054418162e-07,3.786582880138667e-06
1840,2.0319306193172793e-07,4.250493393698207e-06
1841,2.0866782213246893e-07,3.922955027491071e-06
1842,2.482058110153673e-07,4.369092899025873e-06
1843,2.2446262720743348e-07,4.206311178478472e-06
1844,2.1405388395123737e-07,3.85297002480911e-06
1845,1.4955011418127384e-07,4.251017482914676e-06
1846,1.8558769387944096e-07,3.6900922708582584e-06
1847,1.666506079800456e-07,4.243388389113534e-06
1848,1.407913745032907e-07,3.4304824438891046e-06
1849,1.5585711832244442e-07,2.9621231707466222e-06
1850,1.615781091146573e-07,3.5737275396741097e-06
1851,1.9219326796715563e-07,3.926418301603007e-06
1852,1.503935971314263e-07,4.074299262413206e-06
1853,1.7497760707030352e-07,4.643177010876798e-06
1854,1.1898071772264984e-07,4.131592302059062e-06
1855,1.8733488360567208e-07,3.740329262313935e-06
1856,1.9621547026060782e-07,4.632548805005854e-06
1857,2.4114655117202233e-07,4.7975469676941884e-06
1858,1.8008728419616205e-07,4.1566884831922835e-06
1859,2.388229325411828e-07,3.959164622813205e-06
1860,2.6410351505745666e-07,3.6319954546115696e-06
1861,2.41457343008733e-07,4.083553129419215e-06
1862,1.7710505795243137e-07,3.8588120112592605e-06
1863,2.387428799099922e-07,3.400337805103959e-06
1864,1.6302075489527112e-07,3.6933789751003587e-06
1865,1.845082999718528e-07,3.4195224927202617e-06
1866,1.8343360902450812e-07,3.95671651176599e-06
1867,1.5140772191557517e-07,4.441778543196051e-06
1868,1.7635350824107832e-07,3.83531812531146e-06
1869,2.2073506233954987e-07,4.360982718054629e-06
1870,2.047055374099216e-07,4.340101341426816e-06
1871,2.1985836617943733e-07,4.458770220594488e-06
1872,2.1589000720467766e-07,4.038413074169966e-06
1873,1.4007250859204845e-07,4.728344883631053e-06
1874,1.6250936196726684e-07,4.305900816348185e-06
1875,2.3343831401234638e-07,3.545630292478563e-06
1876,1.880310540602892e-07,3.813826051413116e-06
1877,2.3254907433045702e-07,4.210004156846026e-06
1878,1.3950294208697755e-07,4.430879428696244e-06
1879,1.5456592272755643e-07,3.6130550071789003e-06
1880,2.560720582245324e-07,3.444458011259144e-06
1881,1.7989069056589813e-07,3.885778689038943e-06
1882,2.083135528518909e-07,3.828177568721003e-06
1883,1.8389276768004947e-07,4.2251101390888834e-06
1884,1.9541023643654398e-07,4.266676789654866e-06
