year,un_DET avant_NOUN,un_DET savant_NOUN
1800,5.345079632235183e-07,2.7888738998171902e-06
1801,7.048300485479331e-07,2.3383213942906877e-06
1802,5.706492629542481e-07,2.828630016438183e-06
1803,6.280092370580803e-07,2.6427096315728704e-06
1804,4.671798246036474e-07,4.422141159921011e-06
1805,7.647340867222852e-07,4.557132911031658e-06
1806,8.529740398444119e-07,3.610731397429845e-06
1807,4.6405368436808203e-07,3.1031811715820368e-06
1808,5.755828080822312e-07,4.0426759824185865e-06
1809,6.641549576968941e-07,3.009028603173647e-06
1810,3.135769728324078e-07,3.896311056905688e-06
1811,5.640922764449385e-07,4.184311023891496e-06
1812,7.868264146893011e-07,4.3662197981575446e-06
1813,5.233850020047726e-07,3.5918012599722715e-06
1814,5.160550422544929e-07,3.716225677408147e-06
1815,5.178669226779675e-07,3.4308682757000497e-06
1816,3.7776943706546717e-07,2.8622407910461334e-06
1817,5.386782171434845e-07,2.8677607133431593e-06
1818,5.459899514725919e-07,2.9576441988865554e-06
1819,6.365895650617404e-07,3.3578806721834553e-06
1820,5.719643869639413e-07,2.9867933619698306e-06
1821,4.782821703130935e-07,3.6073323030905158e-06
1822,5.443909287805582e-07,3.193158647718519e-06
1823,6.137148709228768e-07,3.00828995136726e-06
1824,7.37689461516311e-07,3.120022199709638e-06
1825,6.815412962879464e-07,3.516894025779038e-06
1826,6.200820958923714e-07,3.0651785607460624e-06
1827,7.171038607367564e-07,3.0647433391095547e-06
1828,8.135831066624633e-07,2.7214219073812274e-06
1829,7.252906835120143e-07,3.1720752247110795e-06
1830,5.875938775545819e-07,2.8910035041462834e-06
1831,7.780012116764823e-07,3.7902221663443925e-06
1832,7.022054102634456e-07,3.6422676998881798e-06
1833,7.598860127799867e-07,3.303650885300158e-06
1834,8.895808107922676e-07,3.122400471511355e-06
1835,7.46476800372875e-07,2.9049820682303107e-06
1836,7.070229246508575e-07,2.718543356650116e-06
1837,7.319701520458466e-07,2.8457773737500247e-06
1838,7.372604953204132e-07,2.9035944635324995e-06
1839,6.977492135185059e-07,2.796590081288741e-06
1840,8.293334601283675e-07,3.2587328178124153e-06
1841,7.967900810257333e-07,3.1903706201319437e-06
1842,8.231041337403155e-07,2.9395617104910343e-06
1843,7.820750047571323e-07,3.2180851974317193e-06
1844,7.568725939322007e-07,3.003889503361279e-06
1845,8.041108587875101e-07,3.0853080090764706e-06
1846,8.448045267783755e-07,3.3230149369956052e-06
1847,6.439509068201232e-07,3.53741549474762e-06
1848,7.860181767682661e-07,3.3041724805116246e-06
1849,7.968823823034654e-07,3.0232928054374497e-06
1850,7.698721287141552e-07,3.1215802778206125e-06
1851,7.823169099197003e-07,3.4007890690190834e-06
1852,8.37907224493506e-07,3.7442146094690543e-06
1853,8.253209884401258e-07,3.659599911998157e-06
1854,8.271497762279978e-07,3.7642588779362995e-06
1855,9.12262507313244e-07,3.839038356545643e-06
1856,8.842639411810183e-07,3.4775179926782585e-06
1857,8.801360742438646e-07,3.869084025609482e-06
1858,8.764573751207649e-07,4.232540391058137e-06
1859,9.451073701427504e-07,3.9836072573962156e-06
1860,8.147387298151898e-07,4.064081508659001e-06
1861,8.814136478463297e-07,4.094399798759696e-06
1862,9.234763904686361e-07,3.890889729518676e-06
1863,9.185107980869134e-07,4.259412719420652e-06
1864,1.0207975780218703e-06,4.2586773076891404e-06
1865,9.074796025743126e-07,4.426787029387924e-06
1866,9.307917672174426e-07,4.357156399237283e-06
1867,9.162107801330421e-07,4.25106287593735e-06
1868,1.0378675412425764e-06,4.479477979657531e-06
1869,9.073578812746064e-07,4.921610411656729e-06
1870,9.099935471823528e-07,4.389414414163184e-06
