year,un_DET an_NOUN,un_DET sang_NOUN
1800,2.065401696427216e-05,3.4774460004882712e-06
1801,1.8870872679599415e-05,3.631303499673777e-06
1802,2.064631223674951e-05,2.9114299593402393e-06
1803,1.965746980658878e-05,3.9884438791659704e-06
1804,2.160644874038553e-05,4.399894812934235e-06
1805,1.9544784152003558e-05,3.4484107800381025e-06
1806,2.088921922904774e-05,3.138137770974936e-06
1807,2.2809804022472235e-05,3.3252434690211885e-06
1808,2.2792173126617854e-05,3.548671884345822e-06
1809,2.104286875237449e-05,2.8825230309337257e-06
1810,2.2191421578554582e-05,3.7137810977583285e-06
1811,2.3202996260351938e-05,3.0460982145541493e-06
1812,1.9139885921504174e-05,3.686081782916517e-06
1813,2.1648583356181916e-05,5.374760945642265e-06
1814,1.9182143887519487e-05,3.882999543236565e-06
1815,1.9614209008977923e-05,5.219127565680992e-06
1816,1.8413362852243154e-05,3.763788647859201e-06
1817,1.8037934694348223e-05,4.377927893983724e-06
1818,2.2023183362307464e-05,3.913722665060959e-06
1819,2.257356914014963e-05,3.875433066014011e-06
1820,2.1815338527630956e-05,4.6967533364750125e-06
1821,2.1181491547395126e-05,4.012639564621168e-06
1822,1.979156860443254e-05,3.7265214558601656e-06
1823,2.0159692155630182e-05,3.74455002116747e-06
1824,1.9963090494456992e-05,3.913290953505566e-06
1825,2.186831864037231e-05,3.5820542905184993e-06
1826,2.178390661811136e-05,3.1832055995550945e-06
1827,2.2704908076320862e-05,2.7430603886102745e-06
1828,2.097338466455767e-05,3.0378662678742785e-06
1829,2.0859394453509594e-05,3.37783141901582e-06
1830,2.163869237392646e-05,3.802139389108561e-06
1831,2.1741936109265225e-05,3.534526356929746e-06
1832,2.361114900395478e-05,4.118522831220162e-06
1833,2.2751404912924045e-05,3.4577130847424087e-06
1834,2.3242048655447434e-05,2.843298119614701e-06
1835,2.2531194360908557e-05,3.612130683450232e-06
1836,2.33613275213429e-05,2.881185473313508e-06
1837,2.430878402037706e-05,3.7461285842255165e-06
1838,2.4272787300105847e-05,2.9824963974078855e-06
1839,2.1895203417443554e-05,2.8455303464625104e-06
1840,2.3132797764446877e-05,3.079107482761856e-06
1841,2.3125531356527063e-05,2.8719114055775208e-06
1842,2.389282769854617e-05,3.1072682808996888e-06
1843,2.350182637655962e-05,3.0036642542086156e-06
1844,2.482750744547957e-05,2.8057524659175215e-06
1845,2.3381713617709465e-05,2.9335259341678466e-06
1846,2.4084248366307293e-05,2.5988130758491934e-06
1847,2.4692335387044295e-05,2.4528380819788254e-06
1848,2.4372999632760184e-05,2.756292936112459e-06
1849,2.701523294490471e-05,2.6696816846083493e-06
1850,2.3052035430737305e-05,2.4949561421294675e-06
1851,2.4945139216470125e-05,2.5965440890729496e-06
1852,2.4500484073541884e-05,2.7370332098541894e-06
1853,2.3782621269674564e-05,2.642579826073188e-06
1854,2.3131617240323976e-05,2.779680425391007e-06
1855,2.4107293256747653e-05,3.374681298851101e-06
1856,2.357847222356213e-05,2.5792757618603446e-06
1857,2.367824788507278e-05,2.5237401217736988e-06
1858,2.352292119667254e-05,2.741926643068382e-06
1859,2.2499768192574265e-05,2.905594147506463e-06
1860,2.318297811143566e-05,2.6909264647656528e-06
1861,2.3103035232452385e-05,2.7022471442705864e-06
1862,2.4454505023641104e-05,2.947534184727374e-06
1863,2.4611993467260618e-05,2.833947899461009e-06
1864,2.474175516908872e-05,2.4793537107825614e-06
1865,2.437862940496416e-05,2.4503832207756204e-06
1866,2.334715657070774e-05,2.542769220070795e-06
1867,2.4310645130753983e-05,2.2614102661577817e-06
1868,2.4710238449188182e-05,2.506492197795751e-06
1869,2.4774581220299297e-05,2.7010743579580776e-06
1870,2.4546889108023606e-05,2.51323352529198e-06
1871,2.594647332898603e-05,2.5554552678386244e-06
1872,2.82942912690487e-05,2.4237736724330716e-06
1873,2.694480235732044e-05,2.454261849749173e-06
1874,2.7689326543622883e-05,2.5135179697599597e-06
1875,2.7299123075863463e-05,2.3040588956746433e-06
1876,2.7892685466213152e-05,2.04718058682829e-06
1877,2.7294210667605512e-05,2.78316714386051e-06
1878,2.6071350475831423e-05,2.168032931848529e-06
1879,2.6424664724800095e-05,2.0930549347042415e-06
1880,2.8336716695775976e-05,2.30272316770197e-06
1881,2.9624092121594003e-05,1.9041917980189282e-06
1882,2.9720954216827522e-05,2.1510204142316525e-06
1883,2.915806226155837e-05,1.8793714389175875e-06
1884,2.921515010712028e-05,1.9653252252282982e-06
1885,2.9382429829638568e-05,1.8737463491902417e-06
1886,2.9132226245565107e-05,1.6766099548704005e-06
1887,2.9009317131567514e-05,1.6864212710743232e-06
1888,2.9781233479297953e-05,1.8914053327989677e-06
1889,2.880459328480356e-05,2.0029642833208072e-06
1890,2.985785295095411e-05,1.679233839979588e-06
1891,2.969302931887796e-05,1.6579346535650075e-06
1892,2.9892654538343777e-05,1.5677549960457782e-06
1893,3.0445980200966005e-05,1.6744734274709572e-06
1894,2.9272540132296854e-05,1.5363153309522204e-06
1895,2.9982932119310135e-05,1.6178035799896406e-06
1896,3.035790450667264e-05,1.5721478803243372e-06
1897,3.0130519007798284e-05,1.5638898851477734e-06
1898,3.161209656354913e-05,1.4570264035285163e-06
1899,3.211246598766593e-05,1.5643047390767606e-06
1900,3.072947743021359e-05,1.5137110942475829e-06
1901,3.1280170787795214e-05,1.4379825188370887e-06
1902,2.9502948791559902e-05,1.277655908182851e-06
1903,3.097296303167241e-05,1.5747041999247813e-06
1904,3.318723611300811e-05,1.3656922988047882e-06
1905,3.277701262049959e-05,1.3866959882591345e-06
1906,3.453342469583731e-05,1.4990154149074897e-06
1907,3.137237240480317e-05,1.4183962235847503e-06
1908,3.263274311393616e-05,1.3408092200961619e-06
1909,3.1107511176742264e-05,1.4539099169041947e-06
1910,3.1720206834506826e-05,1.4071148903838093e-06
1911,3.060332437598845e-05,1.4849163854080416e-06
1912,3.375548612893908e-05,1.6680566936599917e-06
1913,3.281596059423464e-05,1.5824120929153196e-06
1914,3.254952207498718e-05,2.201219579944791e-06
1915,3.528573711264471e-05,2.643602972085546e-06
1916,3.7198051359155215e-05,2.7567543057216426e-06
1917,3.3523263709867024e-05,3.0705988010026886e-06
1918,3.312326248305908e-05,3.984624136421644e-06
1919,3.3388580504833953e-05,2.96124412102472e-06
1920,3.45490661857184e-05,2.4874780137906782e-06
1921,3.5154208262611064e-05,2.4028327061387245e-06
1922,3.6175492368784035e-05,1.7094676678652831e-06
1923,3.416636832298536e-05,1.6751965645767086e-06
1924,3.598696980589011e-05,1.7158752569912394e-06
1925,3.3587336702112225e-05,1.6585252851086807e-06
1926,3.462659469732898e-05,1.6875253123771472e-06
1927,3.3354021525155986e-05,1.667924060200221e-06
1928,3.851947030852898e-05,1.438538639320086e-06
1929,3.498310411487182e-05,1.6588064610800757e-06
1930,3.4511691865191096e-05,1.5744902270853345e-06
1931,3.524483372530085e-05,1.4005777728698376e-06
1932,3.519326310197357e-05,1.4488507105170356e-06
1933,3.501763762869814e-05,1.3925383726132168e-06
1934,3.4222988006149535e-05,1.4198172380019969e-06
1935,3.49174683833553e-05,1.4792799305496374e-06
1936,3.470093247415207e-05,1.3494807760139338e-06
1937,3.752027441805694e-05,1.4895293105610108e-06
1938,3.602903279897873e-05,1.4676622726028654e-06
1939,3.392985172467888e-05,1.5217580262572028e-06
1940,3.413924628148379e-05,1.52907714578987e-06
1941,3.2215650207945146e-05,1.7030169701115483e-06
1942,2.9865746682844474e-05,1.565653242607823e-06
1943,2.9853967589588137e-05,1.823231734476849e-06
