year,ton_DET avoir_NOUN,ton_DET savoir_NOUN
1800,0.0,1.2576657937302116e-08
1801,0.0,7.381665767525192e-08
1802,0.0,3.5805442166747525e-08
1803,0.0,1.950339223455444e-08
1804,0.0,3.9549615138412264e-08
1805,0.0,4.832892108730391e-08
1806,0.0,2.420602136510297e-07
1807,0.0,4.27043254092041e-08
1808,0.0,2.945896193651265e-08
1809,0.0,4.743964066022954e-08
1810,0.0,1.4040760554223652e-08
1811,0.0,4.763445815569867e-08
1812,0.0,2.9339290108509886e-08
1813,0.0,1.1502966579257645e-08
1814,0.0,1.8880061958270744e-08
1815,0.0,2.4275012222574333e-08
1816,0.0,1.8540831092650478e-08
1817,0.0,7.940054302935096e-08
1818,0.0,1.6689648107970356e-08
1819,0.0,3.9333988954837196e-08
1820,3.5599443393152796e-09,2.610625760013363e-08
1821,0.0,2.1695273910715684e-08
1822,0.0,1.5038423839541792e-08
1823,0.0,1.4824030003524058e-08
1824,0.0,6.231623217445303e-08
1825,0.0,3.522177394188475e-08
1826,0.0,3.2589543508265706e-08
1827,1.8434546111834038e-09,2.488663675137559e-08
1828,0.0,3.760643352279658e-08
1829,0.0,2.743416338546467e-08
1830,0.0,2.5048406016026092e-08
1831,0.0,2.962329137545794e-08
1832,0.0,7.982682170837307e-08
1833,0.0,3.8225973497674204e-08
1834,0.0,5.0406466556296436e-08
1835,0.0,5.218530674255817e-08
1836,2.016224964762614e-09,3.7636200267421316e-08
1837,0.0,3.757261080039598e-08
1838,1.2624323808552163e-09,4.3553917805638775e-08
1839,0.0,3.425822692193492e-08
1840,0.0,3.4396317238893914e-08
1841,0.0,4.879616843922463e-08
1842,0.0,7.043678573737111e-08
1843,1.1813822142769936e-09,4.784597962270709e-08
1844,0.0,4.0615353968931345e-08
1845,0.0,4.519984564410606e-08
1846,0.0,1.9905304293743598e-08
1847,0.0,2.6426795862732888e-08
1848,0.0,3.218088551193432e-08
1849,0.0,3.1841775438579134e-08
1850,0.0,4.141287579528807e-08
1851,0.0,2.5797755709433545e-08
1852,1.3021090872200602e-09,3.0599563105582206e-08
1853,0.0,4.419229693297666e-08
1854,0.0,2.9095720721628027e-08
1855,1.0613874223963649e-09,2.653468555990912e-08
1856,0.0,3.8311201766561e-08
1857,4.881509085841174e-10,4.24691308786862e-08
1858,0.0,2.88726890174118e-08
1859,5.092173349652285e-10,3.157147498988877e-08
1860,9.154367819341758e-10,3.341344201324148e-08
1861,2.357981809808507e-09,3.206855431203692e-08
1862,0.0,4.789065499721801e-08
1863,2.4973103585068657e-09,2.996772607843923e-08
1864,4.794727948009836e-10,3.883729815523651e-08
1865,0.0,4.7068444919418084e-08
1866,6.3252967308358166e-09,4.476363990590926e-08
1867,2.426405742994575e-09,3.1543274658929477e-08
1868,1.4819622196071691e-09,2.5687345917013715e-08
1869,0.0,2.6371002603831073e-08
1870,0.0,2.752343464251794e-08
1871,0.0,2.6552942955504477e-08
1872,6.047339295989218e-10,2.6608292347241047e-08
1873,0.0,2.454261860407314e-08
1874,0.0,1.4936523129449597e-08
1875,0.0,4.3483606049221635e-08
1876,6.04601479992084e-10,2.720706571146536e-08
1877,0.0,3.463496867084359e-08
1878,2.4156354694326865e-09,1.8117265909722846e-08
1879,0.0,3.054662733870117e-08
1880,0.0,2.759673956020947e-08
1881,0.0,1.743126887276958e-08
1882,0.0,2.3293848627758962e-08
1883,0.0,1.7694148923830255e-08
1884,6.601696966868076e-10,3.3668656307384026e-08
1885,6.445635691854079e-10,1.3535834730848961e-08
1886,2.5813855497602844e-09,1.8069698626277386e-08
1887,6.528924623161458e-10,3.590908548289917e-08
1888,0.0,1.5851536971922542e-08
1889,0.0,2.0674950640398038e-08
1890,6.554386478008212e-10,1.9007721618891082e-08
1891,4.461953917456185e-09,2.1672347472190268e-08
1892,0.0,1.002961980134387e-08
1893,1.847525021858587e-09,1.3548516086814288e-08
1894,0.0,1.449354058991048e-08
1895,3.0093072478365457e-09,2.106515117894503e-08
1896,5.89702897624278e-10,1.6511680911435178e-08
1897,0.0,1.9228155068162778e-08
1898,0.0,1.2448380548590876e-08
1899,1.6582735185011188e-09,2.1004797901014172e-08
1900,3.114631885736685e-09,1.557315965072803e-08
1901,5.588738916095792e-10,2.1796081439706683e-08
1902,0.0,2.2096277252359187e-08
1903,0.0,2.1600881083827517e-08
1904,2.6873125946735854e-09,2.579820090886642e-08
1905,0.0,8.77329037196617e-09
1906,0.0,2.160557543984254e-08
1907,5.142843373384665e-10,2.622850026057222e-08
