year,en_ADP ours_NOUN,en_ADP source_NOUN
1800,2.829747991484055e-08,6.288328968651058e-09
1801,7.619784270218588e-08,3.8098922461315965e-08
1802,8.503792514602537e-08,2.0140561218795483e-08
1803,2.3404069793286908e-08,1.3652374342143503e-08
1804,8.404293083685843e-08,3.460591235793231e-08
1805,6.538618513296512e-08,1.4214388555089386e-08
1806,6.339671898558663e-08,5.4751715161671655e-08
1807,5.693910054560547e-08,3.701041606518629e-08
1808,3.852325747288887e-08,4.7587553009265093e-08
1809,5.873479480555943e-08,2.0331275329965592e-08
1810,3.978215445954447e-08,2.574139390532082e-08
1811,5.0141537144554604e-08,1.7549536934780008e-08
1812,2.6672083208723052e-08,8.00162425207418e-09
1813,9.777521370324394e-08,1.4378708002027452e-08
1814,3.776012391654149e-08,3.1466772298927026e-08
1815,2.1577788444915313e-08,8.091670444798638e-09
1816,1.1588019432906549e-08,1.3905623319487859e-08
1817,1.8682481339737933e-08,1.401186100480345e-08
1818,2.861082504246326e-08,3.337929510571769e-08
1819,3.726378139390363e-08,5.382546075516359e-08
1820,4.6279275522920216e-08,4.2719332071783356e-08
1821,2.8598315604533298e-08,4.5362847478358503e-08
1822,1.7043547018147365e-08,3.5089655625597516e-08
1823,3.063632902922109e-08,2.3718449093657057e-08
1824,4.884245186076441e-08,3.789500713224925e-08
1825,4.6668848341369085e-08,2.3774695989686734e-08
1826,7.222546827279075e-08,3.78743334472631e-08
1827,3.7790819362726324e-08,1.1060727445055818e-08
1828,4.861319524707142e-08,4.219258542548232e-08
1829,3.8579290873030914e-08,9.516225674133238e-08
1830,3.861629238599562e-08,1.982998831806526e-08
1831,2.8064171431196883e-08,1.2472964883158966e-08
1832,6.764984572527055e-09,2.0294953273491956e-08
1833,6.834341093053808e-08,3.4750885835599377e-08
1834,9.521221500108368e-08,2.333632798112717e-08
1835,3.6302822081779595e-08,3.403389570166837e-08
1836,4.9061476659062464e-08,1.0753200108126748e-08
1837,5.4967337348443834e-08,2.0873673012289373e-08
1838,3.1560809077291196e-08,2.7773513266993177e-08
1839,3.705481976812308e-08,3.4957374772659477e-09
1840,3.3759349093998026e-08,1.9109065885203336e-08
1841,3.5955071808757566e-08,3.5955071808757566e-08
1842,5.0982812638267205e-08,1.6770663080478698e-08
1843,7.206431718032036e-08,2.0674189471492355e-08
1844,5.269018737985576e-08,3.512679308537159e-08
1845,5.412821058037309e-08,8.928364547688972e-09
1846,3.33706573485415e-08,1.5221703231205197e-08
1847,1.941560512364049e-08,1.5101026207275936e-08
1848,4.183515400768556e-08,1.287235473768078e-08
1849,7.29009101974043e-08,1.9272654583346593e-08
1850,2.647708452485631e-08,4.5486274302675156e-08
1851,2.644269869733762e-08,4.321124125183928e-08
1852,4.231854688896419e-08,6.77096707590863e-08
1853,3.105404622338881e-08,3.2248433257109355e-08
1854,3.4291385730966795e-08,2.6497888327980945e-08
1855,4.6701046585440054e-08,3.3964397516683675e-08
1856,2.692138334481342e-08,2.5368226630462232e-08
1857,3.417056260168749e-08,4.490988469996182e-08
1858,2.5447115470367265e-08,2.936205589776364e-08
1859,4.379269125109886e-08,3.157147365762114e-08
1860,4.943358467013326e-08,5.813023595813149e-08
1861,4.008569121083383e-08,2.6880993431177558e-08
1862,1.581295272501393e-08,5.46676339752139e-08
1863,3.296449690992631e-08,2.8469338886338846e-08
1864,3.7878351788478426e-08,4.027571520737183e-08
1865,2.0239431075541603e-08,2.5887643639865843e-08
1866,2.578774882522339e-08,2.1895258328630263e-08
1867,2.426405742994575e-08,4.319002222530344e-08
1868,3.1615194018286275e-08,2.3711395513714706e-08
1869,3.2231227464762924e-08,3.271957904615874e-08
1870,2.6376625328339287e-08,4.759260363584872e-08
1871,1.911811864374613e-08,2.7615060460561835e-08
1872,1.8746751706544273e-08,2.237515595027162e-08
1873,3.771182849332533e-08,3.052862140862089e-08
1874,5.496640298474631e-08,4.958925714504403e-08
1875,4.2911454556371353e-08,4.863298030954866e-08
1876,3.567148709748835e-08,2.841626911553874e-08
1877,3.4016487737709156e-08,5.999271479595336e-08
1878,5.193616092746822e-08,4.952052801154849e-08
1879,2.1382637882538802e-08,3.9099681714560575e-08
1880,4.7492061838738664e-08,7.765594034481182e-08
1881,4.6018548971460405e-08,2.9981783389310124e-08
1882,3.1945848633085916e-08,3.394246306243076e-08
1883,1.2006744043446815e-08,5.9401784380241907e-08
1884,2.1125430293977843e-08,4.621187965625495e-08
1885,3.4161868001092444e-08,3.4161868112114746e-08
1886,2.710454793941608e-08,3.355801325710672e-08
1887,2.2198344495905076e-08,2.676859012229471e-08
1888,2.0924028731883482e-08,4.2482120043985105e-08
1889,2.5687061366852504e-08,3.4458253139746375e-08
1890,1.5730527991308918e-08,4.784702056781498e-08
