year,en_ADP heure_NOUN,en_ADP soeurs_NOUN
1800,7.231578251776227e-07,1.8864987794131594e-08
1801,6.714934670526418e-07,0.0
1802,6.870169499961776e-07,8.951360541686881e-09
1803,1.2111606793041574e-06,0.0
1804,5.166168648429448e-07,0.0
1805,6.623905051128531e-07,0.0
1806,6.656655955339374e-07,0.0
1807,5.608501396636711e-07,5.693910232196231e-09
1808,6.254364279811853e-07,0.0
1809,8.697267617208126e-07,0.0
1810,9.734927743920707e-07,0.0
1811,7.245452025017585e-07,0.0
1812,7.814920195414743e-07,0.0
1813,7.476928090000001e-07,0.0
1814,1.7023522786985268e-06,6.293354282149721e-09
1815,1.1058616564696422e-06,0.0
1816,7.138219757507613e-07,0.0
1817,6.881380727463693e-07,0.0
1818,7.534184192081739e-07,0.0
1819,7.12152257165144e-07,0.0
1820,6.502831411125953e-07,0.0
1821,7.218609425763134e-07,0.0
1822,7.408930287056137e-07,0.0
1823,1.0969782806569128e-06,0.0
1824,1.0231651685899124e-06,3.3684450784221553e-09
1825,6.877050964249065e-07,8.805443041381977e-10
1826,9.776862270882702e-07,0.0
1827,9.254142128156673e-07,9.217273055917019e-10
1828,7.741422223261907e-07,0.0
1829,8.616041782261163e-07,1.714635211591542e-09
1830,1.0593388424240402e-06,0.0
1831,9.83805080068123e-07,0.0
1832,1.2555811963466113e-06,0.0
1833,1.107394837163156e-06,0.0
1834,9.92260652310506e-07,9.334530925997342e-10
1835,1.206312504109519e-06,7.563087933704082e-10
1836,1.0739759090938605e-06,3.36037508930076e-09
1837,1.2558992921185563e-06,4.174734336004349e-09
1838,1.0036337698693387e-06,6.312161904276081e-10
1839,9.137858114627306e-07,0.0
1840,1.3166146572984871e-06,0.0
1841,9.695028211353929e-07,0.0
1842,1.2906701840620372e-06,6.708265054555795e-10
1843,1.3444129081108258e-06,0.0
1844,1.0000159136325237e-06,2.195424508855126e-09
1845,1.124974005506374e-06,5.580227946389016e-10
1846,1.1041589687010855e-06,0.0
1847,1.4863724118185928e-06,1.0786447290911383e-09
1848,1.4827343193246634e-06,0.0
1849,1.7747601077644504e-06,1.6758829879393033e-09
1850,1.4806799981670338e-06,6.788996032014438e-10
1851,1.289887791244837e-06,0.0
1852,1.1373922461643815e-06,1.3021090872200602e-09
1853,1.371752773593471e-06,0.0
1854,1.2729377658615704e-06,1.0391328908454511e-09
