year,en_ADP herbes_NOUN
1800,1.7607321334267567e-07
1801,1.0715321474563666e-07
1802,2.304975339484372e-07
1803,1.891829022326874e-07
1804,2.1505103653396418e-07
1805,1.1371510977298271e-07
1806,1.4120178093435243e-07
1807,8.256170014320219e-08
1808,7.93125889408941e-08
1809,8.358412628695078e-08
1810,9.828532654410083e-08
1811,1.7048121492280188e-07
1812,2.400487453257938e-08
1813,9.202373263406116e-08
1814,1.195737269199526e-07
1815,8.091670622434322e-08
1816,9.502176112619054e-08
1817,1.9772292925157586e-07
1818,1.5020683008515334e-07
1819,7.14222423425781e-08
1820,1.1629151686065597e-07
1821,3.4515210245444905e-08
1822,9.223566621585633e-08
1823,3.162459805139406e-08
1824,5.3895121254754486e-08
1825,1.2415674177645997e-07
1826,1.2331177856594877e-07
1827,6.359918103271411e-08
1828,4.219258542548232e-08
1829,8.916103055867097e-08
1830,6.366470017837855e-08
1831,1.2784789360509308e-07
1832,9.065079353831607e-08
1833,1.355284524606759e-07
1834,8.494423298088805e-08
1835,9.378229037793062e-08
1836,1.1626897844507766e-07
1837,7.305785487687899e-08
1838,4.5447563934430946e-08
1839,4.47454411300896e-08
1840,7.325142092895476e-08
1841,8.988767774553708e-08
1842,8.117000360741145e-08
1843,8.446883015267304e-08
1844,7.299786375369877e-08
1845,1.060243306483244e-07
1846,6.849766265304424e-08
1847,6.040410482910374e-08
1848,9.332457295840868e-08
1849,6.787325901314034e-08
1850,5.838536498714575e-08
1851,8.706741994046752e-08
1852,6.119912399071836e-08
1853,7.882950114890264e-08
1854,7.06610379097583e-08
1855,7.111295730055645e-08
1856,4.6594702096669494e-08
1857,4.78387889302212e-08
1858,3.327699715782728e-08
1859,6.619825398956891e-08
1860,7.415037828195636e-08
1861,5.564837124438782e-08
1862,6.596260254676523e-08
1863,4.9446747141246306e-08
1864,4.650886253898534e-08
1865,6.165966226490127e-08
1866,4.135770836910524e-08
1867,8.73506067478047e-08
1868,7.607405905218911e-08
1869,8.25314714347769e-08
1870,6.020751186497364e-08
1871,7.116188527334089e-08
1872,7.135860613516343e-08
1873,6.70432527272169e-08
1874,6.273339892004515e-08
1875,7.380769773135398e-08
1876,4.776351825164227e-08
1877,5.504486111362894e-08
1878,4.9520526346213956e-08
1879,4.4598075343849075e-08
1880,4.299957012676714e-08
1881,6.623881887435346e-08
1882,9.783416032860259e-08
1883,6.129758950423891e-08
1884,5.3473744543452995e-08
1885,6.574548061522023e-08
1886,3.4203359644546794e-08
1887,4.570247114088488e-08
1888,5.389522428345117e-08
1889,5.0121094830046786e-08
1890,5.374596973029e-08
1891,5.609313546983685e-08
1892,6.143142172732041e-08
1893,6.035248401037308e-08
1894,4.222031435574536e-08
1895,4.935263930860856e-08
1896,3.715128193970685e-08
1897,7.108590338589238e-08
1898,7.29927753795323e-08
1899,6.798921248218903e-08
1900,4.983411017178696e-08
1901,4.750427967659121e-08
1902,5.254003881960401e-08
1903,5.778235845355084e-08
1904,4.8909090111237674e-08
1905,4.954328858275403e-08
1906,5.041300710217911e-08
1907,4.319988339274161e-08
1908,5.79543915080194e-08
1909,5.3909637642846064e-08
1910,4.9700600857072175e-08
1911,4.362706818028528e-08
1912,5.7824576571441355e-08
1913,4.613600879110891e-08
1914,3.549274296688054e-08
1915,3.416420923940677e-08
1916,2.5271162940043723e-08
1917,3.5092558192673096e-08
1918,2.5270027848023346e-08
1919,5.064316610514652e-08
