year,on_PRON allie_VERB,on_PRON salit_VERB
1800,1.792173733861091e-07,6.288328968651058e-09
1801,8.096020920334013e-08,9.524730337773235e-09
1802,1.7902721083373763e-08,0.0
1803,9.556662305953978e-08,1.950339223455444e-09
1804,4.696516775481996e-08,1.730295728918918e-08
1805,5.401467717547348e-08,2.842877711017877e-09
1806,3.7461699520235925e-08,0.0
1807,6.832692633906845e-08,0.0
1808,2.7192887941396293e-08,0.0
1809,7.90660648064545e-08,4.518061036407062e-09
1810,3.7442028588685616e-08,0.0
1811,2.2563690915688994e-08,2.5070767684098882e-09
1812,2.6672082320544632e-08,8.00162425207418e-09
1813,8.914799032311294e-08,0.0
1814,8.181360477976796e-08,9.440030979135372e-09
1815,8.091670622434322e-08,0.0
1816,4.1716871734820415e-08,2.3176038865813098e-09
1817,9.185553384583045e-08,0.0
1818,3.933988534932098e-08,1.1921177378582115e-09
1819,3.8298885840504227e-08,1.035105001712111e-09
1820,4.865257086095198e-08,7.119888678630559e-09
1821,3.550135874164084e-08,1.1833786284221048e-08
1822,3.709477880420309e-08,9.023054303725075e-09
1823,3.4589403341556135e-08,8.894418535021487e-09
1824,8.421112696055388e-08,1.0947446504872005e-08
1825,2.993850678478793e-08,1.7610886082763955e-09
1826,4.1397525851749606e-08,8.807984341885344e-10
1827,5.530363988981435e-08,8.295545583791863e-09
1828,4.586150481600271e-08,1.8344602503717056e-09
1829,3.086343314251394e-08,0.0
1830,6.575206468184547e-08,4.174734336004349e-09
1831,4.2096257146795324e-08,4.677361831184612e-09
1832,2.4353945637933805e-08,6.76498479457166e-09
1833,7.529358647673234e-08,4.6334514003376626e-09
1834,6.347481118496034e-08,4.667265462998671e-09
1835,3.327758690829796e-08,3.025235173481633e-09
1836,2.352262606919453e-08,6.720750067579218e-10
1837,2.6439985312265435e-08,6.957890930081589e-10
1838,3.092959399708661e-08,0.0
1839,3.915225921247156e-08,1.3982950353153e-09
1840,2.3567847229344352e-08,3.1848443882154243e-09
1841,4.494383887276854e-08,1.926164561183441e-09
1842,9.391571076378114e-09,2.0124795163667386e-09
1843,1.890211459576463e-08,8.860366662588604e-09
1844,2.030767731753258e-08,4.390849017710252e-09
1845,1.4508592383055685e-08,7.2542965523503256e-09
1846,1.6392603274795192e-08,3.5127007969038004e-09
1847,1.6179670936367074e-08,1.6179670936367074e-09
1848,3.3789932407657375e-08,7.24069959545659e-09
1849,6.703531951757213e-09,7.54147322368226e-09
1850,2.511928531845342e-08,1.0183494048021657e-08
1851,2.3217979538969757e-08,8.384270167027807e-09
1852,3.1901673525069896e-08,8.463709066930392e-09
1853,3.762317035693741e-08,5.971932059978258e-09
1854,4.0526182409905687e-08,6.754363734984281e-09
1855,2.653468555990912e-08,3.714855978387277e-09
1856,2.433278972757691e-08,3.1063134287023786e-09
1857,1.2203772326024875e-08,3.905207268672939e-09
1858,2.7404586155910238e-08,1.0276719919488642e-08
1859,2.6479300752058066e-08,6.110608019582742e-09
1860,2.242820151820979e-08,9.154367819341758e-10
1861,2.357981765399586e-08,6.6023493339173456e-09
1862,2.4397126319186668e-08,6.325180823552046e-09
1863,1.8979558591425416e-08,4.994620717013731e-09
1864,1.6781547818034426e-08,4.315255264231155e-09
1865,2.3534221238463715e-08,2.3534221793575227e-09
1866,3.5518972651971126e-08,1.9462451650298362e-09
1867,2.8631587767335986e-08,5.338092634588065e-09
1868,1.5807597009143137e-08,3.951899141263482e-09
1869,2.246418828732999e-08,4.395167119142229e-09
1870,1.548193084843774e-08,5.734048791339319e-09
1871,8.496941816815706e-09,2.1242354542039266e-09
1872,7.861541195808286e-09,1.0885210954825197e-08
1873,1.1972009328342637e-08,1.2570609442263958e-08
1874,8.364452686038248e-09,4.182226565063729e-09
1875,1.0870901234749653e-08,7.4379850611983045e-09
1876,1.0278224937820823e-08,1.209202959984168e-09
1877,1.731748500155561e-08,1.8554447978047506e-09
1878,1.872117438850296e-08,3.0195443923020093e-09
1879,1.0385853066452455e-08,4.887460214320072e-09
1880,1.6044615636090498e-08,2.5671385017744797e-09
1881,1.4642265622200057e-08,1.3945015142624584e-09
1882,1.1314154502173324e-08,4.6587693702804245e-09
1883,1.6430281413182257e-08,1.2638677882037541e-09
1884,9.242375753615306e-09,9.242375753615306e-09
1885,7.7347630522695e-09,2.578254332252783e-09
1886,5.162771099520569e-09,7.098810428374236e-09
1887,1.3057849024278312e-08,4.570247291724172e-09
1888,1.3315291091942072e-08,3.804368819970705e-09
1889,2.5060547415023393e-08,1.8795409673089125e-09
1890,9.176140736144589e-09,1.1142456735058204e-08
1891,2.358461337337303e-08,1.2748440525456317e-08
1892,9.402768341715273e-09,2.5074049503359674e-09
1893,2.2786141196107224e-08,1.539604177480669e-08
1894,1.0082462864602348e-08,8.822155450616265e-09
1895,3.069493281770974e-08,3.0093072478365457e-09
1896,2.063960102827167e-08,6.48673198488936e-09
1897,6.992056045262984e-09,1.6897469756749217e-08
1898,7.355861253444118e-09,8.487532565659706e-09
1899,6.633094074004475e-09,6.633094074004475e-09
1900,8.305684806586555e-09,5.710158235139318e-09
1901,1.5089595351014395e-08,1.2854099118442264e-08
1902,1.4239823098449733e-08,6.8743973291596205e-09
1903,1.2420506179111612e-08,7.020286352243943e-09
1904,1.289910045443321e-08,3.7622376325430196e-09
1905,1.651442893546573e-08,5.676835002077496e-09
1906,1.1831624124880591e-08,3.0865106026567446e-09
1907,9.771402131875107e-09,6.685696440911215e-09
1908,8.349361202419914e-09,7.367083831866239e-09
1909,1.320236009405562e-08,3.300590023513905e-09
1910,1.068830135508847e-08,1.0153886509378651e-08
1911,4.788336727123976e-09,6.916486383623521e-09
1912,4.167536871158006e-09,4.688479104952847e-09
1913,9.545381873810044e-09,5.302989658506618e-09
1914,1.1384464482233625e-08,8.705766885164223e-09
1915,1.1780761921542648e-09,1.6493066246070498e-08
1916,1.648119329900055e-08,1.2086208478478966e-08
1917,4.386569774084137e-09,5.483212328627474e-09
1918,1.1486376294556067e-09,6.89182577673364e-09
1919,8.287063479883727e-09,3.6831393490643904e-09
1920,9.086678076641874e-09,2.2716695191604686e-09
1921,1.2873670240942658e-08,7.572747540152136e-09
1922,1.54936645735404e-08,8.115728977742265e-09
1923,3.1847844361720945e-09,1.1677542488541803e-08
1924,1.0313299436681689e-08,1.0313299436681689e-08
1925,4.399271169575059e-09,3.299453377181294e-09
1926,1.0031524944054127e-08,4.458455382660986e-09
1927,7.804457635707251e-09,5.574612327308159e-09
1928,5.713020501119104e-09,1.1426041224282812e-09
1929,3.342121912552898e-09,1.1140406375176326e-09
1930,3.1510810627466412e-09,3.1510811737689437e-09
1931,7.983749661377715e-09,7.983749661377715e-09
1932,5.4797681947604815e-09,6.575722188983946e-09
1933,1.1470662197865522e-09,5.735331320977366e-09
1934,1.1981580172459871e-09,3.5944740517379614e-09
1935,3.590485242455088e-09,0.0
1936,9.699771652549316e-09,4.849885826274658e-09
1937,1.1332006000230876e-08,7.55467088886519e-09
1938,1.2965214679638848e-08,1.2965214679638848e-08
1939,7.647025235257843e-09,3.058810094103137e-09
1940,2.5357829169792012e-09,1.5214697057785997e-08
1941,5.9030051957620344e-09,8.854508237732261e-09
1942,1.8205270180260413e-08,1.2136846860855144e-08
1943,8.709705845433291e-09,2.0322646676618206e-08
1944,9.639558484764166e-09,1.2852744646352221e-08
1945,1.089252066321933e-08,2.178504043826024e-09
1946,4.1763312808029696e-09,6.960552134671616e-09
1947,3.5762612871081956e-09,8.344609891963728e-09
1948,1.0871888278529696e-08,1.7395020535104777e-08
1949,8.835307485632882e-09,4.908504269707237e-09
1950,1.3825970146541522e-08,7.444753036267571e-09
1951,9.595261474260042e-09,9.595261918349252e-09
1952,8.435843135146115e-09,7.381362632230548e-09
1953,1.4005975268460702e-08,4.3095309543161875e-09
1954,8.795282724349818e-09,4.886268278880834e-09
1955,9.385608290557457e-09,1.970977647758332e-08
1956,7.849027205963921e-09,2.616342476002842e-09
1957,5.301022731885041e-09,1.0602045241725477e-08
1958,7.445019045704271e-09,3.3088974338291166e-09
1959,8.525822381422188e-09,7.750747599288843e-09
1960,1.176541686298549e-08,2.076250060767393e-09
1961,5.55852741612739e-09,1.1117054998788234e-08
1962,1.648908709572794e-08,5.707760764028791e-09
1963,1.8104949428554562e-08,7.1126584622049904e-09
1964,1.3384730546128765e-08,5.475571496216247e-09
1965,8.755269065297e-09,7.660860668057268e-09
1966,5.539074976468328e-09,5.539074865446025e-09
1967,1.1832805180134187e-08,8.874603940611792e-09
1968,8.533690198930799e-09,4.042274182047834e-09
1969,1.1354394285900682e-08,7.720988182136068e-09
1970,7.357959852516416e-09,4.138852427448825e-09
1971,7.193756479395574e-09,3.083038491169532e-09
1972,7.182205497002769e-09,6.6691908662264154e-09
1973,7.1671650836435674e-09,9.92376719688437e-09
1974,4.5004573956397564e-09,5.0630146741781346e-09
1975,9.138368284311582e-09,5.140332159925265e-09
1976,1.0284348483935446e-08,1.0284348483935446e-08
1977,7.639816335114347e-09,5.289103821581875e-09
1978,5.940591352171509e-09,1.0693064211864112e-08
1979,9.363157582598092e-09,8.192762690484301e-09
1980,7.959211123509391e-09,1.0233271341419936e-08
1981,6.3255494731073725e-09,7.590659434342228e-09
1982,4.966001831974154e-09,1.1173504121941846e-08
1983,7.57837925746685e-09,9.47297396081126e-09
1984,1.0438215014563212e-08,6.378909234161512e-09
1985,6.015558051686298e-09,7.820225245147583e-09
1986,6.593933954412989e-09,8.392279537972058e-09
1987,9.77730663098697e-09,7.944062296871834e-09
1988,1.3792073927376691e-08,5.396898483667201e-09
1989,1.0427432473036902e-08,9.878619922076837e-09
1990,7.62811153132148e-09,3.8140557934163155e-09
1991,3.5168792322792797e-09,8.79219763660899e-09
1992,1.3223865780176425e-08,3.30596661157756e-09
1993,1.550978057096586e-08,6.647048800267896e-09
1994,9.494867780901473e-09,6.857404422078162e-09
1995,7.049186012686448e-09,4.880205906054869e-09
1996,9.074756945892659e-09,9.074756279758844e-09
1997,7.1923419442398995e-09,4.79489448146353e-09
1998,9.059445416070844e-09,9.059445638115449e-09
1999,6.398281821029528e-09,6.855301576402795e-09
2000,9.719668958574346e-09,9.719669069596648e-09
2001,9.20054477049348e-09,1.3143635152479405e-08
2002,1.0953053353190967e-08,3.504977141854937e-09
2003,1.0417307017007715e-08,9.167230752282762e-09
2004,6.6071870752359985e-09,5.285749532513151e-09
2005,8.106749271874492e-09,7.656374534370514e-09
2006,7.823990788580204e-09,6.588624035241963e-09
2007,4.7933754743212376e-09,8.78785466618126e-09
2008,7.2376473703172906e-09,1.3623806527363058e-08
2009,9.059565542202108e-09,1.1443662017995848e-08
2010,1.5588516699693855e-08,4.723793023408973e-09
2011,1.529588788962144e-08,9.55992968121322e-09
2012,2.1787216919477714e-08,1.0212758527750054e-08
2013,8.08846278843589e-09,1.0598675048711925e-08
2014,1.559120488270338e-08,8.22869172800722e-09
2015,1.4186082752942752e-08,9.087958940945384e-09
2016,1.2220906508986218e-08,9.735298012181204e-09
2017,8.553078689743643e-09,1.1571812397193071e-08
2018,7.486253394972664e-09,8.776987026060112e-09
2019,1.096924706622815e-08,8.418259644926707e-09
