year,mon_DET cellier_NOUN
1800,0.0
1801,4.7623651688866175e-09
1802,0.0
1803,1.950339223455444e-09
1804,1.730295728918918e-08
1805,8.528632911009026e-09
1806,2.881669125542885e-08
1807,8.540865792383556e-09
1808,6.798221985349073e-09
1809,6.7770917766551975e-09
1810,2.8081521108447305e-08
1811,2.5070767684098882e-09
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,2.0858434979231788e-08
1817,9.341240669868967e-09
1818,0.0
1819,3.1053151161586356e-09
1820,0.0
1821,1.3806083387635226e-08
1822,1.303330066093622e-08
1823,4.941343556552624e-09
1824,5.894778887238772e-09
1825,8.805443485471187e-09
1826,6.1655889282974385e-09
1827,6.452091305675367e-09
1828,0.0
1829,0.0
1830,1.878630495610878e-08
1831,2.182768810143898e-08
1832,2.705993873419743e-09
1833,4.6334514003376626e-09
1834,2.8003592777992026e-09
1835,1.2100940693926532e-08
1836,0.0
1837,9.74104708006962e-09
1838,2.5248647617104325e-09
1839,2.3771015378315496e-08
1840,2.547875410652267e-09
1841,5.1364388298225094e-09
1842,1.475818356411196e-08
1843,1.4767278067040479e-08
1844,8.781698035420504e-09
1845,3.9061593959388574e-09
1846,1.1709002656346001e-09
1847,1.5640349459999925e-08
1848,1.206783295515379e-08
1849,2.513824481908955e-09
1850,2.0366988096043315e-09
1851,1.9993260380601896e-08
1852,1.0416872697760482e-08
1853,6.569124799682413e-09
1854,3.6369650624479277e-09
1855,1.1144567935161831e-08
1856,1.5013848553291353e-08
1857,1.9526036343364694e-09
1858,8.80861672492017e-09
1859,1.5276520048956854e-09
1860,6.408057640072684e-09
1861,5.659156698811785e-09
1862,7.680576730173527e-09
1863,5.9935452156878455e-09
1864,3.356309563606885e-09
1865,1.0355057478150798e-08
1866,1.1677470823645564e-08
1867,1.94112459439566e-09
1868,9.385760946223343e-09
1869,7.325278605918584e-09
1870,7.454262984651905e-09
1871,1.1683294998121596e-08
1872,7.861540973763681e-09
1873,6.584604861359367e-09
1874,7.169530746864439e-09
1875,9.154443425529735e-09
1876,4.836811617892067e-09
1877,7.421779191219002e-09
1878,9.662541877730746e-09
1879,8.553055041993218e-09
1880,4.492492378105339e-09
1881,5.5780060570498335e-09
1882,3.3276925659464496e-09
1883,5.0554711528150165e-09
1884,7.922036360241691e-09
1885,3.86738152613475e-09
1886,9.680196200179125e-09
1887,4.570247291724172e-09
1888,6.340614699951175e-09
1889,5.012109394186837e-09
1890,7.209825181320184e-09
1891,8.28648560879941e-09
1892,1.3163875767219224e-08
1893,3.079208221734575e-09
1894,1.8904617871129403e-09
1895,5.416753046105782e-09
1896,9.435246361988447e-09
1897,1.573212626837517e-08
1898,5.092519295146758e-09
1899,2.2110313580014918e-09
1900,8.30568502863116e-09
1901,8.383108485165991e-09
1902,6.38336894454028e-09
1903,9.1803746826713e-09
1904,2.1498500757388683e-09
1905,3.096455536422127e-09
1906,5.144184356264958e-09
1907,2.5714217422034835e-09
1908,4.4202501658929805e-09
1909,2.2003934230241384e-09
1910,2.6720753387721174e-09
1911,3.1922244847493175e-09
1912,3.646594803896619e-09
1913,8.484783542428431e-09
1914,1.6072185360371805e-08
1915,1.6493066468115103e-08
1916,7.69122365795738e-09
1917,3.289927441585405e-09
1918,4.594550517822427e-09
1919,5.524709134618888e-09
1920,3.786115865267448e-09
1921,1.5145495524393482e-08
1922,0.0
1923,9.554353752605493e-09
1924,1.2891624545652292e-08
1925,9.898360353588487e-09
1926,6.687683296036084e-09
1927,6.689535148041159e-09
1928,6.8556245125250825e-09
1929,4.4561625500705304e-09
1930,8.402882833991043e-09
1931,6.843213995466613e-09
1932,1.205549005067752e-08
1933,1.1470662197865522e-09
1934,3.5944740517379614e-09
1935,9.574627313213568e-09
1936,2.424942913137329e-09
1937,1.0072894407464617e-08
1938,2.5930428915188486e-09
1939,6.117620188206274e-09
1940,5.0715658339584024e-09
1941,2.9515025978810172e-09
1942,0.0
1943,1.4516175816936538e-08
1944,9.639558484764166e-09
1945,2.178504043826024e-09
1946,1.3921104269343232e-09
1947,7.152522574216391e-09
1948,4.348755133776194e-09
1949,6.8719057111366055e-09
1950,1.595304155443955e-08
1951,1.0661401761424827e-09
1952,8.435843135146115e-09
1953,2.1547654771580937e-09
1954,1.563605755983133e-08
1955,5.631364707880948e-09
1956,2.616342476002842e-09
1957,7.068030161150318e-09
1958,8.272243445794913e-10
1959,2.325224457422337e-09
1960,2.7683333958528067e-09
1961,2.08444772553662e-09
1962,1.9025869768540815e-09
1963,2.5864212993553792e-09
1964,2.433587276140514e-09
1965,8.755269398363907e-09
1966,2.215629901769489e-09
1967,7.395503209828291e-09
1968,8.982831700699023e-10
1969,4.541757636644661e-09
1970,6.898087434592526e-09
1971,3.0830383801472294e-09
1972,4.1041173792777386e-09
1973,2.2052815684681093e-09
1974,3.937900228123681e-09
1975,3.998036124386317e-09
1976,1.7140580621521906e-09
1977,1.1753563677885381e-09
1978,4.752473081737207e-09
1979,2.3407893401383717e-09
1980,6.822180653731635e-09
1981,6.325549528618524e-10
1982,3.1037510339615437e-09
1983,1.2630632095778083e-09
1984,1.739702604197646e-09
1985,1.0226449020933615e-08
1986,3.5966913891627428e-09
1987,2.4443267410134695e-09
1988,0.0
1989,3.841685525252103e-09
